grid_id,distance,PGA (g)_pred,lat,lon,PGA (g)_ref,PGA_diff
1079251334,140.41718371,0.0371432941462,37.3874999996,137.237499999,0.04465,-0.0075067058538
1079251335,140.538694742,0.0292013878144,37.395833333,137.237499999,0.04465,-0.0154486121856
1079251336,140.66620498,0.0370189626241,37.4041666663,137.237499999,0.0411666666667,-0.0041477040426
1079251337,140.799698127,0.0419058875361,37.4124999996,137.237499999,0.0411666666667,0.0007392208694
1079251338,140.939157185,0.0290507678659,37.420833333,137.237499999,0.0417,-0.0126492321341
1079251339,141.084564457,0.0285931682204,37.4291666663,137.237499999,0.0417,-0.0131068317796
1079251340,141.235901576,0.0269598266702,37.4374999996,137.237499999,0.04035,-0.0133901733298
1079251341,141.393149501,0.0314875702347,37.445833333,137.237499999,0.04035,-0.0088624297653
1079251342,141.556288531,0.0288077794223,37.4541666663,137.237499999,0.0391,-0.0102922205777
1079251343,141.725298323,0.0285051205465,37.4624999996,137.237499999,0.0391,-0.0105948794535
1079316871,139.792728176,0.0228418623938,37.395833333,137.245833332,0.04465,-0.0218081376062
1079316872,139.920918217,0.0396168053226,37.4041666663,137.245833332,0.0411666666667,-0.0015498613441
1079316873,140.055121734,0.0373249879231,37.4124999996,137.245833332,0.0411666666667,-0.0038416787436
1079316874,140.195321459,0.0422483437414,37.420833333,137.245833332,0.0417,0.0005483437414
1079316875,140.34149942,0.0292377877728,37.4291666663,137.245833332,0.0417,-0.0124622122272
1079316876,140.493636956,0.0281614961214,37.4374999996,137.245833332,0.04035,-0.0121885038786
1079316877,140.651714732,0.0280621933458,37.445833333,137.245833332,0.04035,-0.0122878066542
1079316878,140.815712737,0.0285674325593,37.4541666663,137.245833332,0.0391,-0.0105325674407
1079316879,140.985610316,0.0280603850825,37.4624999996,137.245833332,0.0391,-0.0110396149175
1079382410,139.451581873,0.0229473365887,37.420833333,137.254166665,0.0438666666667,-0.020919330078
1079382411,139.598538628,0.0375556867679,37.4291666663,137.254166665,0.0438666666667,-0.0063109798988
1079382412,139.751484975,0.029642085886,37.4374999996,137.254166665,0.0417666666667,-0.0121245807807
1079382413,139.910401274,0.0298784360166,37.445833333,137.254166665,0.0417666666667,-0.0118882306501
