grid_id,distance,PGA (g)_pred,lat,lon,PGA (g)_ref,PGA_diff
1069158621,161.371946024,0.0187590759692,35.9791666663,135.954166665,0.03955,-0.0207909240308
1069224156,161.974492627,0.0186169860233,35.970833333,135.962499999,0.03955,-0.0209330139767
1069224157,161.106401048,0.0268004131519,35.9791666663,135.962499999,0.03955,-0.0127495868481
1069224158,160.238965053,0.0204228153912,35.9874999996,135.962499999,0.040325,-0.0199021846088
1069289690,163.454325046,0.0182734810685,35.9541666663,135.970833332,0.0428,-0.0245265189315
1069289691,162.583572486,0.026305701165,35.9624999996,135.970833332,0.0428,-0.016494298835
1069289692,161.713440908,0.0283868367457,35.970833333,135.970833332,0.03935,-0.0109631632543
1069289693,160.843940413,0.0202670468323,35.9791666663,135.970833332,0.03935,-0.0190829531677
1069289694,159.975081278,0.0204912122056,35.9874999996,135.970833332,0.04015,-0.0196587877944
1069289695,159.106874002,0.0207182055511,35.995833333,135.970833332,0.04015,-0.0194317944489
1069289696,158.239329335,0.0253023138057,36.0041666663,135.970833332,0.040625,-0.0153226861943
1069355226,163.199112408,0.0183321743714,35.9541666663,135.979166665,0.0428,-0.0244678256286
1069355227,162.326990845,0.0198912104011,35.9624999996,135.979166665,0.0428,-0.0229087895989
1069355228,161.455476479,0.020111042761,35.970833333,135.979166665,0.03935,-0.019238957239
1069355229,160.584579216,0.0203336508132,35.9791666663,135.979166665,0.03935,-0.0190163491868
1069355230,159.714309142,0.0205590743004,35.9874999996,135.979166665,0.04015,-0.0195909256996
1069355231,158.844676554,0.0259415999937,35.995833333,135.979166665,0.04015,-0.0142084000063
1069355232,157.975692,0.0262300963452,36.0041666663,135.979166665,0.040625,-0.0143949036548
1069420761,163.821039565,0.0258997091956,35.945833333,135.987499999,0.0409,-0.0150002908044
1069420762,162.94697728,0.0261856851615,35.9541666663,135.987499999,0.03925,-0.0130643148385
1069420763,162.073498977,0.0199548518378,35.9624999996,135.987499999,0.03925,-0.0192951481622
1069420764,161.200614139,0.0201758820951,35.970833333,135.987499999,0.0396,-0.0194241179049
1069420765,160.32833248,0.0203997144553,35.9791666663,135.987499999,0.0396,-0.0192002855447
1069420766,159.456663888,0.0206263893319,35.9874999996,135.987499999,0.040375,-0.0197486106681
