bldg_cost,type_pop,day_pop,night_pop,transit_pop,bldg_count,Complete_count_High,Extensive_count_High,Moderate_count_High,Slight_count_High,Collapse_count_High,Complete_count_Low,Extensive_count_Low,Moderate_count_Low,Slight_count_Low,Collapse_count_Low,Complete_count_Moderate,Extensive_count_Moderate,Moderate_count_Moderate,Slight_count_Moderate,Collapse_count_Moderate,Complete_count_Precode,Extensive_count_Precode,Moderate_count_Precode,Slight_count_Precode,Collapse_count_Precode,Fatalities_day_High,Fatalities_day_Low,Fatalities_day_Moderate,Fatalities_day_Precode,Fatalities_night_High,Fatalities_night_Low,Fatalities_night_Moderate,Fatalities_night_Precode,Fatalities_transit_High,Fatalities_transit_Low,Fatalities_transit_Moderate,Fatalities_transit_Precode,Complete_prob_High,Complete_prob_Low,Complete_prob_Moderate,Complete_prob_Precode,Extensive_prob_High,Extensive_prob_Low,Extensive_prob_Moderate,Extensive_prob_Precode,Moderate_prob_High,Moderate_prob_Low,Moderate_prob_Moderate,Moderate_prob_Precode,Slight_prob_High,Slight_prob_Low,Slight_prob_Moderate,Slight_prob_Precode,Collapse_prob_High,Collapse_prob_Low,Collapse_prob_Moderate,Collapse_prob_Precode,Fatality_rate_High,Fatality_rate_Low,Fatality_rate_Moderate,Fatality_rate_Precode,Complete_prob_High_residential,Complete_prob_Low_residential,Complete_prob_Moderate_residential,Complete_prob_Precode_residential,Extensive_prob_High_residential,Extensive_prob_Low_residential,Extensive_prob_Moderate_residential,Extensive_prob_Precode_residential,Moderate_prob_High_residential,Moderate_prob_Low_residential,Moderate_prob_Moderate_residential,Moderate_prob_Precode_residential,Slight_prob_High_residential,Slight_prob_Low_residential,Slight_prob_Moderate_residential,Slight_prob_Precode_residential,Collapse_prob_High_residential,Collapse_prob_Low_residential,Collapse_prob_Moderate_residential,Collapse_prob_Precode_residential,Fatality_rate_High_residential,Fatality_rate_Low_residential,Fatality_rate_Moderate_residential,Fatality_rate_Precode_residential,Proba,Mag,Code
3.1123105896e+12,75849043.0368,27389195.0472,37479251.677,24492446.1633,15169808.6074,37460.7785153,154869.73018,782534.040588,2306442.58276,2907.95368873,427636.171263,1049717.61494,2336837.38795,3622356.17075,35407.3391905,157889.06003,508161.241785,1443048.63816,2868452.81112,12472.2656188,651463.306961,1465247.96958,2867693.17204,4079275.24756,52353.794615,730.388460666,9137.65451264,3140.73392913,13543.6635194,725.504963004,9026.86772341,3153.01906836,13307.6379921,476.923165073,5941.46134447,2067.641685,8773.6674225,0.00308780043951,0.036727835345,0.0129597601696,0.0552032476676,0.0167792552582,0.088583530876,0.0435169754977,0.120599440015,0.0811371421025,0.181653005586,0.126020584911,0.222565592821,0.186687622782,0.260866195284,0.219118625236,0.296709953162,0.000232894977953,0.00289037895575,0.0010006152338,0.00428472627023,2.30663029497e-05,0.000288081108831,9.95175036534e-05,0.000426360653588,0.0024694298712,0.0281899516554,0.0104081115403,0.0429447281652,0.0102090760792,0.0691978153524,0.0334981973035,0.0965897466152,0.0515849646389,0.154045278252,0.0951263575901,0.189039509084,0.152041640238,0.238787203221,0.189089584804,0.26890749601,0.000191693498843,0.00233406630941,0.00082217686074,0.00345118359566,1.83242327288e-05,0.000227746952499,7.97633754496e-05,0.00033560658269,3.38679540264e-07,6.48,F009801
3.1123105896e+12,75849043.0368,27389195.0472,37479251.677,24492446.1633,15169808.6074,45602.062308,191838.118166,946938.237605,2626956.24415,3552.39649237,523560.487939,1242389.81954,2648407.44451,3982471.67678,43068.1061668,195520.045322,619797.568043,1692152.65335,3211559.02304,15456.143065,788389.602479,1704008.74378,3201047.86949,4442929.35911,62742.1752313,893.610295555,11096.2273068,3893.40237044,16174.4089621,887.629074629,10968.9146056,3908.6994365,15921.8265839,583.585366565,7219.09553178,2563.42109375,10493.1524554,0.00377251159909,0.0447507002108,0.0160615958734,0.0662805795719,0.0207199512906,0.103722017073,0.0527436568375,0.138605513416,0.0952418442714,0.203440982179,0.144674671303,0.245409748343,0.208796111871,0.284785238615,0.242296476042,0.320713803025,0.000284876545039,0.00351230565349,0.00124048937246,0.00512360916676,2.82230626199e-05,0.000349911528271,0.000123373027129,0.000509479136496,0.00300610663512,0.0345133219205,0.0128887615119,0.0519709656783,0.012646047365,0.0818988460366,0.0408573096791,0.112328954694,0.0624225566792,0.174584104062,0.111547396355,0.211014387349,0.173170032144,0.262526164955,0.211707286899,0.292879724069,0.000234175432553,0.00283906720787,0.00101887528479,0.00413598990306,2.2397715775e-05,0.00027680523666,9.88594007982e-05,0.000401671448115,2.75289065527e-07,6.58,F009801
3.1123105896e+12,75849043.0368,27389195.0472,37479251.677,24492446.1633,15169808.6074,55672.861928,238704.998785,1156592.68888,3023881.03695,4360.77670572,645945.344262,1486916.95074,3031255.19118,4396147.16427,52893.6497761,243251.441799,762210.641916,2007239.60837,3625749.36555,19269.4594425,963031.419034,2004402.88599,3599986.99767,4843964.17889,76046.9399235,1099.17586672,13610.9662113,4857.0525728,19546.2198904,1089.68402197,13446.973369,4869.58142733,19251.1846828,716.646510307,8850.11138182,3194.03763135,12683.9481029,0.00462456394334,0.0549932723958,0.020003590223,0.0804033552095,0.0257368283488,0.122872733965,0.0645186845369,0.161101329505,0.113058247297,0.229743598344,0.167920703769,0.271920517109,0.235344406778,0.311515714579,0.269434151186,0.346035833705,0.000350011552222,0.00430868117974,0.00154660552397,0.0061958866464,3.46916254357e-05,0.000429106321925,0.000153830444443,0.000615743249705,0.00366997787309,0.0425809818028,0.0160352347281,0.063483425794,0.0157355313415,0.0980181747332,0.0502452378698,0.132131059651,0.0762430640237,0.199821584414,0.132318057553,0.237312618165,0.199335477146,0.289795822615,0.239010884013,0.319316103734,0.000287464187492,0.00348677106911,0.00127025066309,0.00501304544388,2.75163268783e-05,0.000339755496799,0.000123282542431,0.000486310950219,2.23763353227e-07,6.68,F009801
3.1123105896e+12,75849043.0368,27389195.0472,37479251.677,24492446.1633,15169808.6074,68124.5692693,291580.972639,1358364.55505,3377279.4661,5349.61569835,770248.048021,1716005.93367,3374429.41437,4773188.34191,62538.7191921,296821.314345,904409.80459,2294310.06771,3996140.32601,23447.2184716,1133507.97533,2279457.22739,3958977.24581,5215009.89843,88625.7090182,1349.27809827,16051.4880758,5904.87343432,22691.6519536,1336.36925283,15868.7460317,5918.5344879,22385.0082483,878.98107217,10441.8442937,3881.94635279,14742.2734386,0.00566807933741,0.0651331898785,0.0243511492064,0.0938500393947,0.031091734915,0.140430405492,0.0759813975113,0.181403197224,0.129578123339,0.253347028619,0.188871311978,0.295997154626,0.259190501503,0.336126328379,0.293964084821,0.369812537586,0.000429481480992,0.0050852080256,0.00188057370754,0.00720168891074,4.2570435197e-05,0.000506139416196,0.000186992120323,0.000715162535912,0.00449079952375,0.050775066974,0.0195665826793,0.0747213102466,0.0192211372065,0.113119814369,0.0596190649467,0.150262754553,0.089543948128,0.22244376984,0.151241859874,0.260977402437,0.222631646418,0.314650531556,0.263427207913,0.343775589621,0.000352648859114,0.00412257799757,0.00154565025034,0.00584224305739,3.37657641807e-05,0.000401245265355,0.000149941237918,0.000565914765076,1.81881681902e-07,6.78,F009801
3.1123105896e+12,75849043.0368,27389195.0472,37479251.677,24492446.1633,15169808.6074,79236.9231908,336713.347128,1515909.74422,3629190.26875,6225.0777359,870620.060751,1889882.4355,3619826.19863,5040460.18452,70162.9925115,342437.115188,1018053.84085,2507232.523,4257266.35463,26962.3396119,1267602.91533,2483017.31827,4213963.72178,5482217.62634,98285.0646459,1569.96329152,17967.1118375,6783.10549849,25083.0082712,1554.82972492,17779.5581375,6799.92819192,24786.8853325,1022.69933828,11696.5240442,4459.78495588,16317.3543936,0.0065942032796,0.0731968169317,0.0280226465585,0.104239686074,0.0355400154954,0.153481867249,0.0849933468781,0.196135127065,0.141982657701,0.270065451779,0.204064461209,0.313096263113,0.276129573144,0.353716971658,0.311311045916,0.387305266163,0.00049977045983,0.00569674640501,0.00216104014045,0.00796992832889,4.95322696945e-05,0.000566709988115,0.000214812159797,0.000790950503099,0.00522333044811,0.0573916311857,0.0225735949643,0.0835609036435,0.0221962818281,0.124581824624,0.0671105263881,0.163681519163,0.0999293915602,0.238620426422,0.165277795383,0.277786215426,0.239237709762,0.33226920095,0.280640742729,0.361390032547,0.000410359675394,0.00462517321923,0.00177736847641,0.00647899173878,3.92920060919e-05,0.000449701263235,0.000172329952545,0.000626806414449,1.06657372414e-07,6.85,F009801
