bldg_cost,type_pop,day_pop,night_pop,transit_pop,bldg_count,Complete_count_High,Extensive_count_High,Moderate_count_High,Slight_count_High,Collapse_count_High,Complete_count_Low,Extensive_count_Low,Moderate_count_Low,Slight_count_Low,Collapse_count_Low,Complete_count_Moderate,Extensive_count_Moderate,Moderate_count_Moderate,Slight_count_Moderate,Collapse_count_Moderate,Complete_count_Precode,Extensive_count_Precode,Moderate_count_Precode,Slight_count_Precode,Collapse_count_Precode,Fatalities_day_High,Fatalities_day_Low,Fatalities_day_Moderate,Fatalities_day_Precode,Fatalities_night_High,Fatalities_night_Low,Fatalities_night_Moderate,Fatalities_night_Precode,Fatalities_transit_High,Fatalities_transit_Low,Fatalities_transit_Moderate,Fatalities_transit_Precode,day_pop_V,day_pop_VI,day_pop_VII,day_pop_VIII,day_pop_IX,day_pop_X,night_pop_V,night_pop_VI,night_pop_VII,night_pop_VIII,night_pop_IX,night_pop_X,transit_pop_V,transit_pop_VI,transit_pop_VII,transit_pop_VIII,transit_pop_IX,transit_pop_X,Complete_prob_High,Complete_prob_Low,Complete_prob_Moderate,Complete_prob_Precode,Extensive_prob_High,Extensive_prob_Low,Extensive_prob_Moderate,Extensive_prob_Precode,Moderate_prob_High,Moderate_prob_Low,Moderate_prob_Moderate,Moderate_prob_Precode,Slight_prob_High,Slight_prob_Low,Slight_prob_Moderate,Slight_prob_Precode,Collapse_prob_High,Collapse_prob_Low,Collapse_prob_Moderate,Collapse_prob_Precode,Fatality_rate_High,Fatality_rate_Low,Fatality_rate_Moderate,Fatality_rate_Precode,Complete_prob_High_residential,Complete_prob_Low_residential,Complete_prob_Moderate_residential,Complete_prob_Precode_residential,Extensive_prob_High_residential,Extensive_prob_Low_residential,Extensive_prob_Moderate_residential,Extensive_prob_Precode_residential,Moderate_prob_High_residential,Moderate_prob_Low_residential,Moderate_prob_Moderate_residential,Moderate_prob_Precode_residential,Slight_prob_High_residential,Slight_prob_Low_residential,Slight_prob_Moderate_residential,Slight_prob_Precode_residential,Collapse_prob_High_residential,Collapse_prob_Low_residential,Collapse_prob_Moderate_residential,Collapse_prob_Precode_residential,Fatality_rate_High_residential,Fatality_rate_Low_residential,Fatality_rate_Moderate_residential,Fatality_rate_Precode_residential,Code,Proba,Mag
90414534082.0,2203461.28361,626831.020021,1065262.36896,840619.632021,440692.256721,127820.389293,206082.180796,328272.833564,410253.757709,6201.57714043,267183.000429,335175.291099,404251.74823,430165.097249,12540.1583691,204744.437228,282126.482264,374556.909447,420455.021618,9734.70322875,300842.537677,362943.50057,415601.600137,433346.375835,13848.7846325,1263.2593829,2532.05564058,1968.45567992,2751.84606449,1940.50161965,4053.68224742,3079.82023712,4453.45416208,1277.4663569,2673.56307065,2034.82625718,2946.48179648,0.0,0.0,0.0,149036.56748,179464.510324,298329.942217,0.0,0.0,0.0,278475.480031,307354.310095,479432.578833,0.0,0.0,0.0,233876.223443,243865.211308,362878.19727,0.312313318858,0.646839065319,0.493808961438,0.720618907876,0.520398255186,0.797668392826,0.678994777972,0.853562249606,0.792560959763,0.932150284442,0.877650056474,0.95470242079,0.945012786574,0.980095247393,0.962880223362,0.98669208049,0.0179680784207,0.0367514063757,0.0282317845501,0.0403849913922,0.00169588193761,0.00348019541468,0.00267469584095,0.00381216021903,0.290044554548,0.606280224701,0.464597310494,0.682659005436,0.467632860919,0.76056541949,0.640189333851,0.82357585148,0.744902658391,0.91731075839,0.849928501657,0.943065356376,0.930930261315,0.976112220463,0.954078532594,0.983331041619,0.0140723533165,0.0284555904439,0.0220895717596,0.03142506913,0.00124880793544,0.00254194044396,0.0019763379599,0.00279347037497,CPCF_INTRA_10_471_1_   1,3.10874076e-07,7.01
208175195.037,5073.36555044,1764.86872752,2497.54315584,1689.57166678,1014.67311009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,682.178500418,0.0,0.0,0.0,0.0,0.0,912.800976347,0.0,0.0,0.0,0.0,0.0,582.104835806,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CPCF_INTRA_10_471_1_   5,3.10874076e-07,7.01
3131437170.38,76315.1703101,21976.3732043,36931.6886082,28910.3865568,15263.034062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20368.4051667,51.3271972524,0.0,0.0,0.0,0.0,33799.1800869,80.6284200614,0.0,0.0,0.0,0.0,26214.2919589,59.9258865456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CPCF_INTRA_10_471_1_   6,3.10874076e-07,7.01
9342693084.04,227687.536128,57380.8843043,109045.337788,92513.7225158,45537.5072256,0.00897381768617,0.315134624227,15.4039066669,226.562708375,0.00085410983021,4.43078982082,38.8758712887,252.041024656,733.424492181,0.449305906372,0.353094041839,6.70159441091,72.4554388473,394.996267662,0.0335347997138,11.8746874083,85.9269558214,418.816090848,981.919017116,1.14426953993,0.000274766535196,0.127214835407,0.0093696336987,0.329910574956,0.000311930906171,0.154775473811,0.0114644506023,0.397257652833,0.000200138574937,0.0978771694122,0.00727642454123,0.252366548559,47531.3815518,8408.64015405,0.0,0.0,0.0,0.0,93062.0838245,12947.3561918,0.0,0.0,0.0,0.0,80324.5093918,9464.30991452,0.0,0.0,0.0,0.0,3.53287130219e-07,0.000171068968255,1.27342107907e-05,0.000453189191013,3.14147707155e-05,0.0014505796371,0.000258421860343,0.00304403957583,0.00143763952978,0.00809572499245,0.00352514777736,0.0134573735338,0.00907454716812,0.0196293261571,0.0127994082895,0.0269657515506,2.72897562492e-08,1.41557173602e-05,1.03477997495e-06,3.67307382754e-05,3.03169428888e-09,1.43765031526e-06,1.06367305209e-07,3.71962487075e-06,1.97064315394e-07,9.7299788477e-05,7.75391678973e-06,0.000260767181424,6.92033102878e-06,0.000853711010049,0.000147166474829,0.00188694904611,0.00033826855279,0.00553480065142,0.00159111561571,0.00919716770558,0.00497529887292,0.0161059429219,0.00867408630219,0.0215628627244,1.87561832486e-08,9.8667216048e-06,7.36421507388e-07,2.51280671614e-05,1.898935909e-09,9.93209244427e-07,7.46135090316e-08,2.52060778078e-06,CPCF_INTRA_10_471_1_   7,3.10874076e-07,7.01
19875319990.8,484374.537165,125144.594824,232407.773768,194459.664623,96874.9074329,0.0915044218832,2.35739726901,105.867850091,1602.69790217,0.00775438571087,25.572586902,205.809279715,1638.43027356,5133.20339508,2.13844976157,2.53490279135,41.2172687181,486.752342517,2716.43418284,0.201396502076,68.1656951254,473.307781579,2696.72871615,6733.85658964,5.26010298136,0.00237052662052,0.637678075611,0.0572766326835,1.58339034062,0.00330195151822,1.10322567897,0.0919360713047,2.80024003679,0.00204062653919,0.662106953002,0.0562504693621,1.6830564533,85468.2103952,34092.3623023,1017.68491159,0.0,0.0,0.0,159432.830892,62646.8717926,1374.79220912,0.0,0.0,0.0,133763.788221,52075.7932997,886.022289155,0.0,0.0,0.0,1.6709879424e-06,0.000510188705282,4.46040228862e-05,0.00132308905835,0.00010563552944,0.00402877035148,0.000784752751094,0.00849962813916,0.00439828718692,0.0245037069565,0.0107746484372,0.0404065169461,0.0286518238162,0.0627312768542,0.0400603100827,0.0846292824516,1.2338252182e-07,3.874894355e-05,3.35151359108e-06,9.77839591292e-05,1.32768078013e-08,3.92700483922e-06,3.42829215064e-07,9.8777226843e-06,9.44562676837e-07,0.000263975342838,2.61667634946e-05,0.000703646557522,2.43344466744e-05,0.00212448491739,0.000425468986865,0.00488576241383,0.00109283046453,0.0169128447911,0.00502454511096,0.0278372262499,0.0165439941533,0.0529879566453,0.0280406377134,0.0695108441193,8.00453483399e-08,2.20743412121e-05,2.07893362082e-06,5.42978891103e-05,7.94797589438e-09,2.20822108597e-06,2.08823337216e-07,5.40586425343e-06,CPCF_INTRA_10_471_1_   8,3.10874076e-07,7.01
50176241594.2,1222827.79901,372053.934542,594547.006888,448012.887564,244565.559801,2.950770501,41.7063714092,773.258037365,5948.91021598,0.239369222743,253.431745959,1179.73877048,5825.32877007,14553.6645575,20.0871867925,43.6589681114,361.374547517,2378.15673922,8853.39454219,3.38763606742,530.272255183,2193.37443505,8521.60676282,17966.6203208,38.718542839,0.0666374281155,5.5852012941,0.90575623263,10.7846121337,0.0846192342009,8.26206915302,1.25044795064,16.6077937837,0.0535528237475,5.11483110606,0.786717611526,10.269487662,278648.67705,51762.4082623,19869.7686631,82.9853355516,0.0,0.0,416645.437953,101015.938429,33494.0855198,121.669541422,0.0,0.0,296883.060034,87029.0717936,26277.5644831,85.1587373748,0.0,0.0,1.90129364683e-05,0.00168975285705,0.000267494457633,0.00344988163742,0.000477920867833,0.007805412201,0.00233231568867,0.0136914550072,0.00794849467858,0.0315474219825,0.0165088519497,0.0463470534577,0.035775977028,0.0675941427145,0.0469488898574,0.0853335822626,1.40228501409e-06,0.00012721005055,2.00570218036e-05,0.000251394693619,1.43157782867e-07,1.27804452326e-05,2.0199656028e-06,2.51786048097e-05,1.20653558228e-05,0.00103625279931,0.000178516419675,0.00216822129663,0.000170532479892,0.00482381399668,0.00147761830329,0.00896845180012,0.00316176177052,0.0238190887335,0.00972400505269,0.0348438544239,0.0243243988271,0.0595082339856,0.036200495889,0.0734634113463,9.78752784885e-07,8.21341598909e-05,1.38516480823e-05,0.000158315597954,9.54152516431e-08,8.11600457124e-06,1.36848715697e-06,1.55464978129e-05,CPCF_INTRA_10_471_1_   9,3.10874076e-07,7.01
57393632617.2,1398720.33497,414840.111806,678571.54734,520660.014742,279744.066995,59.4000978652,469.103364261,4532.0046779,21958.9088143,4.19811926113,1781.36232693,6045.54382784,21814.6543399,45487.9779289,116.704346832,475.518134312,2376.33490017,10703.3146405,30432.3844761,31.1587950175,3209.55027465,10052.4582756,30040.1150581,55053.4740074,197.72132118,1.09018204751,30.6716573891,7.91368776233,51.3373109369,1.4834863145,49.5246971172,11.9067926587,84.5229735238,0.937233881379,30.7819385576,7.50128868417,52.7516390375,177820.435766,175889.146538,38109.5732089,11977.5943525,8.814258717,0.0,295026.172907,266087.324216,75619.4292873,18488.361719,18.6370080875,0.0,228791.818534,191571.941965,65758.0052217,13542.9383533,16.757406039,0.0,0.000303835613224,0.00930660582017,0.00233397568261,0.0162834810209,0.0034562344205,0.0309659073158,0.0120209602361,0.0492684713597,0.0307647368593,0.0978829839074,0.056812155287,0.136309662594,0.107629844384,0.183862865232,0.136014989623,0.227712437324,2.12818686027e-05,0.000647591998834,0.000162328645477,0.00110192002925,2.11536673709e-06,6.43767404214e-05,1.6131313575e-05,0.00010915679623,0.00021233729281,0.00636782880175,0.00169983277723,0.0114731665595,0.00167690192432,0.0216109813973,0.00849467488516,0.0359344824845,0.0162005390377,0.07798075782,0.038261096135,0.107384279427,0.0784964237141,0.162605693188,0.10878652335,0.19679943385,1.50070001707e-05,0.000417182562926,0.000111383220213,0.00070679361784,1.42754494749e-06,4.03839871117e-05,1.0763194436e-05,6.79470576632e-05,CPCF_INTRA_10_471_1_  10,3.10874076e-07,7.01
1.13447378186e+11,2764786.74693,822715.586243,1341680.57027,1027085.14096,552957.349386,125730.495706,205785.975551,369083.669113,501543.745036,5496.006169,284958.496127,384989.513717,493097.394521,535535.427657,13739.7927691,204886.757494,305123.224963,443190.627838,519356.154251,9381.81531429,332157.157382,428048.97541,512051.259671,541031.137266,15953.7161229,1049.93398182,2833.56151712,1855.7348836,3278.39137504,1870.27994879,4472.19096887,3104.17543516,5096.81431598,1239.59803173,2964.37516409,2064.82527135,3384.32597101,0.0,0.0,0.0,355424.51754,254362.090128,212928.978575,0.0,0.0,0.0,555182.317978,396296.501822,390201.750471,0.0,0.0,0.0,410724.330887,292556.091751,323804.718325,0.243795770507,0.563588862218,0.397937629988,0.650130019134,0.426651373825,0.747775577432,0.60027156768,0.817952621661,0.734549362769,0.915002699308,0.843149572961,0.944385069918,0.928191426224,0.974990846277,0.952833354482,0.983837601722,0.0131322458587,0.0325071073849,0.0221834563742,0.0373852304915,0.00122501332703,0.00308944855797,0.00209393629925,0.00354897714056,0.227378288481,0.515335398732,0.37052904301,0.600692183133,0.372155240868,0.696237267024,0.551802458728,0.774108483928,0.667472219191,0.891745801134,0.801491522503,0.926023065322,0.907020669122,0.968493190753,0.939233658486,0.978431949347,0.00993929491144,0.0248478346194,0.0169666165477,0.0288516214508,0.000864610082447,0.00223874187179,0.00151123118964,0.00259456233601,CPCF_INTRA_10_471_1_  12,3.10874076e-07,7.01
81939667166.3,1996923.23835,577866.347477,966776.208913,754339.588156,399384.647669,7922.21059311,18781.4953076,54134.7712052,118581.525548,366.554826586,33703.8118495,61799.6086996,116507.32552,166584.659613,1661.23081645,18634.7674993,38484.741077,82695.273245,138607.851033,842.238952389,45088.0617101,79301.245226,135583.77727,181487.653871,2260.15084231,75.3215536517,360.817422639,172.113750856,495.426461808,135.354872113,623.119965147,321.80867008,815.309577325,87.2305168259,405.243642289,209.620162628,533.308278644,158741.644808,107983.214576,173928.723207,90095.8058767,30227.8637644,16889.0952454,284012.893362,193078.522668,260907.75648,139733.760292,59510.0127611,29533.2633492,232103.878258,157725.761981,186448.64977,102766.293496,51523.7117323,23771.2929192,0.0225627610536,0.0994531986103,0.052753275613,0.132393374402,0.0604063676623,0.183483486595,0.112737485093,0.231873898706,0.177624839125,0.326122399507,0.247686695906,0.379903776697,0.339742801494,0.441536779777,0.382848434393,0.48482543519,0.00127224428631,0.00588474433068,0.00296768649451,0.00789179858129,0.0001201115591,0.000565869918061,0.000282758105475,0.00075911958298,0.0198360418693,0.0843893525858,0.046658697594,0.112893827976,0.0470260822923,0.154737066285,0.0963600912094,0.198558571765,0.135545448532,0.291717085772,0.207056715193,0.339481695305,0.296910575406,0.417103312773,0.347053528075,0.454418202928,0.000917798990837,0.00415947589911,0.00210884158243,0.00565908293045,8.07578993145e-05,0.000380886680251,0.000189575040695,0.000519177811583,CPCF_INTRA_10_471_1_  15,3.10874076e-07,7.01
83099305406.5,2025184.38011,584397.683395,980228.825016,766274.44841,405036.876022,25144.0927225,47100.6945852,106620.152768,185287.586801,1042.89549436,74341.2994212,116230.730546,181799.003539,235018.578978,3803.70224351,46942.5539353,81920.5199354,144266.147127,205882.283723,2168.58348933,92545.4896951,138482.258505,201821.667159,250491.927954,4762.57197907,193.987709031,821.453185587,436.006347737,1033.8601141,383.453708564,1261.66274991,747.873172465,1542.821131,254.09515769,832.695770147,496.450584844,1019.07279462,42239.3238731,158723.463006,109704.526588,169234.8587,62714.2146453,41781.2965823,87062.4569578,277935.968401,182601.832223,249781.02519,101555.201154,81292.341089,77268.5301098,223918.938395,141945.00327,175902.495805,77322.7203546,69916.7604758,0.0676492723025,0.209165850791,0.127719910687,0.2582902406,0.141568677941,0.324720580809,0.229306741709,0.381274080606,0.315811134843,0.48405430795,0.400761767306,0.538718875676,0.500066222613,0.604248869471,0.543659559703,0.649410566016,0.00353669100433,0.012531837412,0.00717894523173,0.0155354803031,0.000328469309912,0.00120175249898,0.00068037493532,0.00149010675482,0.0620785271934,0.183542052149,0.115896987939,0.228486577825,0.11628742313,0.286963329581,0.202254473074,0.3419003718,0.263235668355,0.448845560248,0.356180278062,0.498279734777,0.457458561849,0.580239955645,0.508305035691,0.618442277192,0.00257481616145,0.00939100232272,0.00535403963864,0.0117583663637,0.000221710870042,0.000859370580163,0.000480124257073,0.00107594508545,CPCF_INTRA_10_471_1_  16,3.10874076e-07,7.01
