#
# VER. = 1.0
# DATE = 2014-12-08
#
# UPDATED
#
# CODE, JCODE, AVS, ARV
4040669911, 0,  0.0,   0.0000
4040669912, 0,  0.0,   0.0000
4040669913, 0,  0.0,   0.0000
4040669914, 0,  0.0,   0.0000
4040669921, 0,  0.0,   0.0000
4040669922, 0,  0.0,   0.0000
4040669923, 0,  0.0,   0.0000
4040669924,16,260.2,   1.4425
4040669931, 0,  0.0,   0.0000
4040669932, 0,  0.0,   0.0000
4040669933, 0,  0.0,   0.0000
4040669934, 0,  0.0,   0.0000
4040669941, 0,  0.0,   0.0000
4040669942, 1,641.3,   0.6689
4040669943, 0,  0.0,   0.0000
4040669944, 1,641.3,   0.6689
4040678011, 0,  0.0,   0.0000
4040678012, 0,  0.0,   0.0000
4040678013, 0,  0.0,   0.0000
4040678014, 0,  0.0,   0.0000
4040678021, 0,  0.0,   0.0000
4040678022, 0,  0.0,   0.0000
4040678023, 0,  0.0,   0.0000
4040678024, 0,  0.0,   0.0000
4040678031, 0,  0.0,   0.0000
4040678032, 0,  0.0,   0.0000
4040678033, 0,  0.0,   0.0000
4040678034, 0,  0.0,   0.0000
4040678041, 0,  0.0,   0.0000
4040678042, 0,  0.0,   0.0000
4040678043, 0,  0.0,   0.0000
4040678044, 0,  0.0,   0.0000
4040679011,21,429.1,   0.9419
4040679012, 0,  0.0,   0.0000
4040679013, 1,641.3,   0.6689
4040679014, 1,641.3,   0.6689
4040679021, 0,  0.0,   0.0000
4040679022, 0,  0.0,   0.0000
4040679023, 0,  0.0,   0.0000
4040679024, 0,  0.0,   0.0000
4040679031,16,260.2,   1.4425
4040679032, 1,641.3,   0.6689
4040679033,16,260.2,   1.4425
4040679034, 0,  0.0,   0.0000
4040679041, 0,  0.0,   0.0000
4040679042, 0,  0.0,   0.0000
4040679043, 0,  0.0,   0.0000
4040679044, 0,  0.0,   0.0000
4040760922,21,429.1,   0.9419
4040770011,21,429.1,   0.9419
4040770012, 1,641.3,   0.6689
4040770013,21,429.1,   0.9419
4040770014,21,429.1,   0.9419
4040770021, 0,  0.0,   0.0000
4040770022, 0,  0.0,   0.0000
4040770023, 0,  0.0,   0.0000
4040770024, 0,  0.0,   0.0000
4040770031, 0,  0.0,   0.0000
4040770032, 0,  0.0,   0.0000
4040770033, 0,  0.0,   0.0000
4040770034, 0,  0.0,   0.0000
4040770041, 0,  0.0,   0.0000
4040770042, 0,  0.0,   0.0000
4040770043, 0,  0.0,   0.0000
4040770044, 0,  0.0,   0.0000
