Code,Process,Multi,AvrAct,LastAct,Alpha,Desc,Name
F000101,Poisson,POI,17000,,,P(lmbd=17000.0),Shibetsu fault zone
F000201,Poisson,POI,17000,,,P(lmbd=17000.0),Tokachi-heiya fault zone (Main part)
F000202,Poisson,POI,7000,,,P(lmbd=7000.0),Kochien fault
F000301,BrownianPassageTime,BPT,4000,1917,0.24,"BPT(mu=4000.0,t0=1917.0,alph=0.24)",Furano fault zone (Western part)
F000302,BrownianPassageTime,BPT,9000,4300,0.24,"BPT(mu=9000.0,t0=4300.0,alph=0.24)",Furano fault zone (Eastern part)
F000401,Poisson,POI,5000,,,P(lmbd=5000.0),Mashike-sanchi-toen fault zone
F000402,Poisson,POI,12000,,,P(lmbd=12000.0),Numata-Sunagawa-area fault zone
F000501,BrownianPassageTime,BPT,7500,11000,0.24,"BPT(mu=7500.0,t0=11000.0,alph=0.24)",Tobetsu fault
F000601,BrownianPassageTime,BPT,1000,278,0.24,"BPT(mu=1000.0,t0=278.0,alph=0.24)",Ishikari-teichi-toen fault zone (Main part)
F000602,Poisson,POI,17000,,,P(lmbd=17000.0),Ishikari-teichi-toen fault zone (Southern part)
F000701,BrownianPassageTime,BPT,3600,5900,0.24,"BPT(mu=3600.0,t0=5900.0,alph=0.24)",Kuromatsunai-teichi fault zone
F000801,BrownianPassageTime,BPT,13000,14000,0.24,"BPT(mu=13000.0,t0=14000.0,alph=0.24)",Hakodate-heiya-seien fault zone
F000901,Poisson,POI,3000,,,P(lmbd=3000.0),Aomori-wan-seigan fault zone
F001101,Poisson,POI,15000,,,P(lmbd=15000.0),Oritsume fault
F001201,BrownianPassageTime,BPT,1900,323,0.24,"BPT(mu=1900.0,t0=323.0,alph=0.24)",Noshiro fault zone
F001301,BrownianPassageTime,BPT,16000,4500,0.24,"BPT(mu=16000.0,t0=4500.0,alph=0.24)",Kitakami-teichi-seien fault zone
F001401,Poisson,POI,5400,,,P(lmbd=5400.0),Shizukuishi-bonchi-seien fault zone
