Code,Process,Magnitude,Name,Shape
ANIGT,"BPT(mu=1000.0,t0=52.5,alph=0.21)",CHAR(mag=7.5),Niigata-ken-hokubu-Oki Earthquake,"MULTIPOLYGON (((139.42 38.74, 139.2757059208906 38.02940042831102, 139.0846638947165 38.05300142666998, 139.2289579738259 38.76360099835895, 139.42 38.74)))"
AHKDW,"BPT(mu=2650.0,t0=76.4,alph=0.21)",CHAR(mag=7.5),Hokkaido-seiho-Oki Earthquake,"MULTIPOLYGON (((139.53 43.73, 139.2500344780591 44.60627205142179, 139.5751685337978 44.66051272464662, 139.8551340557387 43.78424067322482, 139.53 43.73)))"
ASNKT,"BPT(mu=97.0,t0=48.6,alph=0.18)",CHAR(mag=8.3),Large interplate earthquakes in Northern Sanriku-Oki (Repeating earthquakes),"MULTIPOLYGON (((143.1 41.6, 143.9315633240902 40.20332901432027, 142.8991607367186 39.85960162168183, 142.0675974126284 41.25627260736157, 143.1 41.6)))"
ATKCH,"BPT(mu=72.2,t0=13.3,alph=0.28)",CHAR(mag=8.1),Tokachi-Oki Earthquake,"POLYGON ((144.26 41.362, 143.863 41.428, 143.496 41.593, 143.342 41.775, 143.239 41.897, 143.188 41.958, 143.406 42.234, 143.756 42.488, 143.836 42.527, 143.997 42.605, 144.157 42.682, 144.45 42.737, 144.715 42.693, 144.767 42.633, 145.287 42.026, 145.258 41.926, 144.583 41.517, 144.422 41.439, 144.26 41.362))"
ATNI1,"MULTI(ATKCH,ANMRO)",CHAR(mag=8.3),Tokachi-Oki Earthquake + Nemuro-Oki Earthquake,"POLYGON ((144.26 41.362, 143.863 41.428, 143.496 41.593, 143.342 41.775, 143.239 41.897, 143.188 41.958, 143.406 42.234, 143.756 42.488, 143.836 42.527, 143.997 42.605, 144.157 42.682, 146.294 43.369, 146.507 43.385, 146.641 43.363, 146.774 43.341, 146.827 43.281, 146.879 43.22, 146.852 43.12, 146.824 43.021, 146.634 42.844, 145.258 41.926, 144.583 41.517, 144.422 41.439, 144.26 41.362))"
BHGNS,P(lmbd=23.0),DISC(M7.1P1.0),Relatively small interplate earthquakes in Hyuganada,"MULTIPOLYGON (((132.273 31.321, 132.1530411874971 31.02338615065811, 131.8256657271606 31.11968271790122, 131.9456245396635 31.41729656724311, 132.273 31.321)), ((132.11 31.41, 132.0270360337086 31.10330478200237, 131.6893514590816 31.16984081765104, 131.772315425373 31.47653603564866, 132.11 31.41)), ((131.951 31.47, 131.8869159794825 31.16001938851394, 131.5476168718476 31.21104697639998, 131.611700892365 31.52102758788604, 131.951 31.47)), ((131.798 31.52, 131.7338817062139 31.21001938851394, 131.4016865095132 31.25995190616821, 131.4658048032993 31.56993251765426, 131.798 31.52)), ((132.329 31.493, 132.1967135259405 31.19914383305588, 131.8689622867279 31.30642378221899, 132.0012487607874 31.60027994916311, 132.329 31.493)), ((132.161 31.57, 132.0778939919862 31.26330478200237, 131.7375340925219 31.33025333119917, 131.8206401005357 31.6369485491968, 132.161 31.57)), ((132.008 31.623, 131.9311453025336 31.31511575510888, 131.5913778942047 31.37661188684463, 131.6682325916711 31.68449613173574, 132.008 31.623)), ((131.82 31.675, 131.7431022962686 31.36711575510888, 131.417940853381 31.42593536893993, 131.4948385571124 31.73381961383105, 131.82 31.675)), ((132.439 31.628, 132.2827704772888 31.34272823892694, 131.9591512354076 31.47121994902409, 132.1153807581187 31.75649171009714, 132.439 31.628)), ((132.222 31.707, 132.1138268300286 31.40599106489186, 131.7754685193163 31.49399756038621, 131.8836416892877 31.79500649549434, 132.222 31.707)), ((132.013 31.767, 131.9234345133533 31.46158723123029, 131.5858710390575 31.53314290327086, 131.6754365257042 31.83855567204058, 132.013 31.767)), ((131.852 31.822, 131.7686679664489 31.51530478200237, 131.4470585441809 31.57839354160868, 131.530390577732 31.88508875960631, 131.852 31.822)), ((132.55 31.702, 132.353948344979 31.4350662084939, 132.0482414588589 31.59758991275904, 132.2442931138799 31.86452370426515, 132.55 31.702)), ((132.334 31.839, 132.1952032312258 31.54715723442518, 131.8649771003183 31.66050164955007, 132.0037738690926 31.95234441512489, 132.334 31.839)), ((132.121 31.907, 132.0125923886627 31.60599106489186, 131.6773253825294 31.69300493337304, 131.7857329938667 31.99401386848118, 132.121 31.907)), ((131.91 31.965, 131.8139727036793 31.66096271214617, 131.4891712529495 31.73479647694181, 131.5851985492702 32.03883376479564, 131.91 31.965)), ((132.658 31.802, 132.396112416021 31.57942925789555, 132.1399477040901 31.79713629527856, 132.401835288069 32.01970703738301, 132.658 31.802)), ((132.498 31.91, 132.3126004828684 31.63740762508576, 132.001017776968 31.79011400947061, 132.1864172940996 32.06270638438486, 132.498 31.91)), ((132.336 31.986, 132.1909973782651 31.69625953392801, 131.8626257982286 31.81448273663746, 132.0076284199635 32.10422320270945, 132.336 31.986)), ((132.181 32.043, 132.0479247967492 31.74914383305588, 131.7182194124005 31.85642378221899, 131.8512946156513 32.15027994916311, 132.181 32.043)), ((131.967 32.106, 131.8521715229403 31.80664301425609, 131.5318771728612 31.89479683644294, 131.646705649921 32.19415382218685, 131.967 32.106)), ((132.756 31.847, 132.4562223541895 31.66198720804055, 132.2424227672138 31.91195686414801, 132.5422004130243 32.09696965610747, 132.756 31.847)), ((132.607 32.022, 132.3683640440125 31.78087788842319, 132.0912578181767 31.97801777450218, 132.3298937741643 32.21913988607899, 132.607 32.022)), ((132.449 32.106, 132.2576155815174 31.83619582430704, 131.948559741529 31.99349502878715, 132.1399441600116 32.26329920448011, 132.449 32.106)), ((132.236 32.183, 132.0847319172687 31.89545009118358, 131.7616069692672 32.01720954664635, 131.9128750519985 32.30475945546277, 132.236 32.183)), ((132.023 32.246, 131.889628186525 31.95214383305589, 131.5747356670618 32.05437608913481, 131.7081074805369 32.34823225607893, 132.023 32.246)), ((133.025 31.925, 132.6888871424626 31.79197559315627, 132.534084773984 32.07373518546917, 132.8701976315213 32.2067595923129, 133.025 31.925)), ((132.88 31.891, 132.5557587935149 31.73840008181432, 132.3787594579599 32.00951523345115, 132.703000664445 32.16211515163682, 132.88 31.891)), ((132.756 32.064, 132.4517488913962 31.88345961135027, 132.2426240966343 32.13656078998354, 132.5468752052381 32.31710117863327, 132.756 32.064)), ((132.556 32.233, 132.3320578876015 31.98161944069619, 132.0424934024313 32.16619323041606, 132.2664355148298 32.41757378971986, 132.556 32.233)), ((132.346 32.314, 132.1654357701563 32.03870246014253, 131.8523081433378 32.18539091629774, 132.0328723731816 32.46068845615521, 132.346 32.314)), ((132.132 32.385, 131.9803946018165 32.09745009118358, 131.6669522980242 32.21529815571692, 131.8185576962077 32.50284806453334, 132.132 32.385)), ((132.933 32.098, 132.6145107386295 31.93588529597691, 132.4260503885651 32.2015905399944, 132.7445396499356 32.36370524401749, 132.933 32.098)), ((132.838 32.267, 132.5368429741052 32.08198720804055, 132.3213637022809 32.33276679065951, 132.6225207281757 32.51777958261896, 132.838 32.267)), ((132.61 32.352, 132.3465320352009 32.12942925789555, 132.0888214775625 32.34713629527856, 132.3522894423616 32.569707037383, 132.61 32.352)), ((132.401 32.45, 132.1978471036657 32.18601790329949, 131.8971375035461 32.35080889727281, 132.1002903998804 32.61479099397332, 132.401 32.45)), ((132.182 32.529, 132.0183418823023 32.24609328321222, 131.7167525580216 32.37011142508482, 131.8804106757193 32.6530181418726, 132.182 32.529)), ((132.759 32.425, 132.4651498183935 32.23121281665774, 132.2397869433444 32.47469197526335, 132.5336371249509 32.66847915860561, 132.759 32.425)), ((132.66 32.583, 132.3738387096329 32.38067452510721, 132.1389680271909 32.61652754002994, 132.4251293175579 32.81885301492272, 132.66 32.583)), ((132.506 32.577, 132.2709286727364 32.33238354606824, 131.9918850593172 32.52279650970372, 132.2269563865808 32.76741296363547, 132.506 32.577)), ((132.232 32.677, 132.0622304155517 32.396544503624, 131.7653545529187 32.52386863457844, 131.9351241373669 32.80432413095444, 132.232 32.677)), ((132.559 32.708, 132.2991425303968 32.48157876144536, 132.0392212725423 32.69278080838468, 132.2990787421455 32.91920204693931, 132.559 32.708)), ((132.334 32.823, 132.1581532876103 32.54508115349681, 131.8634799967742 32.67674703367235, 132.0393267091639 32.95466588017553, 132.334 32.823)), ((132.44 32.965, 132.2524180111781 32.69240762508576, 131.9579572197841 32.83504350562229, 132.145539208606 33.10763588053654, 132.44 32.965)))"
BHGNL,P(lmbd=200.0),DISC(M7.6P1.0),Interplate earthquakes in Hyuganada,"MULTIPOLYGON (((132.401 31.611, 132.2233451559731 31.04635932255717, 131.5964503571921 31.18941156824966, 131.774105201219 31.75405224569249, 132.401 31.611)), ((132.077 31.736, 131.9458512209822 31.16218095222944, 131.3202784405349 31.26559822705718, 131.4514272195527 31.83941727482774, 132.077 31.736)), ((132.584 31.816, 132.3262987906267 31.27400629250391, 131.7131744790662 31.48450306345013, 131.9708756884395 32.02649677094623, 132.584 31.816)), ((132.225 32.006, 132.0349902240353 31.44408578213539, 131.4123096397299 31.59549498587215, 131.6023194156946 32.15740920373677, 132.225 32.006)), ((132.767 31.991, 132.3916161434073 31.50074753469906, 131.8307459663717 31.80966414950364, 132.2061298229644 32.29991661480458, 132.767 31.991)), ((132.349 32.268, 132.0900231940707 31.7260062925039, 131.4876895386665 31.93177987444649, 131.7466663445958 32.47377358194259, 132.349 32.268)), ((133.073 31.968, 132.4951044152081 31.64962632644977, 132.1255161294115 32.13243075521149, 132.7034117142034 32.45080442876172, 133.073 31.968)), ((132.882 32.318, 132.3521182658504 31.94225268948483, 131.9156636854019 32.38182358238529, 132.4455454195515 32.75757089290046, 132.882 32.318)), ((132.522 32.573, 132.1857014264857 32.0617331402647, 131.6155911476006 32.32804188621769, 131.9518897211149 32.83930874595299, 132.522 32.573)), ((132.669 32.768, 132.2506260149094 32.30115038986435, 131.7289077035755 32.63173088459517, 132.1472816886661 33.09858049473082, 132.669 32.768)))"
AHKSW,"BPT(mu=950.0,t0=23.5,alph=0.21)",CHAR(mag=7.8),Hokkaido-nansei-Oki Earthquake,"MULTIPOLYGON (((139.09 42.94, 138.9820128329828 43.16958782663517, 139.3843842796327 43.27101342254365, 139.4923714466499 43.04142559590849, 139.09 42.94)), ((139.48 42.88, 139.3750613708241 42.66872853080121, 139.0754340601858 42.7486417449192, 139.1803726893617 42.95991321411799, 139.48 42.88)), ((139.36 42.67, 139.2554166243163 42.45872853080121, 138.9568036555776 42.5386417449192, 139.0613870312613 42.74991321411799, 139.36 42.67)), ((139.19 42.47, 139.3025884510408 42.24182681326531, 139.1307361027486 42.19568889758248, 139.0181476517078 42.42386208431717, 139.19 42.47)), ((139.29 42.25, 139.4354378788187 41.95421994312169, 139.2641861839668 41.90808202743887, 139.1187483051482 42.20386208431717, 139.29 42.25)))"
ANNKI,"BPT(mu=88.2,t0=71.0,alph=0.22)","DISC(M8.18P0,M8.1P0,M8.1P0,M7.94P0,M8.1P0,M7.94P0,M7.87P0,M8.02P0,M7.55P0,M7.87P0,M7.48P0,M7.87P0,M8.02P0,M7.71P0,M7.63P0)",Nankai Trough earthquakes,"POLYGON ((132.771 31.161, 132.555 31.206, 132.179 31.34, 132.071 31.385, 131.964 31.43, 131.856 31.476, 131.77 31.52, 131.695 31.566, 131.555 31.655, 131.501 31.745, 131.48 31.791, 131.48 31.835, 131.501 31.925, 131.533 32.06, 131.587 32.24, 131.641 32.376, 131.695 32.511, 131.716 32.556, 131.856 32.825, 131.931 32.96, 131.985 33.05, 132.071 33.185, 132.233 33.365, 132.286 33.41, 132.502 33.59, 132.718 33.725, 132.879 33.815, 132.987 33.86, 133.309 33.994, 138.097 35.523, 138.151 35.523, 138.334 35.478, 138.441 35.433, 138.495 35.388, 138.581 35.298, 138.635 35.208, 138.635 34.849, 138.581 34.579, 138.527 34.354, 138.474 34.174, 138.366 33.994, 138.312 33.904, 137.99 33.635, 137.936 33.59, 137.667 33.41, 137.505 33.32, 137.075 33.094, 133.04 31.161, 132.771 31.161))"
BTNMI,P(lmbd=103.0),"DISC(M6.8P0.5,M8.0P0.5)",Large interplate earthquakes close to the offshore trenches in the Sanriku-Oki to Boso-Oki regions (Tsunami earthquakes),"MULTIPOLYGON (((144.733 41.084, 144.2368639853785 39.32466145776505, 143.6565265380832 39.41763904903693, 144.1526625527047 41.17697759127189, 144.733 41.084)), ((144.432 41.184, 143.9351071012721 39.42466145776504, 143.3578780113511 39.51700018179269, 143.854770910079 41.27633872402764, 144.432 41.184)), ((144.391 40.278, 144.1855215610976 38.48620116860882, 143.6015807444284 38.52517700009918, 143.8070591833308 40.31697583149036, 144.391 40.278)), ((144.08 40.317, 143.792514859582 38.53176360191495, 143.2128667493061 38.58603016018985, 143.5003518897242 40.3712665582749, 144.08 40.317)), ((144.282 39.348, 143.8781089537685 37.57668222007969, 143.3097323757645 37.65418298188773, 143.713623421996 39.42550076180804, 144.282 39.348)), ((143.932 39.398, 143.527819608727 37.62668222007969, 142.9603413165777 37.70400510284412, 143.3645217078507 39.47532288276443, 143.932 39.398)), ((144.085 38.404, 143.4523506927542 36.67503317580118, 142.9048844854222 36.79805263587029, 143.537533792668 38.52701946006911, 144.085 38.404)), ((143.735 38.454, 143.1019124973627 36.72503317580118, 142.5553245052646 36.84777028272443, 143.188412007902 38.57673710692325, 143.735 38.454)), ((143.919 37.457, 142.7520027321496 35.91526185318311, 142.2700695639152 36.14512803261538, 143.4370668317656 37.68686617943227, 143.919 37.457)), ((143.604 37.569, 142.4693752754497 36.01132928620433, 141.9841171612713 36.23339165235714, 143.1187418858217 37.79106236615281, 143.604 37.569)), ((143.29 36.585, 141.941941397512 35.14853966112109, 141.499060296729 35.41651870418546, 142.8471188992169 36.85297904306437, 143.29 36.585)), ((142.981 36.781, 141.8922612432637 35.20787120081446, 141.4086869782266 35.42255917586915, 142.4974257349629 36.99568797505469, 142.981 36.781)), ((142.443 36.055, 142.0949633934991 34.27850107077754, 141.5509555075842 34.34815895007773, 141.8989921140851 36.12465787930019, 142.443 36.055)), ((142.213 36.028, 141.7126987402334 34.27545589715641, 141.1791685935967 34.37507084769919, 141.6794698533633 36.12761495054278, 142.213 36.028)))"
ASKTN,"BPT(mu=72.2,t0=47.4,alph=0.28)",CHAR(mag=7.8),Shikotanto-Oki Earthquake,"POLYGON ((147.774 43.002, 147.635 43.008, 147.218 43.026, 147.087 43.134, 146.957 43.242, 146.973 43.445, 147.127 43.642, 147.427 43.935, 147.573 44.031, 147.859 44.121, 148.071 44.163, 148.284 44.204, 148.703 44.186, 148.909 44.126, 149.035 43.917, 149.028 43.816, 148.946 43.666, 148.717 43.421, 148.496 43.277, 148.422 43.23, 147.987 43.044, 147.774 43.002))"
BSDGN,P(lmbd=750.0),DISC(M7.8P1.0),Sadogashima-hoppo-Oki Earthquake,"MULTIPOLYGON (((138.482 39.022, 138.7634154739972 40.26192244594422, 139.0990840730679 40.21593971019873, 138.8176685990707 38.97601726425452, 138.482 39.022)), ((139.071 40.222, 138.784661878629 38.98207755405579, 138.4431216118629 39.02806028980127, 138.7294597332339 40.26798273574548, 139.071 40.222)), ((138.415 38.717, 138.6952105827548 39.95692244594422, 139.0294420037285 39.91093971019873, 138.7492314209737 38.67101726425452, 138.415 38.717)), ((139 39.917, 138.7149411885139 38.67707755405579, 138.3749268654024 38.72306028980127, 138.6599856768885 39.96298273574548, 139 39.917)), ((138.319 38.29, 138.5975541544233 39.52992244594422, 138.9298098099226 39.48393971019873, 138.6512556554993 38.24401726425452, 138.319 38.29)), ((138.899 39.491, 138.615695651477 38.25107755405578, 138.2777740282322 38.29706028980126, 138.5610783767552 39.53698273574548, 138.899 39.491)))"
