#
# VER. = 1.0
# DATE = 2014-12-08
#
# UPDATED
#
# CODE, JCODE, AVS, ARV
4740102411, 0,  0.0,   0.0000
4740102412, 0,  0.0,   0.0000
4740102413, 0,  0.0,   0.0000
4740102414, 0,  0.0,   0.0000
4740102421, 0,  0.0,   0.0000
4740102422, 0,  0.0,   0.0000
4740102423, 0,  0.0,   0.0000
4740102424, 0,  0.0,   0.0000
4740102431, 4,510.4,   0.8125
4740102432, 4,510.4,   0.8125
4740102433, 4,510.4,   0.8125
4740102434, 0,  0.0,   0.0000
4740102441, 0,  0.0,   0.0000
4740102442, 0,  0.0,   0.0000
4740102443, 0,  0.0,   0.0000
4740102444, 0,  0.0,   0.0000
4740103311, 0,  0.0,   0.0000
4740103312, 0,  0.0,   0.0000
4740103313, 0,  0.0,   0.0000
4740103314, 0,  0.0,   0.0000
4740103321, 0,  0.0,   0.0000
4740103322, 0,  0.0,   0.0000
4740103323, 0,  0.0,   0.0000
4740103324, 0,  0.0,   0.0000
4740103331, 0,  0.0,   0.0000
4740103332, 0,  0.0,   0.0000
4740103333, 0,  0.0,   0.0000
4740103334, 0,  0.0,   0.0000
4740103341, 0,  0.0,   0.0000
4740103342, 0,  0.0,   0.0000
4740103343, 0,  0.0,   0.0000
4740103344, 0,  0.0,   0.0000
4740103411,21,429.1,   0.9419
