bldg_count,bldg_cost,Collapse_count_High,Collapse_count_Moderate,Collapse_count_Low,Collapse_count_Precode,Complete_count_High,Complete_count_Moderate,Complete_count_Low,Complete_count_Precode,Pop_V,Pop_VI,Pop_VII,Pop_VIII,Pop_IX,Pop_X,Affected Population,Fatalities_High,Fatalities_Moderate,Fatalities_Low,Fatalities_Precode,Code,Deaths,Collapse,Year
2151531.10292,4.4141842582e+11,110.033828532,850.118793978,3300.48021672,5375.33527963,1443.37997973,11045.0435,40902.0174651,69717.4463294,22180887.3388,12280514.4225,12221856.9142,3889141.69588,79248.9063611,0.0,3617974.94841,28.5777744379,217.349923975,865.391283689,1407.34266021,Akinada,2,,2001
3518317.09664,7.21834786507e+11,596.062436998,2003.53243384,4280.4317817,5756.60292172,9957.41101309,33417.043882,68519.1958772,93609.383885,40740702.2093,10786972.2849,3700210.34024,1526756.69841,1358341.74966,92355.350342,5820533.86328,122.879937073,404.165184174,853.339152979,1132.75057329,Chuetsu1,68,,2004
557658.085288,1.14411803678e+11,55.3741814121,365.440168228,1278.93900134,2053.69087628,824.459331812,5481.86248833,18090.8897511,30023.3108493,0.0,2630668.55513,1548650.97197,510377.698635,10172.1223868,0.0,939973.869626,14.002036353,90.9039125765,327.449388574,523.210153489,Chuetsu2,15,342.0,2007
3711378.71963,7.61444233747e+11,53.1895093305,647.094172336,3452.45871663,6230.07292356,587.624221727,7207.43351304,37103.3561738,70399.9520599,17981223.5573,12488080.7568,14799288.5702,6409.7625548,0.0,0.0,6467857.52098,14.5367094282,170.65265718,929.002610026,1686.26485293,Fukuoka,1,,2005
4367625.83305,8.96083034628e+11,29.0093407538,260.073576248,1154.4858016,2041.83782964,503.009555218,4211.63461438,16705.1594661,30321.2271077,67380152.0285,16405320.8901,7732464.5934,1338403.99696,9416.86161831,0.0,7143519.87467,8.04245002936,65.8753235962,280.536063531,483.330055474,Hamadori,4,,2011
2190733.79558,4.49461438008e+11,40.5309118365,328.467320026,1241.99568782,2014.07687672,588.203785534,4791.09603678,17642.9878982,30451.9088282,14965003.2058,3555808.55513,1828658.35437,1107246.35719,12179.9954692,0.0,5367224.117,14.5132944846,115.914495364,455.547510856,738.581615025,Hokkaido,1,141.0,2003
2488507.2442,5.10554064912e+11,135.377044382,621.080316769,1975.26405343,3211.88982823,3299.92522378,13019.3744342,33699.3086569,53156.4897973,13667930.4524,7677408.3053,4735024.20785,676742.915035,288110.579479,14118.3463874,4509889.13441,41.9582135941,167.556289155,480.642014542,747.006142415,Iwate,23,,2008
10783349.0516,2.21236353821e+12,6046.33466529,23199.1082542,53587.0099758,72779.2544929,78415.918358,305472.369333,693176.16081,970725.788317,112076915.073,129992614.588,130077592.041,49638192.0192,31016795.4374,124926.254758,26642766.7891,1523.76369705,5862.793713,13595.7599123,18398.4911911,Kobe,5062,104906.0,1995
2015.5687356,413523735.351,0.000811058818881,0.0146901820224,0.0936098433301,0.212042245676,0.0206571495005,0.379941393565,2.31264627502,5.45193586088,2254.30527708,635.792977004,252.923836217,0.0,0.0,0.0,3143.0220903,0.000241183414738,0.00409924865284,0.0292183692392,0.0625462287761,Kouzu,1,,2000
4716185.96914,9.67595301574e+11,635.412146285,2944.38241943,7405.14479345,10237.3561963,8314.6499172,39494.3160443,98748.7666283,142678.398545,73661178.2722,26577980.7214,7175160.24114,6723699.99729,1759522.19154,0.0,11589754.1424,171.106254442,796.350689366,2024.95605123,2792.33279425,Kumamoto,41,90.0,2016
819555.236185,1.68143877511e+11,89.0360126929,496.587270912,1431.76341007,2135.02599668,1307.13204176,7667.49251445,22138.7631851,34845.643339,1030437.66792,1985332.34811,477582.914681,522568.009343,0.0,0.0,2007960.47003,29.6205331464,169.654382704,514.011170127,762.991401954,Kushiro,2,,1993
7071.864096,1450897508.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23269.2773757,0.0,0.0,0.0,0.0,0.0,11634.6386879,0.0,0.0,0.0,0.0,MiddleNagano,1,,2011
1976264.96332,4.05459985184e+11,1291.20633671,3902.16436993,7586.26039815,9775.16946322,18647.958922,59497.0012031,118008.151318,159062.940937,25316235.417,10579546.0678,7602590.96496,5903034.65693,3500766.07046,70939.0604996,4815737.47616,352.014456558,1111.04027472,2284.63224797,2976.88881004,Miyagi,4,,2011
231760.494477,47549093062.5,0.241670629027,4.11140791133,28.5166327394,57.8902777843,2.8939073073,49.7359030435,325.006197636,695.950294463,1241126.27821,338553.978464,121538.286058,0.0,0.0,0.0,567072.847578,0.0842817944933,1.40302443149,9.89047640998,20.0571678855,Nagano,3,,2011
1377006.88951,2.82513328618e+11,39.7698735881,198.279724398,630.704226097,1058.37141469,1053.82093193,4749.96551148,12335.723146,19464.8650961,7950537.29699,6726032.20644,1245234.17738,444291.185404,177419.045439,0.0,2363359.13024,14.2746794015,62.5529015144,173.575702859,266.836767005,Noto,1,649.0,2007
10780773.3956,2.21183510428e+12,2286.3903079,17334.4832046,62088.1852828,95325.5356224,26743.3433447,204303.087283,717728.07201,1160887.26831,87174214.4199,37344445.2405,97902459.3984,150076935.036,1078327.81333,0.0,19661914.8373,601.745015937,4474.55831722,16297.8251959,24950.5367196,Kanto,11086,,1923
