#
# VER. = 1.0
# DATE = 2014-12-08
#
# UPDATED
#
# CODE, JCODE, AVS, ARV
4042003911, 0,  0.0,   0.0000
4042003912, 0,  0.0,   0.0000
4042003913, 0,  0.0,   0.0000
4042003914, 0,  0.0,   0.0000
4042003921, 0,  0.0,   0.0000
4042003922, 0,  0.0,   0.0000
4042003923, 0,  0.0,   0.0000
4042003924, 0,  0.0,   0.0000
4042003931, 0,  0.0,   0.0000
4042003932, 0,  0.0,   0.0000
4042003933, 0,  0.0,   0.0000
4042003934, 0,  0.0,   0.0000
4042003941, 0,  0.0,   0.0000
4042003942, 0,  0.0,   0.0000
4042003943, 0,  0.0,   0.0000
4042003944, 0,  0.0,   0.0000
4042004911, 0,  0.0,   0.0000
4042004912,21,429.1,   0.9419
4042004913, 0,  0.0,   0.0000
4042004914,21,429.1,   0.9419
4042004921, 0,  0.0,   0.0000
4042004922, 0,  0.0,   0.0000
4042004923,21,429.1,   0.9419
4042004924,21,429.1,   0.9419
4042004931, 0,  0.0,   0.0000
4042004932, 0,  0.0,   0.0000
4042004933, 0,  0.0,   0.0000
4042004934, 0,  0.0,   0.0000
4042004941,21,429.1,   0.9419
4042004942, 1,641.3,   0.6689
4042004943, 0,  0.0,   0.0000
4042004944, 1,641.3,   0.6689
4042005911, 0,  0.0,   0.0000
4042005912, 0,  0.0,   0.0000
4042005913, 0,  0.0,   0.0000
4042005914, 0,  0.0,   0.0000
4042005921, 0,  0.0,   0.0000
4042005922, 1,641.3,   0.6689
4042005923,21,429.1,   0.9419
4042005924, 1,641.3,   0.6689
4042005931, 0,  0.0,   0.0000
4042005932, 0,  0.0,   0.0000
4042005933, 0,  0.0,   0.0000
4042005934, 0,  0.0,   0.0000
4042005941,21,429.1,   0.9419
4042005942, 1,641.3,   0.6689
4042005943, 0,  0.0,   0.0000
4042005944, 0,  0.0,   0.0000
4042006911, 0,  0.0,   0.0000
4042006912, 0,  0.0,   0.0000
4042006913, 0,  0.0,   0.0000
4042006914,21,429.1,   0.9419
4042006921,21,429.1,   0.9419
4042006922, 0,  0.0,   0.0000
4042006923, 0,  0.0,   0.0000
4042006924, 0,  0.0,   0.0000
4042006931, 0,  0.0,   0.0000
4042006932,21,429.1,   0.9419
4042006933, 0,  0.0,   0.0000
4042006934,21,429.1,   0.9419
4042006941, 0,  0.0,   0.0000
4042006942, 0,  0.0,   0.0000
4042006943, 0,  0.0,   0.0000
4042006944, 0,  0.0,   0.0000
4042010111,21,429.1,   0.9419
4042010112, 1,641.3,   0.6689
4042010113, 0,  0.0,   0.0000
4042010114, 1,641.3,   0.6689
4042010121, 1,641.3,   0.6689
4042010122, 1,641.3,   0.6689
4042010123, 1,641.3,   0.6689
4042010124, 1,641.3,   0.6689
4042010131, 0,  0.0,   0.0000
4042010132,21,429.1,   0.9419
4042010133, 0,  0.0,   0.0000
4042010134,21,429.1,   0.9419
4042010141, 1,641.3,   0.6689
4042010142, 1,641.3,   0.6689
4042010143, 1,641.3,   0.6689
4042010144, 1,641.3,   0.6689
4042010211, 1,641.3,   0.6689
4042010212, 1,641.3,   0.6689
4042010213, 1,641.3,   0.6689
4042010214, 1,641.3,   0.6689
4042010221, 1,641.3,   0.6689
4042010222, 2,400.3,   0.9994
4042010223, 1,641.3,   0.6689
4042010224, 2,400.3,   0.9994
4042010231, 1,641.3,   0.6689
4042010232, 1,641.3,   0.6689
4042010233, 1,641.3,   0.6689
4042010234, 1,641.3,   0.6689
4042010241, 1,641.3,   0.6689
4042010242, 2,400.3,   0.9994
4042010243, 1,641.3,   0.6689
4042010244, 1,641.3,   0.6689
4042010311, 2,400.3,   0.9994
4042010312, 0,  0.0,   0.0000
4042010313, 2,400.3,   0.9994
4042010314, 0,  0.0,   0.0000
4042010321, 0,  0.0,   0.0000
4042010322, 0,  0.0,   0.0000
4042010323, 0,  0.0,   0.0000
4042010324, 0,  0.0,   0.0000
4042010331,21,429.1,   0.9419
4042010332, 0,  0.0,   0.0000
4042010333, 0,  0.0,   0.0000
4042010334, 0,  0.0,   0.0000
4042010341, 0,  0.0,   0.0000
4042010342, 0,  0.0,   0.0000
4042010343, 0,  0.0,   0.0000
4042010344, 0,  0.0,   0.0000
4042011011, 0,  0.0,   0.0000
4042011012, 0,  0.0,   0.0000
4042011013, 0,  0.0,   0.0000
4042011014, 0,  0.0,   0.0000
4042011021, 0,  0.0,   0.0000
4042011022, 0,  0.0,   0.0000
4042011023, 0,  0.0,   0.0000
4042011024, 0,  0.0,   0.0000
4042011031, 0,  0.0,   0.0000
4042011032, 0,  0.0,   0.0000
4042011033, 0,  0.0,   0.0000
4042011034, 0,  0.0,   0.0000
4042011041, 0,  0.0,   0.0000
4042011042, 1,641.3,   0.6689
4042011043, 0,  0.0,   0.0000
4042011044, 1,641.3,   0.6689
4042011111, 0,  0.0,   0.0000
4042011112, 1,641.3,   0.6689
4042011113, 1,641.3,   0.6689
4042011114, 1,641.3,   0.6689
4042011121, 1,641.3,   0.6689
4042011122, 1,641.3,   0.6689
4042011123, 1,641.3,   0.6689
4042011124, 1,641.3,   0.6689
4042011131, 1,641.3,   0.6689
4042011132, 1,641.3,   0.6689
4042011133, 1,641.3,   0.6689
4042011134, 1,641.3,   0.6689
4042011141, 1,641.3,   0.6689
4042011142, 1,641.3,   0.6689
4042011143, 1,641.3,   0.6689
4042011144, 1,641.3,   0.6689
4042011211, 1,641.3,   0.6689
4042011212, 1,641.3,   0.6689
4042011213, 1,641.3,   0.6689
4042011214, 1,641.3,   0.6689
4042011221, 1,641.3,   0.6689
4042011222, 1,641.3,   0.6689
4042011223, 7,351.4,   1.1167
4042011224, 7,351.4,   1.1167
4042011231, 1,641.3,   0.6689
4042011232, 1,641.3,   0.6689
4042011233, 1,641.3,   0.6689
4042011234, 1,641.3,   0.6689
4042011241, 7,351.4,   1.1167
4042011242, 7,351.4,   1.1167
4042011243, 7,351.4,   1.1167
