Code,Type,YearFreq,MinMag,Bval,Lat,Lon,Dep,Desc
CPHL_INTRA_1_44,INTRA,0.000426561,4.98,0.9,35.3,136.0,75.8,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CPHL_INTRA_1_45,INTRA,0.000480865,4.98,0.9,35.3,136.1,70.7,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CPHL_INTRA_1_46,INTRA,0.000531822,4.98,0.9,35.3,136.2,66.5,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CPHL_INTRA_1_47,INTRA,0.00057292,4.98,0.9,35.3,136.3,62.6,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CPHL_INTRA_1_48,INTRA,0.000611292,4.98,0.9,35.3,136.4,58.8,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CPHL_INTRA_1_49,INTRA,0.000659735,4.98,0.9,35.3,136.5,55.2,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CPHL_INTRA_1_50,INTRA,0.000725922,4.98,0.9,35.3,136.6,51.3,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CPHL_INTRA_1_51,INTRA,0.000807422,4.98,0.9,35.3,136.7,48.7,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CPHL_INTRA_1_52,INTRA,0.000888971,4.98,0.9,35.3,136.8,48.0,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CPHL_INTRA_1_53,INTRA,0.000947904,4.98,0.9,35.3,136.9,48.5,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CPHL_INTRA_1_54,INTRA,0.000971904,4.98,0.9,35.3,137.0,51.0,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CPHL_INTRA_1_55,INTRA,0.000972935,4.98,0.9,35.3,137.1,53.2,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CPHL_INTRA_1_56,INTRA,0.000978504,4.98,0.9,35.3,137.2,54.9,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CPHL_INTRA_1_57,INTRA,0.00100164,4.98,0.9,35.3,137.3,56.1,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CPHL_INTRA_1_58,INTRA,0.00101993,4.98,0.9,35.3,137.4,56.6,"GR(min=4.98,max=7.32,beta=2.07232658369)"
