Code,Zone,Type,YearFreq,MinMag,Bval,Lat,Lon,Dep,Desc
CPCF_INTRA_10_43,10,INTRA,0.00269629,4.98,0.9,46.2,151.2,94.1,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CPCF_INTRA_1_44,1,INTRA,0.00288824,4.98,0.9,46.2,151.3,89.6,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CPCF_INTRA_1_45,1,INTRA,0.0030343,4.98,0.9,46.2,151.4,86.3,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CPCF_INTRA_1_46,1,INTRA,0.00318097,4.98,0.9,46.2,151.5,83.0,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CPCF_INTRA_1_47,1,INTRA,0.00331802,4.98,0.9,46.2,151.6,80.3,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CPCF_INTRA_10_48,10,INTRA,0.00112144,4.98,0.9,46.1,149.9,166.7,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CPCF_INTRA_10_49,10,INTRA,0.00108737,4.98,0.9,46.1,150.0,156.0,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CPCF_INTRA_10_50,10,INTRA,0.00110407,4.98,0.9,46.1,150.1,147.1,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CPCF_INTRA_10_51,10,INTRA,0.00118195,4.98,0.9,46.1,150.2,139.5,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CPCF_INTRA_10_52,10,INTRA,0.00132606,4.98,0.9,46.1,150.3,133.5,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CPCF_INTRA_10_53,10,INTRA,0.00152976,4.98,0.9,46.1,150.4,128.1,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CPCF_INTRA_10_54,10,INTRA,0.00176978,4.98,0.9,46.1,150.5,122.9,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CPCF_INTRA_10_55,10,INTRA,0.00200804,4.98,0.9,46.1,150.6,117.8,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CPCF_INTRA_10_56,10,INTRA,0.00220817,4.98,0.9,46.1,150.7,112.7,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CPCF_INTRA_10_57,10,INTRA,0.0023626,4.98,0.9,46.1,150.8,107.4,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CPCF_INTRA_10_58,10,INTRA,0.00250909,4.98,0.9,46.1,150.9,101.9,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CPCF_INTRA_10_59,10,INTRA,0.0027217,4.98,0.9,46.1,151.0,96.5,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CPCF_INTRA_1_60,1,INTRA,0.00285513,4.98,0.9,46.1,151.1,91.9,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CPCF_INTRA_1_61,1,INTRA,0.00298295,4.98,0.9,46.1,151.2,87.6,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CPCF_INTRA_1_62,1,INTRA,0.00314307,4.98,0.9,46.1,151.3,83.9,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CPCF_INTRA_1_63,1,INTRA,0.0033184,4.98,0.9,46.1,151.4,81.0,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CPCF_INTRA_1_64,1,INTRA,0.00349143,4.98,0.9,46.1,151.5,78.2,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CPCF_INTRA_1_65,1,INTRA,0.00364958,4.98,0.9,46.1,151.6,75.7,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CPCF_INTRA_1_66,1,INTRA,0.00378668,4.98,0.9,46.1,151.7,73.2,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CPCF_INTRA_10_67,10,INTRA,0.00153723,4.98,0.9,46.0,149.7,175.7,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CPCF_INTRA_10_68,10,INTRA,0.00146157,4.98,0.9,46.0,149.8,166.4,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CPCF_INTRA_10_69,10,INTRA,0.00138875,4.98,0.9,46.0,149.9,153.7,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CPCF_INTRA_10_70,10,INTRA,0.00134565,4.98,0.9,46.0,150.0,143.7,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CPCF_INTRA_10_71,10,INTRA,0.00136483,4.98,0.9,46.0,150.1,135.3,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CPCF_INTRA_10_72,10,INTRA,0.00148017,4.98,0.9,46.0,150.2,127.7,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CPCF_INTRA_10_73,10,INTRA,0.00171171,4.98,0.9,46.0,150.3,122.6,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CPCF_INTRA_10_74,10,INTRA,0.00204631,4.98,0.9,46.0,150.4,117.7,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CPCF_INTRA_10_75,10,INTRA,0.00242896,4.98,0.9,46.0,150.5,112.8,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CPCF_INTRA_10_76,10,INTRA,0.0027801,4.98,0.9,46.0,150.6,108.1,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CPCF_INTRA_10_77,10,INTRA,0.00304039,4.98,0.9,46.0,150.7,103.6,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CPCF_INTRA_10_78,10,INTRA,0.00321712,4.98,0.9,46.0,150.8,98.9,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CPCF_INTRA_1_79,1,INTRA,0.00293925,4.98,0.9,46.0,150.9,93.7,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CPCF_INTRA_1_80,1,INTRA,0.00301253,4.98,0.9,46.0,151.0,88.3,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CPCF_INTRA_1_81,1,INTRA,0.00313595,4.98,0.9,46.0,151.1,85.1,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CPCF_INTRA_1_82,1,INTRA,0.00330893,4.98,0.9,46.0,151.2,82.0,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CPCF_INTRA_1_83,1,INTRA,0.00351248,4.98,0.9,46.0,151.3,79.0,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CPCF_INTRA_1_84,1,INTRA,0.00372106,4.98,0.9,46.0,151.4,76.2,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CPCF_INTRA_1_85,1,INTRA,0.00391294,4.98,0.9,46.0,151.5,73.6,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CPCF_INTRA_1_86,1,INTRA,0.00407332,4.98,0.9,46.0,151.6,71.1,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CPCF_INTRA_1_87,1,INTRA,0.00419448,4.98,0.9,46.0,151.7,68.7,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CPCF_INTRA_1_88,1,INTRA,0.00427592,4.98,0.9,46.0,151.8,66.1,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CPCF_INTRA_10_89,10,INTRA,0.00178386,4.98,0.9,45.9,149.5,175.6,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CPCF_INTRA_10_90,10,INTRA,0.00188799,4.98,0.9,45.9,149.6,166.2,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CPCF_INTRA_10_91,10,INTRA,0.00195089,4.98,0.9,45.9,149.7,157.6,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CPCF_INTRA_10_92,10,INTRA,0.0019678,4.98,0.9,45.9,149.8,146.7,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CPCF_INTRA_10_93,10,INTRA,0.00194286,4.98,0.9,45.9,149.9,136.9,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CPCF_INTRA_10_94,10,INTRA,0.00190026,4.98,0.9,45.9,150.0,130.3,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CPCF_INTRA_10_95,10,INTRA,0.00189374,4.98,0.9,45.9,150.1,124.0,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CPCF_INTRA_10_96,10,INTRA,0.00199598,4.98,0.9,45.9,150.2,118.0,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CPCF_INTRA_10_97,10,INTRA,0.00226187,4.98,0.9,45.9,150.3,112.9,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CPCF_INTRA_10_98,10,INTRA,0.00268552,4.98,0.9,45.9,150.4,107.9,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CPCF_INTRA_10_99,10,INTRA,0.00318426,4.98,0.9,45.9,150.5,102.8,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CPCF_INTRA_10_100,10,INTRA,0.00363705,4.98,0.9,45.9,150.6,98.5,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CPCF_INTRA_1_101,1,INTRA,0.00308539,4.98,0.9,45.9,150.7,95.0,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CPCF_INTRA_1_102,1,INTRA,0.00314092,4.98,0.9,45.9,150.8,91.2,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CPCF_INTRA_1_103,1,INTRA,0.003201,4.98,0.9,45.9,150.9,87.0,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CPCF_INTRA_1_104,1,INTRA,0.00330189,4.98,0.9,45.9,151.0,82.9,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CPCF_INTRA_1_105,1,INTRA,0.00346208,4.98,0.9,45.9,151.1,79.7,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CPCF_INTRA_1_106,1,INTRA,0.00367154,4.98,0.9,45.9,151.2,76.9,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CPCF_INTRA_1_107,1,INTRA,0.00390187,4.98,0.9,45.9,151.3,74.2,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CPCF_INTRA_1_108,1,INTRA,0.00412258,4.98,0.9,45.9,151.4,71.5,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CPCF_INTRA_1_109,1,INTRA,0.00431047,4.98,0.9,45.9,151.5,69.0,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CPCF_INTRA_1_110,1,INTRA,0.00444894,4.98,0.9,45.9,151.6,66.6,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CPCF_INTRA_1_111,1,INTRA,0.00452808,4.98,0.9,45.9,151.7,64.2,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CPCF_INTRA_1_112,1,INTRA,0.00454803,4.98,0.9,45.9,151.8,61.7,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CPCF_INTRA_1_113,1,INTRA,0.00452017,4.98,0.9,45.9,151.9,59.2,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CPCF_INTRA_10_114,10,INTRA,0.00146027,4.98,0.9,45.8,149.3,176.1,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CPCF_INTRA_10_115,10,INTRA,0.00169721,4.98,0.9,45.8,149.4,170.8,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CPCF_INTRA_10_116,10,INTRA,0.00197621,4.98,0.9,45.8,149.5,159.4,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CPCF_INTRA_10_117,10,INTRA,0.00228023,4.98,0.9,45.8,149.6,149.4,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CPCF_INTRA_10_118,10,INTRA,0.00257454,4.98,0.9,45.8,149.7,140.5,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CPCF_INTRA_10_119,10,INTRA,0.00280603,4.98,0.9,45.8,149.8,130.5,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CPCF_INTRA_10_120,10,INTRA,0.00292417,4.98,0.9,45.8,149.9,122.9,"GR(min=4.98,max=7.32,beta=2.07232658369)"
