Code,Type,YearFreq,MinMag,Bval,Lat,Lon,Dep,Desc
CYNG_INTER_1_45,INTER,0.00911079,4.98,0.9,25.0,122.7,40.0,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CYNG_INTER_1_46,INTER,0.00852348,4.98,0.9,25.0,122.8,40.0,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CYNG_INTER_1_47,INTER,0.00812923,4.98,0.9,25.0,122.9,40.0,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CYNG_INTER_1_48,INTER,0.00789375,4.98,0.9,25.0,123.0,40.0,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CYNG_INTER_1_49,INTER,0.0152196,4.98,0.9,24.9,122.3,40.0,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CYNG_INTER_1_50,INTER,0.0144394,4.98,0.9,24.9,122.4,40.0,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CYNG_INTER_1_51,INTER,0.0133624,4.98,0.9,24.9,122.5,40.0,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CYNG_INTER_1_52,INTER,0.0120654,4.98,0.9,24.9,122.6,40.0,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CYNG_INTER_1_53,INTER,0.0107788,4.98,0.9,24.9,122.7,40.0,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CYNG_INTER_1_54,INTER,0.00973004,4.98,0.9,24.9,122.8,40.0,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CYNG_INTER_1_55,INTER,0.00898136,4.98,0.9,24.9,122.9,40.0,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CYNG_INTER_1_56,INTER,0.00847316,4.98,0.9,24.9,123.0,40.0,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CYNG_INTER_1_57,INTER,0.0192357,4.98,0.9,24.8,122.3,40.0,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CYNG_INTER_1_58,INTER,0.0180261,4.98,0.9,24.8,122.4,40.0,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CYNG_INTER_1_59,INTER,0.0163431,4.98,0.9,24.8,122.5,40.0,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CYNG_INTER_1_60,INTER,0.0144408,4.98,0.9,24.8,122.6,40.0,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CYNG_INTER_1_61,INTER,0.0126995,4.98,0.9,24.8,122.7,40.0,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CYNG_INTER_1_62,INTER,0.0113192,4.98,0.9,24.8,122.8,40.0,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CYNG_INTER_1_63,INTER,0.0102553,4.98,0.9,24.8,122.9,40.0,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CYNG_INTER_1_64,INTER,0.00942115,4.98,0.9,24.8,123.0,40.0,"GR(min=4.98,max=7.32,beta=2.07232658369)"
