Code,Zone,Type,YearFreq,MinMag,Bval,Lat,Lon,Dep,Desc
CURA_CRUST_1_14,1,CRUST,0.00139747,4.98,0.9,42.5,142.8,35.0,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CURA_CRUST_1_15,1,CRUST,0.00132589,4.98,0.9,42.5,142.9,35.0,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CURA_CRUST_1_16,1,CRUST,0.0012398,4.98,0.9,42.5,143.0,35.0,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CURA_CRUST_1_17,1,CRUST,0.00148423,4.98,0.9,42.4,142.3,35.0,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CURA_CRUST_1_18,1,CRUST,0.0015509,4.98,0.9,42.4,142.4,35.0,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CURA_CRUST_1_19,1,CRUST,0.00159155,4.98,0.9,42.4,142.5,35.0,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CURA_CRUST_1_20,1,CRUST,0.00158621,4.98,0.9,42.4,142.6,35.0,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CURA_CRUST_1_21,1,CRUST,0.00152712,4.98,0.9,42.4,142.7,35.0,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CURA_CRUST_1_22,1,CRUST,0.00142678,4.98,0.9,42.4,142.8,35.0,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CURA_CRUST_1_23,1,CRUST,0.00131058,4.98,0.9,42.4,142.9,35.0,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CURA_CRUST_1_24,1,CRUST,0.00120133,4.98,0.9,42.4,143.0,35.0,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CURA_CRUST_1_25,1,CRUST,0.00178773,4.98,0.9,42.3,142.3,35.0,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CURA_CRUST_1_26,1,CRUST,0.00187353,4.98,0.9,42.3,142.4,35.0,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CURA_CRUST_1_27,1,CRUST,0.00190825,4.98,0.9,42.3,142.5,35.0,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CURA_CRUST_1_28,1,CRUST,0.0018642,4.98,0.9,42.3,142.6,35.0,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CURA_CRUST_1_29,1,CRUST,0.00173855,4.98,0.9,42.3,142.7,35.0,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CURA_CRUST_1_30,1,CRUST,0.00156162,4.98,0.9,42.3,142.8,35.0,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CURA_CRUST_1_31,1,CRUST,0.00137877,4.98,0.9,42.3,142.9,35.0,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CURA_CRUST_1_32,1,CRUST,0.00122353,4.98,0.9,42.3,143.0,35.0,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CURA_CRUST_1_33,1,CRUST,0.00205364,4.98,0.9,42.2,142.3,35.0,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CURA_CRUST_1_34,1,CRUST,0.00217557,4.98,0.9,42.2,142.4,35.0,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CURA_CRUST_1_35,1,CRUST,0.00223356,4.98,0.9,42.2,142.5,35.0,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CURA_CRUST_1_36,1,CRUST,0.00218829,4.98,0.9,42.2,142.6,35.0,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CURA_CRUST_1_37,1,CRUST,0.00202963,4.98,0.9,42.2,142.7,35.0,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CURA_CRUST_1_38,1,CRUST,0.00179253,4.98,0.9,42.2,142.8,35.0,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CURA_CRUST_1_39,1,CRUST,0.00153891,4.98,0.9,42.2,142.9,35.0,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CURA_CRUST_1_40,1,CRUST,0.00215196,4.98,0.9,42.1,142.3,35.0,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CURA_CRUST_1_41,1,CRUST,0.00231063,4.98,0.9,42.1,142.4,35.0,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CURA_CRUST_1_42,1,CRUST,0.00241474,4.98,0.9,42.1,142.5,35.0,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CURA_CRUST_1_43,1,CRUST,0.0024164,4.98,0.9,42.1,142.6,35.0,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CURA_CRUST_1_44,1,CRUST,0.0022876,4.98,0.9,42.1,142.7,35.0,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CURA_CRUST_1_45,1,CRUST,0.00206857,4.98,0.9,42.0,142.3,35.0,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CURA_CRUST_1_46,1,CRUST,0.00224498,4.98,0.9,42.0,142.4,35.0,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CURA_CRUST_1_47,1,CRUST,0.00239146,4.98,0.9,42.0,142.5,35.0,"GR(min=4.98,max=7.32,beta=2.07232658369)"
