#
# VER. = 1.0
# DATE = 2014-12-08
#
# UPDATED
#
# CODE, JCODE, AVS, ARV
6339031521, 0,  0.0,   0.0000
6339031522, 0,  0.0,   0.0000
6339031523,21,429.1,   0.9419
6339031524,21,429.1,   0.9419
6339031541,21,429.1,   0.9419
6339031542,21,429.1,   0.9419
6339031543,21,429.1,   0.9419
6339031544,21,429.1,   0.9419
6339031611, 0,  0.0,   0.0000
6339031612, 0,  0.0,   0.0000
6339031613,21,429.1,   0.9419
6339031614, 0,  0.0,   0.0000
6339031621, 0,  0.0,   0.0000
6339031622, 0,  0.0,   0.0000
6339031623, 0,  0.0,   0.0000
6339031624, 0,  0.0,   0.0000
6339031631,21,429.1,   0.9419
6339031632, 0,  0.0,   0.0000
6339031633,21,429.1,   0.9419
6339031634,21,429.1,   0.9419
6339031641, 0,  0.0,   0.0000
6339031642, 0,  0.0,   0.0000
6339031643, 0,  0.0,   0.0000
6339031644, 0,  0.0,   0.0000
6339032612,21,429.1,   0.9419
6339032614,21,429.1,   0.9419
6339032621,21,429.1,   0.9419
6339032623,21,429.1,   0.9419
6339032711, 0,  0.0,   0.0000
6339032712, 0,  0.0,   0.0000
6339032713, 0,  0.0,   0.0000
6339032714,21,429.1,   0.9419
6339032721, 0,  0.0,   0.0000
6339032723, 0,  0.0,   0.0000
6339035611, 0,  0.0,   0.0000
6339035612, 0,  0.0,   0.0000
6339035613, 0,  0.0,   0.0000
6339035614, 0,  0.0,   0.0000
6339035621, 0,  0.0,   0.0000
6339035622, 0,  0.0,   0.0000
6339035623, 0,  0.0,   0.0000
6339035624, 0,  0.0,   0.0000
6339035631,21,429.1,   0.9419
6339035632, 0,  0.0,   0.0000
6339035633, 0,  0.0,   0.0000
6339035634, 0,  0.0,   0.0000
6339035641, 0,  0.0,   0.0000
6339035642, 0,  0.0,   0.0000
6339035643, 0,  0.0,   0.0000
6339035644, 0,  0.0,   0.0000
6339036511, 0,  0.0,   0.0000
6339036512, 0,  0.0,   0.0000
6339036513, 0,  0.0,   0.0000
6339036514, 0,  0.0,   0.0000
6339036521,21,429.1,   0.9419
6339036522,15,177.8,   1.9955
6339036523,21,429.1,   0.9419
6339036524, 7,351.4,   1.1167
6339036531, 0,  0.0,   0.0000
6339036532, 0,  0.0,   0.0000
6339036533, 0,  0.0,   0.0000
6339036534, 0,  0.0,   0.0000
6339036541, 0,  0.0,   0.0000
6339036542, 7,351.4,   1.1167
6339036543,16,260.2,   1.4425
6339036544, 8,325.8,   1.1909
6339036611,15,177.8,   1.9955
6339036612, 0,  0.0,   0.0000
6339036613,15,178.8,   1.9855
6339036614, 0,  0.0,   0.0000
6339036621, 0,  0.0,   0.0000
6339036622, 0,  0.0,   0.0000
6339036623, 0,  0.0,   0.0000
6339036624, 0,  0.0,   0.0000
6339036631,20,209.0,   1.7386
6339036632, 0,  0.0,   0.0000
6339036633,20,210.9,   1.7253
6339036634, 0,  0.0,   0.0000
6339036641, 0,  0.0,   0.0000
6339036642, 0,  0.0,   0.0000
6339036643, 0,  0.0,   0.0000
6339036644, 0,  0.0,   0.0000
6339037311, 0,  0.0,   0.0000
6339037312, 0,  0.0,   0.0000
6339037313, 0,  0.0,   0.0000
6339037314, 0,  0.0,   0.0000
6339037321, 0,  0.0,   0.0000
6339037322, 0,  0.0,   0.0000
6339037323, 0,  0.0,   0.0000
6339037324, 0,  0.0,   0.0000
6339037331, 0,  0.0,   0.0000
6339037332, 0,  0.0,   0.0000
6339037333, 0,  0.0,   0.0000
6339037334,21,429.1,   0.9419
6339037341, 0,  0.0,   0.0000
6339037342, 0,  0.0,   0.0000
6339037343, 0,  0.0,   0.0000
6339037344, 0,  0.0,   0.0000
6339037411, 0,  0.0,   0.0000
6339037412, 0,  0.0,   0.0000
6339037413, 0,  0.0,   0.0000
6339037414, 0,  0.0,   0.0000
6339037421, 0,  0.0,   0.0000
6339037422, 0,  0.0,   0.0000
6339037423, 0,  0.0,   0.0000
6339037424, 0,  0.0,   0.0000
6339037431, 0,  0.0,   0.0000
6339037432, 0,  0.0,   0.0000
6339037433, 0,  0.0,   0.0000
6339037434, 0,  0.0,   0.0000
6339037441, 0,  0.0,   0.0000
6339037442, 0,  0.0,   0.0000
6339037443, 0,  0.0,   0.0000
6339037444,16,260.2,   1.4425
6339037511, 0,  0.0,   0.0000
6339037512,21,429.1,   0.9419
6339037513, 0,  0.0,   0.0000
6339037514,21,429.1,   0.9419
6339037521, 8,277.9,   1.3640
6339037522, 8,339.6,   1.1496
6339037523, 8,351.5,   1.1165
6339037524, 8,332.5,   1.1705
6339037531,21,429.1,   0.9419
6339037532,16,260.2,   1.4425
6339037533, 8,291.7,   1.3086
6339037534, 8,377.9,   1.0496
6339037541, 8,364.3,   1.0828
6339037542, 8,359.6,   1.0949
6339037543, 8,369.7,   1.0694
6339037544, 8,368.0,   1.0736
6339037611,20,212.9,   1.7114
6339037612, 0,  0.0,   0.0000
6339037613,20,215.1,   1.6965
6339037614,20,215.1,   1.6965
6339037621, 0,  0.0,   0.0000
6339037622, 0,  0.0,   0.0000
6339037623, 0,  0.0,   0.0000
6339037624, 0,  0.0,   0.0000
6339037631,15,185.4,   1.9258
6339037632,20,217.5,   1.6805
6339037633,17,194.5,   1.8484
6339037634,16,260.2,   1.4425
6339037641, 0,  0.0,   0.0000
6339037642, 0,  0.0,   0.0000
6339037643, 0,  0.0,   0.0000
6339037644, 0,  0.0,   0.0000
6339037711, 0,  0.0,   0.0000
6339037712, 0,  0.0,   0.0000
6339037713, 0,  0.0,   0.0000
6339037714, 0,  0.0,   0.0000
6339037721, 0,  0.0,   0.0000
6339037722, 0,  0.0,   0.0000
6339037723, 0,  0.0,   0.0000
6339037724, 0,  0.0,   0.0000
