#
# VER. = 1.0
# DATE = 2014-12-08
#
# UPDATED
#
# CODE, JCODE, AVS, ARV
3624205011, 0,  0.0,   0.0000
3624205012, 0,  0.0,   0.0000
3624205013, 0,  0.0,   0.0000
3624205014, 0,  0.0,   0.0000
3624205021, 0,  0.0,   0.0000
3624205022, 0,  0.0,   0.0000
3624205023, 0,  0.0,   0.0000
3624205024, 0,  0.0,   0.0000
3624205031, 0,  0.0,   0.0000
3624205032, 0,  0.0,   0.0000
3624205033, 0,  0.0,   0.0000
3624205034, 0,  0.0,   0.0000
3624205041, 0,  0.0,   0.0000
3624205042, 0,  0.0,   0.0000
3624205043, 0,  0.0,   0.0000
3624205044, 0,  0.0,   0.0000
3624205111, 0,  0.0,   0.0000
3624205112, 0,  0.0,   0.0000
3624205113, 0,  0.0,   0.0000
3624205114, 0,  0.0,   0.0000
3624205121, 0,  0.0,   0.0000
3624205122, 0,  0.0,   0.0000
3624205123, 0,  0.0,   0.0000
3624205124, 0,  0.0,   0.0000
3624205131, 0,  0.0,   0.0000
3624205132, 0,  0.0,   0.0000
3624205133, 0,  0.0,   0.0000
3624205134, 0,  0.0,   0.0000
3624205141, 0,  0.0,   0.0000
3624205142, 0,  0.0,   0.0000
3624205143, 0,  0.0,   0.0000
3624205144, 0,  0.0,   0.0000
3624206011, 0,  0.0,   0.0000
3624206012, 0,  0.0,   0.0000
3624206013, 0,  0.0,   0.0000
3624206014, 7,351.4,   1.1167
3624206021, 0,  0.0,   0.0000
3624206022, 0,  0.0,   0.0000
3624206023, 7,351.4,   1.1167
3624206024, 7,351.4,   1.1167
3624206031,21,429.1,   0.9419
3624206032, 7,351.4,   1.1167
3624206033, 7,351.4,   1.1167
3624206034, 7,351.4,   1.1167
3624206041, 7,351.4,   1.1167
3624206042, 7,351.4,   1.1167
3624206043, 7,351.4,   1.1167
3624206044, 7,351.4,   1.1167
3624206111, 0,  0.0,   0.0000
3624206112, 0,  0.0,   0.0000
3624206113, 0,  0.0,   0.0000
3624206114, 0,  0.0,   0.0000
3624206121, 0,  0.0,   0.0000
3624206122, 0,  0.0,   0.0000
3624206123, 0,  0.0,   0.0000
3624206124, 0,  0.0,   0.0000
3624206131, 7,351.4,   1.1167
3624206132, 7,351.4,   1.1167
3624206133, 7,351.4,   1.1167
3624206134, 7,351.4,   1.1167
3624206141, 0,  0.0,   0.0000
3624206142, 0,  0.0,   0.0000
3624206143, 7,351.4,   1.1167
