#
# VER. = 1.0
# DATE = 2014-12-08
#
# UPDATED
#
# CODE, JCODE, AVS, ARV
5030000011, 3,447.9,   0.9081
5030000012, 3,407.1,   0.9851
5030000013, 3,404.7,   0.9901
5030000014, 3,392.3,   1.0168
5030000021,10,306.8,   1.2537
5030000022, 3,343.8,   1.1378
5030000023, 3,334.2,   1.1655
5030000024, 3,304.6,   1.2615
5030000031, 3,311.3,   1.2381
5030000032, 3,376.8,   1.0522
5030000033, 3,354.4,   1.1087
5030000034, 3,354.4,   1.1087
5030000041, 3,340.9,   1.1458
5030000042,10,304.2,   1.2627
5030000043, 3,342.2,   1.1422
5030000044, 3,329.8,   1.1789
5030000111, 3,399.2,   1.0017
5030000112, 3,401.3,   0.9973
5030000113, 3,316.4,   1.2211
5030000114, 3,386.6,   1.0294
5030000121, 3,401.3,   0.9973
5030000122, 3,387.3,   1.0279
5030000123, 3,348.5,   1.1247
5030000124, 3,375.5,   1.0553
5030000131, 3,318.8,   1.2134
5030000132, 3,398.9,   1.0023
5030000133, 3,372.1,   1.0636
5030000134, 3,411.9,   0.9753
5030000141, 3,351.2,   1.1172
5030000142, 3,404.2,   0.9912
5030000143, 3,390.0,   1.0217
5030000144, 3,368.2,   1.0731
5030000211, 3,397.3,   1.0057
5030000212, 3,372.3,   1.0631
5030000213, 3,377.0,   1.0518
5030000214, 3,374.2,   1.0585
5030000221, 3,317.4,   1.2180
5030000222, 3,397.1,   1.0063
5030000223, 3,400.2,   0.9995
5030000224, 3,413.3,   0.9725
5030000231, 3,393.0,   1.0152
5030000232, 3,399.3,   1.0014
5030000233, 3,377.9,   1.0497
5030000234, 3,389.6,   1.0227
5030000241, 3,418.9,   0.9614
5030000242,10,289.4,   1.3177
5030000243,10,290.9,   1.3118
5030000244,10,300.1,   1.2773
5030000311,10,297.7,   1.2863
5030000312,10,302.6,   1.2685
5030000313,10,293.4,   1.3022
5030000314, 8,442.7,   0.9171
5030000321, 1,775.5,   0.5689
5030000322,10,367.3,   1.0754
5030000323, 1,775.5,   0.5689
5030000324, 1,775.5,   0.5689
5030000331,11,309.4,   1.2445
5030000332, 2,400.3,   0.9994
5030000333, 1,775.5,   0.5689
5030000334, 1,775.5,   0.5689
5030000341, 2,400.3,   0.9994
5030000342, 1,775.5,   0.5689
5030000343, 1,775.5,   0.5689
5030000344, 1,775.5,   0.5689
5030000411, 8,487.3,   0.8451
5030000412, 1,775.5,   0.5689
5030000413, 1,775.5,   0.5689
5030000414, 1,775.5,   0.5689
5030000421, 1,775.5,   0.5689
5030000422, 1,775.5,   0.5689
5030000423, 1,775.5,   0.5689
5030000424, 1,775.5,   0.5689
5030000431, 1,775.5,   0.5689
5030000432, 1,775.5,   0.5689
5030000433, 1,775.5,   0.5689
5030000434, 1,775.5,   0.5689
5030000441, 1,775.5,   0.5689
5030000442, 1,775.5,   0.5689
5030000443, 1,775.5,   0.5689
5030000444, 1,775.5,   0.5689
5030000511, 1,775.5,   0.5689
5030000512, 1,775.5,   0.5689
5030000513, 1,775.5,   0.5689
5030000514, 1,775.5,   0.5689
5030000521, 1,775.5,   0.5689
5030000522, 1,775.5,   0.5689
5030000523, 1,775.5,   0.5689
5030000524, 1,775.5,   0.5689
5030000531, 1,775.5,   0.5689
5030000532, 1,775.5,   0.5689
5030000533, 1,775.5,   0.5689
5030000534, 1,775.5,   0.5689
5030000541, 1,775.5,   0.5689
5030000542, 1,775.5,   0.5689
5030000543, 1,775.5,   0.5689
5030000544, 1,775.5,   0.5689
5030000611, 1,775.5,   0.5689
5030000612, 1,775.5,   0.5689
5030000613, 1,775.5,   0.5689
5030000614, 1,775.5,   0.5689
5030000621, 1,775.5,   0.5689
5030000622, 1,775.5,   0.5689
5030000623, 1,775.5,   0.5689
5030000624, 1,775.5,   0.5689
5030000631, 1,775.5,   0.5689
5030000632, 1,775.5,   0.5689
5030000633, 1,775.5,   0.5689
5030000634, 1,775.5,   0.5689
5030000641, 1,775.5,   0.5689
5030000642, 1,775.5,   0.5689
5030000643, 1,775.5,   0.5689
5030000644, 1,775.5,   0.5689
5030000711, 1,775.5,   0.5689
5030000712, 1,775.5,   0.5689
5030000713, 1,775.5,   0.5689
5030000714, 1,775.5,   0.5689
5030000721, 1,775.5,   0.5689
5030000722, 1,775.5,   0.5689
5030000723, 1,775.5,   0.5689
5030000724, 1,775.5,   0.5689
5030000731, 1,775.5,   0.5689
5030000732, 1,775.5,   0.5689
5030000733, 1,775.5,   0.5689
5030000734, 1,775.5,   0.5689
5030000741, 1,775.5,   0.5689
5030000742, 1,775.5,   0.5689
5030000743, 1,775.5,   0.5689
5030000744, 1,775.5,   0.5689
5030000811, 1,775.5,   0.5689
5030000812, 1,775.5,   0.5689
5030000813, 1,775.5,   0.5689
5030000814, 1,775.5,   0.5689
5030000821, 1,775.5,   0.5689
5030000822, 1,775.5,   0.5689
5030000823, 1,775.5,   0.5689
5030000824, 1,775.5,   0.5689
5030000831, 1,775.5,   0.5689
5030000832, 1,775.5,   0.5689
5030000833, 1,775.5,   0.5689
5030000834, 1,775.5,   0.5689
5030000841, 1,775.5,   0.5689
5030000842, 1,775.5,   0.5689
5030000843, 1,775.5,   0.5689
5030000844, 1,775.5,   0.5689
5030000911, 1,775.5,   0.5689
5030000912, 1,775.5,   0.5689
5030000913, 1,775.5,   0.5689
5030000914, 1,775.5,   0.5689
5030000921, 1,775.5,   0.5689
5030000922, 1,775.5,   0.5689
5030000923, 1,775.5,   0.5689
5030000924, 1,775.5,   0.5689
5030000931, 1,775.5,   0.5689
5030000932, 1,775.5,   0.5689
5030000933, 1,775.5,   0.5689
5030000934, 1,775.5,   0.5689
5030000941, 1,775.5,   0.5689
5030000942, 1,775.5,   0.5689
5030000943, 1,775.5,   0.5689
5030000944, 1,775.5,   0.5689
5030001011, 3,342.2,   1.1422
5030001012, 3,341.6,   1.1440
5030001013, 3,367.2,   1.0757
5030001014, 3,347.0,   1.1287
5030001021, 3,357.2,   1.1013
5030001022, 3,372.4,   1.0627
5030001023, 3,382.4,   1.0391
5030001024, 3,380.0,   1.0447
5030001031, 3,350.4,   1.1194
5030001032, 3,380.5,   1.0435
5030001033, 3,428.8,   0.9424
5030001034, 3,431.0,   0.9384
5030001041, 3,391.1,   1.0194
5030001042, 3,363.5,   1.0850
5030001043, 3,404.8,   0.9899
5030001044, 3,382.1,   1.0399
5030001111,10,296.1,   1.2919
5030001112,10,295.4,   1.2945
5030001113,10,295.8,   1.2932
5030001114,10,285.6,   1.3322
5030001121, 3,392.8,   1.0155
5030001122, 3,389.1,   1.0238
5030001123, 3,371.5,   1.0651
5030001124, 3,381.4,   1.0414
5030001131,10,289.3,   1.3178
5030001132,10,279.5,   1.3572
5030001133,10,282.4,   1.3451
5030001134,10,279.8,   1.3561
5030001141,10,283.8,   1.3395
5030001142,10,278.0,   1.3633
5030001143,10,285.0,   1.3348
5030001144,10,292.6,   1.3052
5030001211, 3,377.2,   1.0514
5030001212,10,290.2,   1.3146
5030001213,10,281.9,   1.3475
5030001214,10,300.6,   1.2756
5030001221,10,300.2,   1.2772
5030001222, 1,775.5,   0.5689
5030001223, 1,775.5,   0.5689
5030001224, 1,775.5,   0.5689
5030001231,10,292.6,   1.3051
5030001232, 1,775.5,   0.5689
5030001233,10,298.6,   1.2829
5030001234, 1,775.5,   0.5689
5030001241, 1,775.5,   0.5689
5030001242, 1,775.5,   0.5689
5030001243, 1,775.5,   0.5689
5030001244, 1,775.5,   0.5689
5030001311, 1,775.5,   0.5689
5030001312, 1,775.5,   0.5689
5030001313, 1,775.5,   0.5689
5030001314, 1,775.5,   0.5689
5030001321, 1,775.5,   0.5689
5030001322, 1,775.5,   0.5689
5030001323, 1,775.5,   0.5689
5030001324, 1,775.5,   0.5689
5030001331, 1,775.5,   0.5689
5030001332, 1,775.5,   0.5689
5030001333, 1,775.5,   0.5689
5030001334, 1,775.5,   0.5689
5030001341, 1,775.5,   0.5689
5030001342, 1,775.5,   0.5689
5030001343, 1,775.5,   0.5689
5030001344, 1,775.5,   0.5689
5030001411, 1,775.5,   0.5689
5030001412, 1,775.5,   0.5689
5030001413, 1,775.5,   0.5689
5030001414, 1,775.5,   0.5689
5030001421, 1,775.5,   0.5689
5030001422, 1,775.5,   0.5689
5030001423, 1,775.5,   0.5689
5030001424, 1,775.5,   0.5689
5030001431, 1,775.5,   0.5689
5030001432, 1,775.5,   0.5689
5030001433, 1,775.5,   0.5689
5030001434, 1,775.5,   0.5689
5030001441, 1,775.5,   0.5689
5030001442, 1,775.5,   0.5689
5030001443, 1,775.5,   0.5689
5030001444, 1,775.5,   0.5689
5030001511, 1,775.5,   0.5689
5030001512, 1,775.5,   0.5689
5030001513, 1,775.5,   0.5689
5030001514, 1,775.5,   0.5689
5030001521, 1,775.5,   0.5689
5030001522, 1,775.5,   0.5689
5030001523, 1,775.5,   0.5689
5030001524, 1,775.5,   0.5689
5030001531, 1,775.5,   0.5689
5030001532, 1,775.5,   0.5689
5030001533, 1,775.5,   0.5689
5030001534, 1,775.5,   0.5689
5030001541, 1,775.5,   0.5689
5030001542, 1,775.5,   0.5689
5030001543, 1,775.5,   0.5689
5030001544, 1,775.5,   0.5689
5030001611, 1,775.5,   0.5689
5030001612, 1,775.5,   0.5689
5030001613, 2,400.3,   0.9994
5030001614, 1,775.5,   0.5689
5030001621, 1,775.5,   0.5689
5030001622, 1,775.5,   0.5689
5030001623, 1,775.5,   0.5689
5030001624, 1,775.5,   0.5689
5030001631, 2,400.3,   0.9994
5030001632, 1,775.5,   0.5689
5030001633, 2,400.3,   0.9994
5030001634, 1,775.5,   0.5689
5030001641, 1,775.5,   0.5689
5030001642, 1,775.5,   0.5689
5030001643, 1,775.5,   0.5689
5030001644, 8,552.0,   0.7600
5030001711, 1,775.5,   0.5689
5030001712, 1,775.5,   0.5689
5030001713, 1,775.5,   0.5689
5030001714, 1,775.5,   0.5689
5030001721, 1,775.5,   0.5689
5030001722, 1,775.5,   0.5689
5030001723, 1,775.5,   0.5689
5030001724, 1,775.5,   0.5689
5030001731, 1,775.5,   0.5689
5030001732, 1,775.5,   0.5689
5030001733, 1,775.5,   0.5689
5030001734, 1,775.5,   0.5689
5030001741, 1,775.5,   0.5689
5030001742, 1,775.5,   0.5689
5030001743, 1,775.5,   0.5689
5030001744, 1,775.5,   0.5689
