Code,Process,Multi,AvrAct,LastAct,Alpha,Desc,Name
G030090,Poisson,POI,5400,,,P(lmbd=5400.0),Bijo-zan fault zone
G030091,Poisson,POI,2000,,,P(lmbd=2000.0),Tanigumi-Kochibora fault
G030092,Poisson,POI,5100,,,P(lmbd=5100.0),Ikedayama fault
G030093,Poisson,POI,9800,,,P(lmbd=9800.0),Tsushima fault zone
G030094,Poisson,POI,4100,,,P(lmbd=4100.0),Suzukaoki fault
G030095,Poisson,POI,6000,,,P(lmbd=6000.0),Yoro-sanchi-seien fault zone
G030096,Poisson,POI,13500,,,P(lmbd=13500.0),Hokyoji fault
G030097,Poisson,POI,2600,,,P(lmbd=2600.0),Kanekusa-dake fault zone
G030098,Poisson,POI,10300,,,P(lmbd=10300.0),Okukawanami fault
G030099,Poisson,POI,9500,,,P(lmbd=9500.0),Sarake fault
G030100,Poisson,POI,13500,,,P(lmbd=13500.0),Hosenji fault zone
G030101,Poisson,POI,69500,,,P(lmbd=69500.0),Mihama-wan-oki fault
G030102,Poisson,POI,3500,,,P(lmbd=3500.0),Mimi-kawa fault zone
G030103,Poisson,POI,3800,,,P(lmbd=3800.0),Biwako-togan-kotei fault
G030104,Poisson,POI,8700,,,P(lmbd=8700.0),Kumagawa fault zone
G030105,Poisson,POI,4400,,,P(lmbd=4400.0),Biwako-nambu-kotei fault
G030106,Poisson,POI,40600,,,P(lmbd=40600.0),Odorii fault zone
G030107,Poisson,POI,7900,,,P(lmbd=7900.0),Suzuka-sakashita fault zone
G030108,Poisson,POI,3200,,,P(lmbd=3200.0),Kyogamine-minami fault
G030109,Poisson,POI,33800,,,P(lmbd=33800.0),Chuo-kozosen Taki
G030110,Poisson,POI,27000,,,P(lmbd=27000.0),Ieki fault zone
G030111,Poisson,POI,49000,,,P(lmbd=49000.0),Nabari fault zone
G030112,Poisson,POI,5100,,,P(lmbd=5100.0),Shigaraki fault zone
G030113,Poisson,POI,4400,,,P(lmbd=4400.0),Wazuka-dani fault
G030114,Poisson,POI,16900,,,P(lmbd=16900.0),Tahara fault
G030115,Poisson,POI,4000,,,P(lmbd=4000.0),Ayame-ike flexure zone
G030116,Poisson,POI,7600,,,P(lmbd=7600.0),Keihanna-kyuryo flexure zone
G030117,Poisson,POI,4800,,,P(lmbd=4800.0),Habikino fault zone
G030118,Poisson,POI,27000,,,P(lmbd=27000.0),Izumi-hokuroku fault zone
G030119,Poisson,POI,60800,,,P(lmbd=60800.0),Chuo-kozosen Gojo
G030120,Poisson,POI,5100,,,P(lmbd=5100.0),Habu fault
G030121,Poisson,POI,29100,,,P(lmbd=29100.0),Nakayama fault zone
G030122,Poisson,POI,33100,,,P(lmbd=33100.0),Mitakesan fault
G030123,Poisson,POI,9200,,,P(lmbd=9200.0),Gosho-dani fault zone
G030124,Poisson,POI,3800,,,P(lmbd=3800.0),Takatsuka-yama fault
G030125,Poisson,POI,7900,,,P(lmbd=7900.0),Shizuki fault zone
G030126,Poisson,POI,23700,,,P(lmbd=23700.0),Hansanji fault zone
G030127,Poisson,POI,6700,,,P(lmbd=6700.0),Yabu fault zone
G030128,Poisson,POI,20300,,,P(lmbd=20300.0),Akenobe-hoppo fault
G030129,Poisson,POI,16900,,,P(lmbd=16900.0),Hikihara fault
G030135,Poisson,POI,36400,,,P(lmbd=36400.0),Fukuyama fault zone
G030136,Poisson,POI,33100,,,P(lmbd=33100.0),Mitsugi fault
G030137,Poisson,POI,16900,,,P(lmbd=16900.0),Shobara fault
G030138,Poisson,POI,18600,,,P(lmbd=18600.0),Miyoshi fault zone
G030139,Poisson,POI,4800,,,P(lmbd=4800.0),Kamine fault
G030143,Poisson,POI,53000,,,P(lmbd=53000.0),Shibuki fault
G030144,Poisson,POI,4100,,,P(lmbd=4100.0),Tokushima-heiya-nanen fault zone
G030145,Poisson,POI,92700,,,P(lmbd=92700.0),Akui-gawa fault zone
G030146,Poisson,POI,72800,,,P(lmbd=72800.0),Ebata fault zone
G030147,Poisson,POI,49600,,,P(lmbd=49600.0),Takanawa-san-kita fault
G030148,Poisson,POI,3500,,,P(lmbd=3500.0),Tsunatsukimori fault
G030150,Poisson,POI,5400,,,P(lmbd=5400.0),Gyodo-zaki fault
G030151,Poisson,POI,17500,,,P(lmbd=17500.0),Kochi-Agawa
G030152,Poisson,POI,86100,,,P(lmbd=86100.0),Sukumo-Nakamura fault zone
G030153,Poisson,POI,33100,,,P(lmbd=33100.0),Tosashimizu-kita fault zone
G030172,Poisson,POI,5600,,,P(lmbd=5600.0),Tanega-shima-hokubu fault
G030173,Poisson,POI,4800,,,P(lmbd=4800.0),Yaku-shima-nangan fault zone
G030174,Poisson,POI,1100,,,P(lmbd=1100.0),Kikai-jima fault zone
G030175,Poisson,POI,4100,,,P(lmbd=4100.0),Okinoerabu-jima fault zone
G030176,Poisson,POI,3500,,,P(lmbd=3500.0),Kinwan-segan fault zone
G030178,Poisson,POI,3500,,,P(lmbd=3500.0),Yonaguni-jima fault zone
G030180,Poisson,POI,39700,,,P(lmbd=39700.0),Ube-toubu-Shimosato fault
G030181,Poisson,POI,53000,,,P(lmbd=53000.0),Ube-nantou-oki fault zone
G030182,Poisson,POI,59600,,,P(lmbd=59600.0),Hime-jima-hokusei-oki fault zone
G030183,Poisson,POI,15000,,,P(lmbd=15000.0),Itoshima-hanto-Oki fault group
G030184,Poisson,POI,32000,,,P(lmbd=32000.0),Saganoseki fault
G030185,Poisson,POI,32000,,,P(lmbd=32000.0),Taradake-nanseiroku fault zone
G030186,Poisson,POI,63000,,,P(lmbd=63000.0),Fukuragi fault
G030187,Poisson,POI,38000,,,P(lmbd=38000.0),Aso-gairin-nanroku fault group
G030188,Poisson,POI,63000,,,P(lmbd=63000.0),Tsurukiba fault zone
G030189,Poisson,POI,63000,,,P(lmbd=63000.0),Kunimidake fault zone
G030190,Poisson,POI,32000,,,P(lmbd=32000.0),Minamata fault zone
G030191,Poisson,POI,5800,,,P(lmbd=5800.0),Kagoshimawan-toen fault zone
G030192,Poisson,POI,63000,,,P(lmbd=63000.0),Kagoshimawan-seien fault zone
G030193,Poisson,POI,1500,,,P(lmbd=1500.0),Ikedako-nishi fault zone
