,lat,lon
0,40.897,145.387
1,37.846,144.517
2,37.466,144.427
3,37.117,144.274
4,36.784,144.109
5,36.474,143.892
6,36.182,143.668
7,35.984,143.426
8,35.801,143.171
9,35.549,143.039
10,35.278,142.916
11,40.617,145.22
12,35.0,142.821
13,34.721,142.726
14,40.617,145.62
15,40.314,145.471
16,39.978,145.379
17,39.621,145.309
18,39.243,145.258
19,38.9,145.174
20,38.543,145.103
21,38.2,145.019
22,40.314,145.071
23,37.846,144.917
24,37.466,144.827
25,37.117,144.674
26,36.784,144.509
27,36.474,144.292
28,36.182,144.068
29,35.984,143.826
30,35.801,143.571
31,35.549,143.439
32,35.278,143.316
33,39.978,144.979
34,35.0,143.221
35,34.721,143.126
36,39.621,144.909
37,39.243,144.858
38,38.9,144.774
39,38.543,144.703
40,38.2,144.619
41,40.885,145.49
42,40.08,145.14
43,39.15,145.01
44,38.205,144.815
45,37.255,144.74
46,36.385,144.155
47,35.855,143.19
