,lat,lon
0,44.989,153.146
1,42.967,149.595
2,42.737,149.203
3,42.498,148.769
4,42.298,148.418
5,42.068,147.986
6,41.849,147.562
7,41.609,147.151
8,41.437,146.711
9,41.216,146.279
10,41.053,145.87
11,44.731,152.731
12,44.789,153.246
13,44.531,152.831
14,44.304,152.457
15,44.077,152.041
16,43.837,151.668
17,43.607,151.255
18,43.423,150.887
19,43.191,150.497
20,42.989,150.087
21,42.767,149.695
22,44.504,152.357
23,42.537,149.303
24,42.298,148.869
25,42.098,148.518
26,41.868,148.086
27,41.649,147.662
28,41.409,147.251
29,41.237,146.811
30,41.016,146.379
31,44.277,151.941
32,44.037,151.568
33,43.807,151.155
34,43.623,150.787
35,43.391,150.397
36,43.189,149.987
37,44.802,153.204
38,44.185,152.209
39,43.643,151.198
40,43.111,150.179
41,42.563,149.251
42,41.948,148.192
43,41.424,147.192
