,code,process_class,process,magnitude_class,magnitude,shape_class,shape
0,ATKCH,BrownianPTProcess,"BPT(mu=72.2,t0=13.3,alph=0.28)",CharacteristicMag,CHAR(mag=8.1),MultiPointShape,"MLTPNT(PNT(x=339.2,y=659.93,d=20.0),PNT(x=334.59,y=666.71,d=21.0),PNT(x=329.9,y=673.5,d=23.0),PNT(x=325.29,y=680.17,d=25.0),PNT(x=320.68,y=686.95,d=27.0),PNT(x=315.98,y=693.73,d=29.0),PNT(x=311.38,y=700.52,d=31.0),PNT(x=355.82,y=650.81,d=18.0),PNT(x=351.12,y=657.48,d=18.0),PNT(x=346.52,y=664.27,d=19.0),PNT(x=341.82,y=671.05,d=20.0),PNT(x=337.21,y=677.72,d=22.0),PNT(x=332.61,y=684.5,d=24.0),PNT(x=327.91,y=691.29,d=26.0),PNT(x=323.3,y=698.07,d=28.0),PNT(x=318.6,y=704.74,d=30.0),PNT(x=367.74,y=648.37,d=16.0),PNT(x=363.05,y=655.04,d=17.0),PNT(x=358.44,y=661.82,d=18.0),PNT(x=353.74,y=668.6,d=19.0),PNT(x=349.14,y=675.28,d=20.0),PNT(x=344.44,y=682.06,d=21.0),PNT(x=339.83,y=688.84,d=23.0),PNT(x=335.23,y=695.62,d=25.0),PNT(x=330.53,y=702.3,d=27.0),PNT(x=325.92,y=709.08,d=30.0),PNT(x=321.22,y=715.86,d=33.0),PNT(x=375.06,y=652.59,d=16.0),PNT(x=370.36,y=659.37,d=17.0),PNT(x=365.76,y=666.16,d=18.0),PNT(x=361.06,y=672.83,d=18.0),PNT(x=356.36,y=679.61,d=19.0),PNT(x=351.76,y=686.4,d=21.0),PNT(x=347.06,y=693.18,d=23.0),PNT(x=342.45,y=699.85,d=25.0),PNT(x=337.75,y=706.63,d=27.0),PNT(x=333.15,y=713.42,d=29.0),PNT(x=328.45,y=720.2,d=32.0),PNT(x=382.29,y=656.93,d=16.0),PNT(x=377.68,y=663.71,d=17.0),PNT(x=372.98,y=670.38,d=17.0),PNT(x=368.38,y=677.17,d=18.0),PNT(x=363.68,y=683.95,d=19.0),PNT(x=358.98,y=690.73,d=21.0),PNT(x=354.38,y=697.4,d=23.0),PNT(x=349.68,y=704.19,d=25.0),PNT(x=345.07,y=710.97,d=27.0),PNT(x=340.37,y=717.64,d=29.0),PNT(x=335.77,y=724.42,d=32.0),PNT(x=331.07,y=731.21,d=36.0),PNT(x=389.6,y=661.27,d=16.0),PNT(x=384.91,y=667.94,d=17.0),PNT(x=380.3,y=674.72,d=17.0),PNT(x=375.6,y=681.5,d=18.0),PNT(x=371.0,y=688.29,d=19.0),PNT(x=366.3,y=694.96,d=21.0),PNT(x=361.6,y=701.74,d=22.0),PNT(x=356.99,y=708.52,d=24.0),PNT(x=352.3,y=715.19,d=27.0),PNT(x=347.69,y=721.98,d=29.0),PNT(x=342.99,y=728.76,d=32.0),PNT(x=338.3,y=735.54,d=36.0),PNT(x=396.83,y=665.49,d=15.0),PNT(x=392.22,y=672.27,d=16.0),PNT(x=387.53,y=679.06,d=17.0),PNT(x=382.92,y=685.84,d=18.0),PNT(x=378.22,y=692.51,d=19.0),PNT(x=373.52,y=699.29,d=21.0),PNT(x=368.92,y=706.08,d=22.0),PNT(x=364.22,y=712.86,d=24.0),PNT(x=359.61,y=719.53,d=27.0),PNT(x=354.92,y=726.31,d=29.0),PNT(x=350.22,y=733.1,d=33.0),PNT(x=345.61,y=739.77,d=37.0),PNT(x=404.15,y=669.83,d=15.0),PNT(x=399.45,y=676.61,d=16.0),PNT(x=394.84,y=683.39,d=17.0),PNT(x=390.14,y=690.06,d=18.0),PNT(x=385.54,y=696.85,d=19.0),PNT(x=380.84,y=703.63,d=21.0),PNT(x=376.14,y=710.41,d=23.0),PNT(x=371.54,y=717.09,d=25.0),PNT(x=366.84,y=723.87,d=27.0),PNT(x=362.14,y=730.65,d=30.0),PNT(x=357.54,y=737.32,d=33.0),PNT(x=352.84,y=744.11,d=38.0),PNT(x=411.46,y=674.16,d=15.0),PNT(x=406.76,y=680.95,d=16.0),PNT(x=402.07,y=687.62,d=17.0),PNT(x=397.46,y=694.4,d=18.0),PNT(x=392.76,y=701.18,d=19.0),PNT(x=388.07,y=707.97,d=21.0),PNT(x=383.46,y=714.64,d=23.0),PNT(x=378.76,y=721.42,d=25.0),PNT(x=374.07,y=728.2,d=27.0),PNT(x=369.46,y=734.88,d=30.0),PNT(x=364.76,y=741.66,d=34.0),PNT(x=360.07,y=748.44,d=39.0),PNT(x=418.69,y=678.5,d=15.0),PNT(x=414.08,y=685.17,d=16.0),PNT(x=409.38,y=691.96,d=17.0),PNT(x=404.69,y=698.74,d=18.0),PNT(x=400.08,y=705.41,d=20.0),PNT(x=395.38,y=712.19,d=21.0),PNT(x=390.69,y=718.98,d=23.0),PNT(x=385.99,y=725.76,d=26.0),PNT(x=381.38,y=732.43,d=28.0),PNT(x=376.69,y=739.21,d=31.0),PNT(x=371.99,y=746.0,d=36.0),PNT(x=367.38,y=752.78,d=40.0),PNT(x=362.69,y=759.45,d=45.0),PNT(x=426.0,y=682.73,d=15.0),PNT(x=421.31,y=689.51,d=16.0),PNT(x=416.7,y=696.29,d=17.0),PNT(x=412.0,y=702.96,d=18.0),PNT(x=407.31,y=709.75,d=20.0),PNT(x=402.61,y=716.53,d=22.0),PNT(x=398.0,y=723.31,d=24.0),PNT(x=393.31,y=729.98,d=26.0),PNT(x=388.61,y=736.77,d=29.0),PNT(x=383.91,y=743.55,d=33.0),PNT(x=379.31,y=750.33,d=37.0),PNT(x=374.61,y=757.0,d=42.0),PNT(x=369.91,y=763.79,d=46.0),PNT(x=433.32,y=687.06,d=15.0),PNT(x=428.62,y=693.85,d=16.0),PNT(x=423.93,y=700.63,d=17.0),PNT(x=419.23,y=707.3,d=18.0),PNT(x=414.62,y=714.08,d=20.0),PNT(x=409.93,y=720.87,d=22.0),PNT(x=405.23,y=727.54,d=25.0),PNT(x=400.53,y=734.32,d=27.0),PNT(x=395.93,y=741.1,d=31.0),PNT(x=391.23,y=747.89,d=34.0),PNT(x=386.53,y=754.56,d=39.0),PNT(x=381.83,y=761.34,d=43.0),PNT(x=377.23,y=768.12,d=48.0),PNT(x=440.54,y=691.4,d=15.0),PNT(x=435.94,y=698.18,d=16.0),PNT(x=431.24,y=704.85,d=17.0),PNT(x=426.55,y=711.64,d=19.0),PNT(x=421.85,y=718.42,d=20.0),PNT(x=417.15,y=725.09,d=22.0),PNT(x=412.55,y=731.87,d=25.0),PNT(x=407.85,y=738.66,d=28.0),PNT(x=403.15,y=745.44,d=32.0),PNT(x=398.45,y=752.11,d=36.0),PNT(x=393.76,y=758.89,d=40.0),PNT(x=389.15,y=765.68,d=45.0),PNT(x=384.45,y=772.46,d=50.0),PNT(x=447.86,y=695.62,d=15.0),PNT(x=443.16,y=702.41,d=16.0),PNT(x=438.47,y=709.19,d=17.0),PNT(x=433.86,y=715.97,d=19.0),PNT(x=429.16,y=722.64,d=20.0),PNT(x=424.47,y=729.43,d=23.0),PNT(x=419.77,y=736.21,d=25.0),PNT(x=415.07,y=742.99,d=29.0),PNT(x=410.38,y=749.67,d=33.0),PNT(x=405.77,y=756.45,d=37.0),PNT(x=401.07,y=763.23,d=42.0),PNT(x=396.38,y=770.01,d=47.0),PNT(x=391.68,y=776.69,d=51.0),PNT(x=455.18,y=699.96,d=15.0),PNT(x=450.48,y=706.74,d=16.0),PNT(x=445.78,y=713.53,d=17.0),PNT(x=441.09,y=720.2,d=19.0),PNT(x=436.39,y=726.98,d=20.0),PNT(x=431.69,y=733.76,d=23.0),PNT(x=427.0,y=740.55,d=26.0),PNT(x=422.39,y=747.22,d=29.0),PNT(x=417.69,y=754.0,d=34.0),PNT(x=413.0,y=760.78,d=38.0),PNT(x=408.3,y=767.46,d=43.0),PNT(x=403.6,y=774.24,d=48.0),PNT(x=398.91,y=781.02,d=53.0),PNT(x=462.4,y=704.3,d=15.0),PNT(x=457.71,y=711.08,d=16.0),PNT(x=453.01,y=717.75,d=18.0),PNT(x=448.4,y=724.54,d=19.0),PNT(x=443.71,y=731.32,d=21.0),PNT(x=439.01,y=738.1,d=23.0),PNT(x=434.31,y=744.77,d=26.0),PNT(x=429.62,y=751.56,d=30.0),PNT(x=424.92,y=758.34,d=34.0),PNT(x=420.22,y=765.01,d=39.0),PNT(x=415.53,y=771.79,d=44.0),PNT(x=410.83,y=778.58,d=49.0),PNT(x=469.72,y=708.63,d=15.0),PNT(x=465.02,y=715.31,d=16.0),PNT(x=460.32,y=722.09,d=18.0),PNT(x=455.63,y=728.87,d=19.0),PNT(x=450.93,y=735.65,d=21.0),PNT(x=446.23,y=742.33,d=23.0),PNT(x=441.54,y=749.11,d=26.0),PNT(x=436.84,y=755.89,d=30.0),PNT(x=432.24,y=762.67,d=35.0),PNT(x=427.54,y=769.35,d=40.0),PNT(x=422.84,y=776.13,d=45.0),PNT(x=418.15,y=782.91,d=50.0),PNT(x=477.03,y=712.86,d=15.0),PNT(x=472.34,y=719.64,d=16.0),PNT(x=467.64,y=726.43,d=18.0),PNT(x=462.94,y=733.21,d=19.0),PNT(x=458.25,y=739.88,d=21.0),PNT(x=453.55,y=746.66,d=23.0),PNT(x=448.85,y=753.45,d=26.0),PNT(x=444.16,y=760.23,d=30.0),PNT(x=439.46,y=766.9,d=35.0),PNT(x=434.76,y=773.68,d=40.0),PNT(x=430.07,y=780.47,d=45.0),PNT(x=425.37,y=787.14,d=51.0),PNT(x=484.26,y=717.2,d=15.0),PNT(x=479.56,y=723.98,d=17.0),PNT(x=474.87,y=730.76,d=18.0),PNT(x=470.17,y=737.43,d=19.0),PNT(x=465.47,y=744.22,d=21.0),PNT(x=460.78,y=751.0,d=24.0),PNT(x=456.08,y=757.67,d=26.0),PNT(x=451.38,y=764.45,d=30.0),PNT(x=446.69,y=771.24,d=35.0),PNT(x=441.99,y=778.02,d=40.0),PNT(x=437.29,y=784.69,d=46.0),PNT(x=491.57,y=721.53,d=16.0),PNT(x=486.88,y=728.32,d=17.0),PNT(x=482.18,y=734.99,d=18.0),PNT(x=477.48,y=741.77,d=19.0),PNT(x=472.79,y=748.55,d=21.0),PNT(x=468.09,y=755.22,d=24.0),PNT(x=463.4,y=762.01,d=27.0),PNT(x=458.7,y=768.79,d=30.0),PNT(x=454.0,y=775.57,d=35.0),PNT(x=449.31,y=782.25,d=40.0),PNT(x=372.35,y=641.58,d=16.0),PNT(x=379.67,y=645.92,d=15.0),PNT(x=384.36,y=639.14,d=15.0),PNT(x=386.98,y=650.15,d=15.0),PNT(x=391.59,y=643.36,d=14.0),PNT(x=396.29,y=636.69,d=13.0),PNT(x=394.21,y=654.48,d=15.0),PNT(x=398.91,y=647.7,d=14.0),PNT(x=403.6,y=640.92,d=13.0),PNT(x=408.21,y=634.24,d=12.0),PNT(x=401.53,y=658.82,d=15.0),PNT(x=406.22,y=652.04,d=14.0),PNT(x=410.83,y=645.25,d=13.0),PNT(x=415.53,y=638.58,d=12.0),PNT(x=408.84,y=663.04,d=14.0),PNT(x=413.45,y=656.37,d=13.0),PNT(x=418.15,y=649.59,d=12.0),PNT(x=422.84,y=642.81,d=11.0),PNT(x=416.07,y=667.38,d=14.0),PNT(x=420.76,y=660.6,d=13.0),PNT(x=425.46,y=653.93,d=12.0),PNT(x=430.07,y=647.14,d=11.0),PNT(x=423.38,y=671.72,d=14.0),PNT(x=428.08,y=664.93,d=13.0),PNT(x=432.78,y=658.15,d=12.0),PNT(x=437.38,y=651.48,d=11.0),PNT(x=430.7,y=676.05,d=14.0),PNT(x=435.4,y=669.27,d=13.0),PNT(x=440.0,y=662.49,d=12.0),PNT(x=437.93,y=680.28,d=14.0),PNT(x=442.62,y=673.61,d=13.0),PNT(x=447.32,y=666.82,d=12.0),PNT(x=445.24,y=684.62,d=14.0),PNT(x=449.94,y=677.83,d=13.0),PNT(x=454.63,y=671.16,d=12.0),PNT(x=452.56,y=688.95,d=14.0),PNT(x=457.25,y=682.17,d=13.0),PNT(x=461.86,y=675.39,d=12.0),PNT(x=459.78,y=693.18,d=14.0),PNT(x=464.48,y=686.51,d=13.0),PNT(x=469.18,y=679.72,d=12.0),PNT(x=467.1,y=697.51,d=14.0),PNT(x=471.79,y=690.73,d=13.0),PNT(x=476.49,y=684.06,d=12.0),PNT(x=474.41,y=701.85,d=14.0),PNT(x=479.11,y=695.07,d=13.0),PNT(x=483.81,y=688.4,d=12.0),PNT(x=481.73,y=706.19,d=14.0),PNT(x=486.34,y=699.41,d=13.0),PNT(x=491.03,y=692.62,d=12.0),PNT(x=488.95,y=710.41,d=14.0),PNT(x=493.65,y=703.74,d=13.0),PNT(x=498.35,y=696.96,d=12.0),PNT(x=496.27,y=714.75,d=15.0),PNT(x=500.97,y=708.08,d=13.0))"
1,ANMRO,BrownianPTProcess,"BPT(mu=72.2,t0=43.5,alph=0.28)",CharacteristicMag,CHAR(mag=7.9),MultiPointShape,"MLTPNT(PNT(x=492.02,y=750.44,d=20.0),PNT(x=487.33,y=757.12,d=22.0),PNT(x=482.63,y=763.9,d=24.0),PNT(x=477.94,y=770.68,d=27.0),PNT(x=504.04,y=748.0,d=19.0),PNT(x=499.25,y=754.67,d=21.0),PNT(x=494.55,y=761.45,d=22.0),PNT(x=489.86,y=768.23,d=25.0),PNT(x=485.16,y=774.91,d=27.0),PNT(x=511.26,y=752.22,d=19.0),PNT(x=506.56,y=759.01,d=21.0),PNT(x=501.87,y=765.79,d=23.0),PNT(x=497.17,y=772.46,d=25.0),PNT(x=492.48,y=779.24,d=28.0),PNT(x=523.27,y=749.78,d=18.0),PNT(x=518.58,y=756.56,d=20.0),PNT(x=513.88,y=763.34,d=21.0),PNT(x=509.09,y=770.13,d=23.0),PNT(x=504.4,y=776.8,d=25.0),PNT(x=499.7,y=783.58,d=28.0),PNT(x=495.01,y=790.36,d=31.0),PNT(x=530.5,y=754.11,d=19.0),PNT(x=525.8,y=760.9,d=20.0),PNT(x=521.1,y=767.68,d=22.0),PNT(x=516.41,y=774.35,d=24.0),PNT(x=511.71,y=781.13,d=26.0),PNT(x=506.93,y=787.92,d=28.0),PNT(x=502.23,y=794.59,d=31.0),PNT(x=537.81,y=758.45,d=19.0),PNT(x=533.12,y=765.12,d=20.0),PNT(x=528.42,y=771.9,d=22.0),PNT(x=523.63,y=778.69,d=24.0),PNT(x=518.94,y=785.47,d=26.0),PNT(x=514.24,y=792.14,d=29.0),PNT(x=509.55,y=798.92,d=32.0),PNT(x=545.13,y=762.67,d=19.0),PNT(x=540.34,y=769.46,d=21.0),PNT(x=535.64,y=776.24,d=22.0),PNT(x=530.95,y=783.02,d=24.0),PNT(x=526.25,y=789.7,d=26.0),PNT(x=521.47,y=796.48,d=29.0),PNT(x=516.77,y=803.26,d=32.0),PNT(x=552.35,y=767.01,d=19.0),PNT(x=547.65,y=773.79,d=21.0),PNT(x=542.96,y=780.58,d=22.0),PNT(x=538.17,y=787.25,d=24.0),PNT(x=533.48,y=794.03,d=26.0),PNT(x=528.78,y=800.81,d=29.0),PNT(x=523.99,y=807.6,d=32.0),PNT(x=559.66,y=771.35,d=19.0),PNT(x=554.97,y=778.13,d=21.0),PNT(x=550.18,y=784.8,d=23.0),PNT(x=545.49,y=791.59,d=25.0),PNT(x=540.79,y=798.37,d=27.0),PNT(x=536.01,y=805.15,d=29.0),PNT(x=531.31,y=811.82,d=33.0),PNT(x=571.67,y=768.9,d=18.0),PNT(x=566.98,y=775.68,d=19.0),PNT(x=562.19,y=782.36,d=21.0),PNT(x=557.5,y=789.14,d=23.0),PNT(x=552.71,y=795.92,d=25.0),PNT(x=548.02,y=802.71,d=27.0),PNT(x=543.32,y=809.38,d=29.0),PNT(x=538.53,y=816.16,d=33.0),PNT(x=533.84,y=822.94,d=37.0),PNT(x=578.99,y=773.24,d=18.0),PNT(x=574.2,y=779.91,d=19.0),PNT(x=569.51,y=786.69,d=21.0),PNT(x=564.72,y=793.48,d=23.0),PNT(x=560.03,y=800.26,d=25.0),PNT(x=555.33,y=806.93,d=27.0),PNT(x=550.54,y=813.71,d=30.0),PNT(x=545.85,y=820.5,d=33.0),PNT(x=541.06,y=827.17,d=37.0),PNT(x=586.21,y=777.46,d=18.0),PNT(x=581.52,y=784.25,d=20.0),PNT(x=576.73,y=791.03,d=21.0),PNT(x=572.04,y=797.81,d=24.0),PNT(x=567.25,y=804.48,d=26.0),PNT(x=562.55,y=811.27,d=28.0),PNT(x=557.86,y=818.05,d=31.0),PNT(x=553.07,y=824.72,d=34.0),PNT(x=548.38,y=831.5,d=38.0),PNT(x=593.53,y=781.8,d=18.0),PNT(x=588.74,y=788.58,d=20.0),PNT(x=584.05,y=795.37,d=22.0),PNT(x=579.26,y=802.04,d=24.0),PNT(x=574.56,y=808.82,d=27.0),PNT(x=569.78,y=815.6,d=29.0),PNT(x=565.08,y=822.28,d=32.0),PNT(x=560.39,y=829.06,d=35.0),PNT(x=555.6,y=835.84,d=39.0),PNT(x=600.75,y=786.14,d=19.0),PNT(x=596.06,y=792.92,d=20.0),PNT(x=591.27,y=799.59,d=22.0),PNT(x=586.57,y=806.37,d=25.0),PNT(x=581.79,y=813.16,d=27.0),PNT(x=577.09,y=819.94,d=30.0),PNT(x=572.31,y=826.61,d=33.0),PNT(x=567.61,y=833.39,d=36.0),PNT(x=562.83,y=840.18,d=40.0),PNT(x=608.06,y=790.47,d=19.0),PNT(x=603.37,y=797.15,d=21.0),PNT(x=598.58,y=803.93,d=23.0),PNT(x=593.89,y=810.71,d=25.0),PNT(x=589.1,y=817.49,d=28.0),PNT(x=584.32,y=824.17,d=31.0),PNT(x=579.62,y=830.95,d=34.0),PNT(x=574.84,y=837.73,d=37.0),PNT(x=570.14,y=844.4,d=41.0),PNT(x=615.38,y=794.7,d=19.0),PNT(x=610.59,y=801.48,d=21.0),PNT(x=605.9,y=808.26,d=23.0),PNT(x=601.11,y=814.94,d=25.0),PNT(x=596.42,y=821.72,d=28.0),PNT(x=591.63,y=828.5,d=31.0),PNT(x=586.85,y=835.29,d=34.0),PNT(x=582.15,y=841.96,d=37.0),PNT(x=577.36,y=848.74,d=41.0),PNT(x=622.6,y=799.04,d=19.0),PNT(x=617.91,y=805.82,d=21.0),PNT(x=613.12,y=812.49,d=23.0),PNT(x=608.43,y=819.27,d=26.0),PNT(x=603.64,y=826.06,d=28.0),PNT(x=598.85,y=832.84,d=31.0),PNT(x=594.16,y=839.51,d=34.0),PNT(x=589.37,y=846.29,d=38.0),PNT(x=584.68,y=853.08,d=41.0),PNT(x=625.13,y=810.16,d=21.0),PNT(x=620.43,y=816.83,d=23.0),PNT(x=615.65,y=823.61,d=26.0),PNT(x=610.95,y=830.39,d=29.0),PNT(x=606.17,y=837.06,d=32.0),PNT(x=601.38,y=843.85,d=35.0),PNT(x=596.69,y=850.63,d=38.0),PNT(x=591.9,y=857.41,d=41.0),PNT(x=632.44,y=814.38,d=21.0),PNT(x=627.66,y=821.16,d=23.0),PNT(x=622.96,y=827.95,d=26.0),PNT(x=618.18,y=834.62,d=29.0),PNT(x=613.39,y=841.4,d=32.0),PNT(x=608.7,y=848.18,d=35.0),PNT(x=603.91,y=854.97,d=38.0),PNT(x=639.76,y=818.72,d=21.0),PNT(x=634.97,y=825.5,d=24.0),PNT(x=630.19,y=832.17,d=26.0),PNT(x=625.49,y=838.95,d=29.0),PNT(x=620.71,y=845.74,d=32.0),PNT(x=615.92,y=852.52,d=35.0),PNT(x=611.13,y=859.19,d=38.0),PNT(x=642.28,y=829.73,d=24.0),PNT(x=637.5,y=836.51,d=26.0),PNT(x=632.71,y=843.29,d=29.0),PNT(x=627.93,y=850.07,d=32.0),PNT(x=623.23,y=856.75,d=35.0),PNT(x=644.72,y=840.85,d=26.0),PNT(x=640.03,y=847.63,d=29.0),PNT(x=635.24,y=854.3,d=32.0))"
