,Code,Magnitude,Proba,Shape
0,F01220A,7.5,1.39429772664e-10,"MLTPLN(PLN((x=-868.73,y=-160.8,d=2.0)(x=-842.87,y=-193.9,d=2.0)(x=-868.73,y=-160.8,d=18.0)(x=-842.87,y=-193.9,d=18.0)),PLN((x=-844.82,y=-191.93,d=2.0)(x=-817.15,y=-231.16,d=2.0)(x=-844.82,y=-191.93,d=18.0)(x=-817.15,y=-231.16,d=18.0)),PLN((x=-820.36,y=-230.74,d=2.0)(x=-796.96,y=-255.4,d=2.0)(x=-799.96,y=-258.25,d=15.0)(x=-823.37,y=-233.59,d=15.0)))"
0,F01220B,7.3,8.36648352808e-07,"MLTPLN(PLN((x=-868.73,y=-160.8,d=2.0)(x=-842.87,y=-193.9,d=2.0)(x=-868.73,y=-160.8,d=18.0)(x=-842.87,y=-193.9,d=18.0)),PLN((x=-844.82,y=-191.93,d=2.0)(x=-817.15,y=-231.16,d=2.0)(x=-844.82,y=-191.93,d=18.0)(x=-817.15,y=-231.16,d=18.0)))"
0,F01220C,7.3,1.39758264771e-07,"MLTPLN(PLN((x=-844.82,y=-191.93,d=2.0)(x=-817.15,y=-231.16,d=2.0)(x=-844.82,y=-191.93,d=18.0)(x=-817.15,y=-231.16,d=18.0)),PLN((x=-820.36,y=-230.74,d=2.0)(x=-796.96,y=-255.4,d=2.0)(x=-799.96,y=-258.25,d=15.0)(x=-823.37,y=-233.59,d=15.0)))"
0,F01622F,7.5,6.59633418819e-12,"MLTPLN(PLN((x=-161.21,y=77.49,d=2.0)(x=-166.96,y=97.17,d=2.0)(x=-163.64,y=98.14,d=2.0)(x=-157.88,y=78.46,d=2.0)),PLN((x=-157.87,y=78.49,d=4.0)(x=-163.48,y=97.69,d=4.0)(x=-156.76,y=99.65,d=12.0)(x=-151.15,y=80.46,d=12.0)),PLN((x=-166.99,y=97.28,d=2.0)(x=-166.53,y=110.38,d=2.0)(x=-163.07,y=110.26,d=2.0)(x=-163.53,y=97.16,d=2.0)),PLN((x=-163.47,y=97.73,d=4.0)(x=-163.05,y=109.72,d=4.0)(x=-156.05,y=109.48,d=12.0)(x=-156.47,y=97.49,d=12.0)),PLN((x=-166.54,y=110.41,d=2.0)(x=-161.19,y=126.02,d=2.0)(x=-157.92,y=124.89,d=2.0)(x=-163.26,y=109.28,d=2.0)),PLN((x=-163.02,y=109.74,d=4.0)(x=-157.83,y=124.88,d=4.0)(x=-151.21,y=122.61,d=12.0)(x=-156.39,y=107.47,d=12.0)),PLN((x=-142.69,y=36.13,d=2.0)(x=-149.11,y=40.56,d=2.0)(x=-147.17,y=43.37,d=9.0)(x=-140.75,y=38.94,d=9.0)),PLN((x=-149.1,y=40.58,d=2.0)(x=-151.92,y=45.64,d=2.0)(x=-148.94,y=47.31,d=9.0)(x=-146.11,y=42.24,d=9.0)),PLN((x=-151.99,y=45.69,d=2.0)(x=-164.03,y=77.38,d=2.0)(x=-160.83,y=78.6,d=9.0)(x=-148.8,y=46.9,d=9.0)),PLN((x=-152.9,y=46.8,d=2.0)(x=-147.77,y=44.3,d=2.0)(x=-149.87,y=40.0,d=13.0)(x=-155.0,y=42.5,d=13.0)),PLN((x=-147.75,y=44.24,d=2.0)(x=-145.59,y=38.97,d=2.0)(x=-150.02,y=37.15,d=13.0)(x=-152.18,y=42.43,d=13.0)),PLN((x=-145.49,y=38.8,d=2.0)(x=-130.45,y=20.09,d=2.0)(x=-134.18,y=17.09,d=13.0)(x=-149.22,y=35.8,d=13.0)),PLN((x=-133.83,y=18.89,d=4.0)(x=-126.34,y=10.71,d=4.0)(x=-137.81,y=0.2,d=16.0)(x=-145.3,y=8.38,d=16.0)),PLN((x=-126.34,y=10.77,d=4.0)(x=-119.83,y=-11.91,d=4.0)(x=-134.79,y=-16.2,d=16.0)(x=-141.29,y=6.49,d=16.0)),PLN((x=-119.83,y=-11.91,d=4.0)(x=-125.98,y=-25.04,d=4.0)(x=-140.07,y=-18.44,d=16.0)(x=-133.92,y=-5.31,d=16.0)))"
0,F01622D,7.4,2.02354576777e-07,"MLTPLN(PLN((x=-161.21,y=77.49,d=2.0)(x=-166.96,y=97.17,d=2.0)(x=-163.64,y=98.14,d=2.0)(x=-157.88,y=78.46,d=2.0)),PLN((x=-157.87,y=78.49,d=4.0)(x=-163.48,y=97.69,d=4.0)(x=-156.76,y=99.65,d=12.0)(x=-151.15,y=80.46,d=12.0)),PLN((x=-166.99,y=97.28,d=2.0)(x=-166.53,y=110.38,d=2.0)(x=-163.07,y=110.26,d=2.0)(x=-163.53,y=97.16,d=2.0)),PLN((x=-163.47,y=97.73,d=4.0)(x=-163.05,y=109.72,d=4.0)(x=-156.05,y=109.48,d=12.0)(x=-156.47,y=97.49,d=12.0)),PLN((x=-166.54,y=110.41,d=2.0)(x=-161.19,y=126.02,d=2.0)(x=-157.92,y=124.89,d=2.0)(x=-163.26,y=109.28,d=2.0)),PLN((x=-163.02,y=109.74,d=4.0)(x=-157.83,y=124.88,d=4.0)(x=-151.21,y=122.61,d=12.0)(x=-156.39,y=107.47,d=12.0)),PLN((x=-142.69,y=36.13,d=2.0)(x=-149.11,y=40.56,d=2.0)(x=-147.17,y=43.37,d=9.0)(x=-140.75,y=38.94,d=9.0)),PLN((x=-149.1,y=40.58,d=2.0)(x=-151.92,y=45.64,d=2.0)(x=-148.94,y=47.31,d=9.0)(x=-146.11,y=42.24,d=9.0)),PLN((x=-151.99,y=45.69,d=2.0)(x=-164.03,y=77.38,d=2.0)(x=-160.83,y=78.6,d=9.0)(x=-148.8,y=46.9,d=9.0)),PLN((x=-152.9,y=46.8,d=2.0)(x=-147.77,y=44.3,d=2.0)(x=-149.87,y=40.0,d=13.0)(x=-155.0,y=42.5,d=13.0)),PLN((x=-147.75,y=44.24,d=2.0)(x=-145.59,y=38.97,d=2.0)(x=-150.02,y=37.15,d=13.0)(x=-152.18,y=42.43,d=13.0)),PLN((x=-145.49,y=38.8,d=2.0)(x=-130.45,y=20.09,d=2.0)(x=-134.18,y=17.09,d=13.0)(x=-149.22,y=35.8,d=13.0)))"
0,F01622E,7.4,1.17475560698e-09,"MLTPLN(PLN((x=-142.69,y=36.13,d=2.0)(x=-149.11,y=40.56,d=2.0)(x=-147.17,y=43.37,d=9.0)(x=-140.75,y=38.94,d=9.0)),PLN((x=-149.1,y=40.58,d=2.0)(x=-151.92,y=45.64,d=2.0)(x=-148.94,y=47.31,d=9.0)(x=-146.11,y=42.24,d=9.0)),PLN((x=-151.99,y=45.69,d=2.0)(x=-164.03,y=77.38,d=2.0)(x=-160.83,y=78.6,d=9.0)(x=-148.8,y=46.9,d=9.0)),PLN((x=-152.9,y=46.8,d=2.0)(x=-147.77,y=44.3,d=2.0)(x=-149.87,y=40.0,d=13.0)(x=-155.0,y=42.5,d=13.0)),PLN((x=-147.75,y=44.24,d=2.0)(x=-145.59,y=38.97,d=2.0)(x=-150.02,y=37.15,d=13.0)(x=-152.18,y=42.43,d=13.0)),PLN((x=-145.49,y=38.8,d=2.0)(x=-130.45,y=20.09,d=2.0)(x=-134.18,y=17.09,d=13.0)(x=-149.22,y=35.8,d=13.0)),PLN((x=-133.83,y=18.89,d=4.0)(x=-126.34,y=10.71,d=4.0)(x=-137.81,y=0.2,d=16.0)(x=-145.3,y=8.38,d=16.0)),PLN((x=-126.34,y=10.77,d=4.0)(x=-119.83,y=-11.91,d=4.0)(x=-134.79,y=-16.2,d=16.0)(x=-141.29,y=6.49,d=16.0)),PLN((x=-119.83,y=-11.91,d=4.0)(x=-125.98,y=-25.04,d=4.0)(x=-140.07,y=-18.44,d=16.0)(x=-133.92,y=-5.31,d=16.0)))"
0,F01622B,7.1,3.60377699014e-05,"MLTPLN(PLN((x=-142.69,y=36.13,d=2.0)(x=-149.11,y=40.56,d=2.0)(x=-147.17,y=43.37,d=9.0)(x=-140.75,y=38.94,d=9.0)),PLN((x=-149.1,y=40.58,d=2.0)(x=-151.92,y=45.64,d=2.0)(x=-148.94,y=47.31,d=9.0)(x=-146.11,y=42.24,d=9.0)),PLN((x=-151.99,y=45.69,d=2.0)(x=-164.03,y=77.38,d=2.0)(x=-160.83,y=78.6,d=9.0)(x=-148.8,y=46.9,d=9.0)),PLN((x=-152.9,y=46.8,d=2.0)(x=-147.77,y=44.3,d=2.0)(x=-149.87,y=40.0,d=13.0)(x=-155.0,y=42.5,d=13.0)),PLN((x=-147.75,y=44.24,d=2.0)(x=-145.59,y=38.97,d=2.0)(x=-150.02,y=37.15,d=13.0)(x=-152.18,y=42.43,d=13.0)),PLN((x=-145.49,y=38.8,d=2.0)(x=-130.45,y=20.09,d=2.0)(x=-134.18,y=17.09,d=13.0)(x=-149.22,y=35.8,d=13.0)))"
0,F01622C,7.3,9.4581910533e-08,"MLTPLN(PLN((x=-152.9,y=46.8,d=2.0)(x=-147.77,y=44.3,d=2.0)(x=-149.87,y=40.0,d=13.0)(x=-155.0,y=42.5,d=13.0)),PLN((x=-147.75,y=44.24,d=2.0)(x=-145.59,y=38.97,d=2.0)(x=-150.02,y=37.15,d=13.0)(x=-152.18,y=42.43,d=13.0)),PLN((x=-145.49,y=38.8,d=2.0)(x=-130.45,y=20.09,d=2.0)(x=-134.18,y=17.09,d=13.0)(x=-149.22,y=35.8,d=13.0)),PLN((x=-133.83,y=18.89,d=4.0)(x=-126.34,y=10.71,d=4.0)(x=-137.81,y=0.2,d=16.0)(x=-145.3,y=8.38,d=16.0)),PLN((x=-126.34,y=10.77,d=4.0)(x=-119.83,y=-11.91,d=4.0)(x=-134.79,y=-16.2,d=16.0)(x=-141.29,y=6.49,d=16.0)),PLN((x=-119.83,y=-11.91,d=4.0)(x=-125.98,y=-25.04,d=4.0)(x=-140.07,y=-18.44,d=16.0)(x=-133.92,y=-5.31,d=16.0)))"
0,F01622A,7.2,6.97420273181e-05,"MLTPLN(PLN((x=-161.21,y=77.49,d=2.0)(x=-166.96,y=97.17,d=2.0)(x=-163.64,y=98.14,d=2.0)(x=-157.88,y=78.46,d=2.0)),PLN((x=-157.87,y=78.49,d=4.0)(x=-163.48,y=97.69,d=4.0)(x=-156.76,y=99.65,d=12.0)(x=-151.15,y=80.46,d=12.0)),PLN((x=-166.99,y=97.28,d=2.0)(x=-166.53,y=110.38,d=2.0)(x=-163.07,y=110.26,d=2.0)(x=-163.53,y=97.16,d=2.0)),PLN((x=-163.47,y=97.73,d=4.0)(x=-163.05,y=109.72,d=4.0)(x=-156.05,y=109.48,d=12.0)(x=-156.47,y=97.49,d=12.0)),PLN((x=-166.54,y=110.41,d=2.0)(x=-161.19,y=126.02,d=2.0)(x=-157.92,y=124.89,d=2.0)(x=-163.26,y=109.28,d=2.0)),PLN((x=-163.02,y=109.74,d=4.0)(x=-157.83,y=124.88,d=4.0)(x=-151.21,y=122.61,d=12.0)(x=-156.39,y=107.47,d=12.0)),PLN((x=-142.69,y=36.13,d=2.0)(x=-149.11,y=40.56,d=2.0)(x=-147.17,y=43.37,d=9.0)(x=-140.75,y=38.94,d=9.0)),PLN((x=-149.1,y=40.58,d=2.0)(x=-151.92,y=45.64,d=2.0)(x=-148.94,y=47.31,d=9.0)(x=-146.11,y=42.24,d=9.0)),PLN((x=-151.99,y=45.69,d=2.0)(x=-164.03,y=77.38,d=2.0)(x=-160.83,y=78.6,d=9.0)(x=-148.8,y=46.9,d=9.0)))"
0,F01300E,6.8,0.0,"MLTPLN(PLN((x=-787.06,y=-308.02,d=3.0)(x=-806.28,y=-322.4,d=3.0)(x=-787.06,y=-308.02,d=17.0)(x=-806.28,y=-322.4,d=17.0)),PLN((x=-805.83,y=-321.92,d=3.0)(x=-813.61,y=-340.34,d=3.0)(x=-805.83,y=-321.92,d=17.0)(x=-813.61,y=-340.34,d=17.0)))"
