,lat,lon
0,33.19,134.278
1,32.85,133.324
2,32.643,136.232
3,32.793,135.164
4,32.699,134.034
5,32.684,134.682
6,32.576,135.809
7,32.492,133.577
8,32.413,135.354
9,32.446,134.258
10,32.304,134.919
11,33.08,135.337
12,32.083,133.771
13,32.135,134.457
14,31.725,134.015
15,35.165,138.88
16,34.829,138.382
17,34.521,137.833
18,34.801,138.845
19,34.421,138.397
20,34.151,138.044
21,34.327,138.651
22,33.219,137.201
23,34.146,137.567
24,33.955,138.369
25,33.835,137.79
26,33.868,136.85
27,33.986,137.223
28,33.579,137.988
29,33.261,135.062
30,33.412,136.459
31,33.16,135.706
32,33.263,134.754
33,32.838,135.9
34,33.339,137.617
35,33.08,134.965
36,32.995,133.887
37,32.861,136.692
38,32.797,135.583
39,32.909,134.487
