,code,source,proba1an
107,CGR5_25_8998,ZoneEarthquake,0.000801257
108,CGR5_25_8999,ZoneEarthquake,0.000801257
109,CGR5_23_5618,ZoneEarthquake,0.000246626
110,CGR5_3_529,ZoneEarthquake,0.000270547
111,CGR5_3_528,ZoneEarthquake,0.000270983
112,CGR5_7_5015,ZoneEarthquake,0.000330665
113,CGR5_7_5014,ZoneEarthquake,0.000335395
114,CGR5_7_5017,ZoneEarthquake,0.000312415
115,CGR5_7_5016,ZoneEarthquake,0.000321327
116,CGR5_7_5011,ZoneEarthquake,0.000341179
117,CGR5_7_5010,ZoneEarthquake,0.000359438
118,CGR5_7_5013,ZoneEarthquake,0.000334707
119,CGR5_7_5012,ZoneEarthquake,0.000334046
120,CGR5_7_5019,ZoneEarthquake,0.000313364
121,CGR5_7_5018,ZoneEarthquake,0.000308793
122,CPCF_INTER_12_7487,DomainEarthquake,0.00281309
123,CPCF_INTER_12_7486,DomainEarthquake,0.00306098
124,CPCF_INTER_12_7485,DomainEarthquake,0.00326429
125,CPCF_INTER_12_7484,DomainEarthquake,0.00318973
126,CPCF_INTER_12_7483,DomainEarthquake,0.00278926
127,CPCF_INTER_12_7482,DomainEarthquake,0.00227845
128,CPCF_INTER_12_7481,DomainEarthquake,0.00189447
129,CPCF_INTER_12_7480,DomainEarthquake,0.00170322
130,CPCF_INTER_12_7489,DomainEarthquake,0.00254138
131,CPCF_INTER_12_7488,DomainEarthquake,0.00265231
132,CGR5_13_6227,ZoneEarthquake,0.00113992
133,CGR5_13_6226,ZoneEarthquake,0.0013201
134,CPCF_INTER_4_4042,ZoneEarthquake,0.00571248
135,CPCF_INTER_4_4043,ZoneEarthquake,0.00542638
136,CPCF_INTER_4_4040,ZoneEarthquake,0.00590236
137,CPCF_INTER_4_4041,ZoneEarthquake,0.00586068
138,CGR5_13_6229,ZoneEarthquake,0.000908055
139,CGR5_13_6228,ZoneEarthquake,0.000988609
140,CPCF_INTER_4_4044,ZoneEarthquake,0.00504771
141,CPCF_INTER_4_4045,ZoneEarthquake,0.00465299
142,CPCF_INTRA_4_4224,ZoneEarthquake,0.000789959
143,CPCF_INTRA_4_4225,ZoneEarthquake,0.000755115
144,CPCF_INTRA_4_4226,ZoneEarthquake,0.000698794
145,CPCF_INTRA_4_4227,ZoneEarthquake,0.000630267
146,CPCF_INTRA_6_4027,ZoneEarthquake,0.000565582
147,CPCF_INTRA_6_4028,ZoneEarthquake,0.000562216
148,CPCF_INTRA_6_4029,ZoneEarthquake,0.000551233
149,CPCF_INTRA_4_4228,ZoneEarthquake,0.000562119
150,CPCF_INTRA_4_4229,ZoneEarthquake,0.000503978
151,CPCF_INTRA_12_8079,DomainEarthquake,0.000270794
152,CPCF_INTRA_12_8078,DomainEarthquake,0.000303763
153,CPCF_INTRA_12_8071,DomainEarthquake,0.000230008
154,CPCF_INTRA_12_8070,DomainEarthquake,0.00026462
155,CPCF_INTRA_12_8073,DomainEarthquake,0.000213646
156,CPCF_INTRA_12_8072,DomainEarthquake,0.000212991
157,CPCF_INTRA_12_8075,DomainEarthquake,0.000265178
158,CPCF_INTRA_12_8074,DomainEarthquake,0.000231333
159,CPCF_INTRA_12_8077,DomainEarthquake,0.000319519
160,CPCF_INTRA_12_8076,DomainEarthquake,0.000302624
161,CPCF_INTER_4_5399,ZoneEarthquake,0.00573763
162,CPCF_INTER_4_5398,ZoneEarthquake,0.00520108
163,CPCF_INTER_4_5397,ZoneEarthquake,0.00481065
164,CPCF_INTER_4_5396,ZoneEarthquake,0.00460519
165,CIZU_3_895,ZoneEarthquake,0.000378545
166,CIZU_3_894,ZoneEarthquake,0.000378443
167,CIZU_3_897,ZoneEarthquake,0.000378984
168,CIZU_3_896,ZoneEarthquake,0.000378733
169,CPCF_INTER_4_3779,ZoneEarthquake,0.00526311
170,CIZU_3_890,ZoneEarthquake,0.000378387
171,CIZU_3_893,ZoneEarthquake,0.000378403
172,CIZU_3_892,ZoneEarthquake,0.000378391
173,CPCF_INTER_4_3775,ZoneEarthquake,0.0082324
174,CPCF_INTER_4_3774,ZoneEarthquake,0.0085659
175,CPCF_INTER_4_3777,ZoneEarthquake,0.00654784
176,CPCF_INTER_4_3776,ZoneEarthquake,0.00746461
