,lat,lon
0,24.628,126.625
1,26.192,128.565
2,24.139,124.805
3,23.988,124.39
4,31.142,131.888
5,26.236,129.323
6,26.54,129.564
7,23.863,123.766
8,23.977,124.056
9,23.599,123.743
10,23.657,124.084
11,23.667,124.492
12,26.429,128.856
13,23.73,124.886
14,23.644,125.234
15,23.959,125.221
16,24.101,125.573
17,23.833,125.616
18,24.216,125.942
19,24.436,126.294
20,23.923,126.05
21,24.063,126.391
22,26.885,129.41
23,27.201,129.697
24,27.529,130.079
25,27.8,130.259
26,28.109,130.487
27,28.503,130.798
28,28.913,131.025
29,24.772,127.339
30,24.342,126.746
31,25.018,127.627
32,25.225,127.881
33,25.405,128.171
34,25.711,128.456
35,25.939,128.698
36,26.197,128.96
37,26.617,129.138
38,29.282,130.967
39,29.19,131.352
40,29.573,131.179
41,24.542,127.016
42,29.843,131.35
43,30.112,131.517
44,30.419,131.73
45,30.728,131.979
46,30.63,132.239
47,30.257,132.05
48,29.926,131.85
49,29.678,131.606
50,29.419,131.489
51,28.177,130.988
52,24.846,126.92
53,27.906,130.757
54,27.611,130.531
55,27.324,130.314
56,30.781,131.706
57,30.471,131.531
58,30.184,131.345
59,29.891,131.128
60,29.609,130.886
61,25.966,129.081
62,25.697,128.82
63,25.034,127.232
64,25.439,128.567
65,25.145,128.308
66,24.961,128.033
67,24.754,127.748
68,24.522,127.443
69,24.284,127.167
70,24.059,126.876
71,23.816,126.569
72,23.27,123.756
73,23.596,125.981
74,25.27,127.487
75,23.477,125.618
76,23.343,125.234
77,23.324,124.914
78,23.284,124.534
79,27.071,130.061
80,26.823,129.831
81,23.276,124.151
82,31.049,132.206
83,30.935,132.637
84,30.617,132.479
85,25.535,127.772
86,30.266,132.338
87,29.94,132.188
88,29.651,132.005
89,29.361,131.823
90,29.056,131.622
91,28.739,131.425
92,28.448,131.22
93,23.681,126.291
94,29.441,130.506
95,29.026,130.582
96,25.755,128.013
97,28.656,130.451
98,28.298,130.236
99,28.004,130.009
100,27.75,129.771
101,27.501,129.508
102,27.26,129.288
103,26.983,129.021
104,26.782,128.748
105,26.54,128.477
106,26.28,128.213
107,25.955,128.314
108,26.077,127.945
109,25.847,127.664
110,25.626,127.393
111,25.417,127.112
112,25.177,126.83
113,24.954,126.552
114,24.732,126.224
115,24.553,125.868
116,24.382,125.511
117,24.269,125.173
