Code,Proba
CPCF_INTER_4_3776,0.00746461
CIZU_3_899,0.000379297
CIZU_3_898,0.000379206
CPCF_INTER_4_3773,0.00839783
CPCF_INTER_6_3719,0.0112925
CPCF_INTER_6_3718,0.0108128
CPCF_INTRA_2_1730,0.00209477
CPCF_INTER_6_3717,0.00995823
CPCF_INTER_6_3716,0.00905526
CPCF_INTER_4_4271,0.00749009
CPCF_INTRA_7_4209,0.00203041
CPCF_INTRA_2_1735,0.00250704
CPCF_INTER_4_4270,0.00771966
CPCF_INTRA_2_1734,0.00251392
CPHL_INTER_5_2947,0.00439104
CPCF_INTER_4_5027,0.00606954
CPHL_INTER_5_2946,0.00426125
CGR5_14_6342,0.00135185
CGR5_14_6341,0.00150694
CGR5_14_6340,0.00160234
CPCF_INTRA_2_1739,0.00217603
CPHL_INTRA_4_2490,0.00152166
CPHL_INTRA_4_2491,0.00208742
CPHL_INTRA_4_2492,0.00276237
CPCF_INTRA_2_1738,0.00229155
CPHL_INTRA_4_2494,0.00345304
CPHL_INTRA_4_2495,0.00334034
CPHL_INTRA_4_2496,0.0030694
CPHL_INTRA_4_2497,0.00271052
CPHL_INTRA_4_2498,0.00234408
CGR5_15_5969,0.00179933
CGR5_25_10252,0.000984597
CPHL_INTRA_4_3549,0.00205188
CPHL_INTER_5_2941,0.00222489
CPHL_INTER_5_2940,0.00197707
CPHL_INTER_5_4198,0.00399633
CPHL_INTER_5_4199,0.00268558
CPHL_INTER_5_4196,0.00634675
CPHL_INTER_5_4197,0.00552087
CPHL_INTER_5_4194,0.00472599
CPHL_INTER_5_4195,0.00593865
CPHL_INTER_5_4192,0.00240746
CPHL_INTER_5_4193,0.00347426
CPHL_INTER_5_4190,0.00161373
CPHL_INTER_5_4191,0.00190653
CJPS_1_300,0.000429396
CJPS_1_301,0.000417977
CJPS_1_302,0.000415811
CJPS_1_303,0.000419732
CJPS_1_304,0.000430048
CJPS_1_305,0.000449838
CJPS_1_306,0.000482038
CJPS_1_307,0.000524838
CJPS_1_308,0.000568887
CJPS_1_309,0.000599708
CGR5_25_10385,0.000830301
CGR5_25_10384,0.000830302
CGR5_6_788,0.00021808
CGR5_6_789,0.000220037
CGR5_25_10381,0.000830872
CGR5_25_10380,0.000832652
CGR5_25_10383,0.000830314
CGR5_25_10382,0.000830403
CPHL_INTER_1_1432,0.000139196
CPHL_INTER_1_1433,0.000147727
CPHL_INTER_1_1430,0.000119821
CPHL_INTER_1_1431,0.000128524
CGR5_6_786,0.000220074
CGR5_6_787,0.000218373
CPHL_INTER_1_1434,0.000150469
CGR5_6_785,0.000222727
F016021,2.51710532776e-183
CGR5_7_3088,0.000331918
CGR5_7_3089,0.000330164
CPHL_INTRA_6_4616,0.00374503
CPHL_INTRA_6_4614,0.00447124
CPHL_INTRA_6_4615,0.00420611
CPHL_INTRA_6_4612,0.00414819
CPHL_INTRA_6_4613,0.00442809
CPHL_INTRA_6_4610,0.00357798
CPHL_INTRA_6_4611,0.00381723
CGR5_7_3334,0.000376954
CGR5_7_3335,0.000364006
CGR5_7_3332,0.000388485
CGR5_7_3333,0.000386822
CGR5_7_3330,0.000361166
CGR5_7_3331,0.000379117
CGR5_4_883,0.000212573
CGR5_4_882,0.000227684
CGR5_4_887,0.000201661
CGR5_4_886,0.000201479
CGR5_4_885,0.00020224
CGR5_4_884,0.00020514
CGR5_4_889,0.000203457
CGR5_4_888,0.000202429
CPCF_INTRA_11_5418,0.00324452
CIZU_2_331,0.000537256
CIZU_2_330,0.000454402
CIZU_2_333,0.000723176
CIZU_2_332,0.000634978
CPCF_INTRA_11_5415,0.00206171
CIZU_2_334,0.000785003
CPCF_INTRA_11_5417,0.00282563
CPCF_INTRA_11_5416,0.00240452
CJPS_1_876,0.000649933
CJPS_1_877,0.00071387
CJPS_1_874,0.000559247
CJPS_1_875,0.000598954
CJPS_1_872,0.000643123
CJPS_1_873,0.000526743
CJPS_1_870,0.000728253
CJPS_1_871,0.000693242
CJPS_1_878,0.000779879
CJPS_1_879,0.000823811
CGR5_25_11034,0.000842867
CGR5_25_11035,0.000841429
CGR5_25_11036,0.000842023
CGR5_25_11037,0.00084655
CGR5_25_11030,0.00126316
CGR5_25_11031,0.00100702
CGR5_25_11032,0.000890116
CGR5_25_11033,0.000851868
CPHL_INTER_1_106,0.000223769
CPHL_INTER_1_107,0.000269831
CPHL_INTER_1_104,0.000161759
CPHL_INTER_1_105,0.000186439
CGR5_25_11038,0.000865197
CGR5_25_11039,0.000918557
CPHL_INTER_1_100,0.000127656
CPHL_INTER_1_101,0.000132069
CGR5_15_7438,0.000568448
CGR5_15_7431,0.000576246
CGR5_15_7430,0.00055486
CGR5_15_7433,0.000602181
CGR5_15_7432,0.000594665
CGR5_15_7435,0.000583218
CGR5_15_7434,0.000596611
CGR5_15_7437,0.000565663
CGR5_15_7436,0.000570874
CPHL_INTRA_1_1056,0.00068701
CPHL_INTRA_1_1057,0.000658536
CPHL_INTRA_1_1054,0.000637712
CPHL_INTRA_1_1055,0.000682834
CPHL_INTRA_1_1052,0.000522193
CPHL_INTRA_1_1053,0.00057396
CPHL_INTRA_1_1050,0.000491199
CPHL_INTRA_1_1051,0.000496023
CPHL_INTRA_1_1058,0.000625695
CPHL_INTRA_1_1059,0.0006114
CPHL_INTER_5_2091,0.00218375
CPHL_INTER_5_2090,0.00228167
CPHL_INTER_5_2093,0.00277226
CPHL_INTER_5_2092,0.00232656
CPHL_INTER_5_2095,0.00446254
CPHL_INTER_5_2094,0.00351147
CPHL_INTER_5_2097,0.00603004
CPHL_INTER_5_2096,0.00542044
CPHL_INTER_5_2099,0.00504755
CPHL_INTER_5_2098,0.00592679
CPHL_INTRA_4_2551,0.0019765
CPHL_INTRA_4_2550,0.00162229
CPCF_INTRA_2_2022,0.00167004
CPHL_INTRA_4_2553,0.00316539
CPCF_INTRA_3_3219,0.000499209
CPCF_INTRA_3_3218,0.000489239
CPHL_INTRA_4_2552,0.00246473
CPCF_INTRA_3_3211,0.000446669
CPCF_INTRA_3_3210,0.000428215
CPCF_INTRA_3_3213,0.000488576
CPCF_INTRA_3_3212,0.000468926
CPCF_INTRA_3_3215,0.000499317
CPCF_INTRA_3_3214,0.000499078
CPCF_INTRA_3_3217,0.000488815
CPCF_INTRA_3_3216,0.000493846
CPHL_INTRA_5_3609,0.000898832
CGR5_21_7878,0.0010321
CPCF_INTRA_2_2023,0.00154978
CGR5_21_7879,0.000971711
CPHL_INTER_5_2327,0.00346173
CPHL_INTER_5_2326,0.00387148
CPHL_INTER_5_2325,0.00410884
CPHL_INTER_5_2324,0.00409616
CPHL_INTER_5_2323,0.00385696
CPHL_INTER_5_2322,0.0035622
CPHL_INTER_5_2321,0.00343484
CPHL_INTER_5_2320,0.00358343
CJPS_1_1108,0.000507952
CJPS_1_1109,0.000503674
CJPS_1_1102,0.00054426
CJPS_1_1103,0.00053788
CJPS_1_1100,0.00058038
CJPS_1_1101,0.000561104
CJPS_1_1106,0.000530067
CJPS_1_1107,0.000518184
CJPS_1_1104,0.000538391
CJPS_1_1105,0.000537434
CPHL_INTRA_4_3956,0.00260574
CGR5_21_7870,0.000994511
CPHL_INTRA_5_4055,0.00070797
CPHL_INTRA_5_4054,0.000707956
CPHL_INTRA_4_3958,0.00320766
CGR5_21_7871,0.0010555
CPHL_INTRA_5_4051,0.00070801
CPHL_INTRA_5_4050,0.000708454
CPHL_INTRA_5_4053,0.000707955
CPHL_INTRA_5_4052,0.000707959
CPCF_INTRA_2_2021,0.0018042
CPCF_INTRA_12_7935,0.000215375
CPCF_INTRA_12_7934,0.000214337
CPCF_INTRA_12_7937,0.000228446
CPCF_INTRA_12_7936,0.000221247
CPCF_INTRA_12_7931,0.000216042
CPCF_INTRA_12_7930,0.000210809
CPCF_INTRA_12_7933,0.000217233
CPCF_INTRA_12_7932,0.000218941
CPCF_INTRA_12_7938,0.000233375
CPCF_INTRA_2_2026,0.00124785
CGR5_17_8199,0.000483708
CPCF_INTRA_2_2027,0.00119404
CPCF_INTRA_12_7209,0.000314083
CPCF_INTRA_12_7208,0.000291786
CPCF_INTER_12_6189,0.00281778
CPCF_INTER_12_6188,0.00267456
CPHL_INTRA_4_1708,0.000942556
CGR5_2_2704,0.000479404
CGR5_2_2703,0.000496731
CGR5_2_2702,0.000512446
CGR5_2_2701,0.000527209
CGR5_2_2700,0.000543542
CGR5_3_1006,0.000272733
CGR5_3_1007,0.000285492
CGR5_3_1004,0.000261171
CGR5_3_1005,0.000265297
CGR5_3_1008,0.000304297
CGR5_3_1009,0.000326243
CGR5_4_1234,0.000216134
CGR5_4_1235,0.000211387
CGR5_4_1236,0.000209278
CGR5_4_1237,0.000209717
CGR5_4_1230,0.000265171
CGR5_4_1231,0.000251752
CGR5_4_1232,0.000236538
CGR5_4_1233,0.000224255
CGR5_4_1238,0.000212658
CGR5_4_1239,0.000217416
CIZU_3_2089,0.000695779
CIZU_3_2088,0.00087302
CPCF_INTER_12_6231,0.00367602
CPCF_INTER_12_6230,0.00372255
CIZU_3_2081,0.00108143
CIZU_3_2080,0.000949591
CIZU_3_2083,0.00085938
CIZU_3_2082,0.00102909
CIZU_3_2085,0.00076934
CIZU_3_2084,0.00073927
CIZU_3_2087,0.000957918
CIZU_3_2086,0.000893233
CPCF_INTRA_3_2656,0.000410173
CPCF_INTRA_3_2657,0.00038884
CPCF_INTRA_3_2654,0.000442144
CPCF_INTRA_3_2655,0.000427374
CPCF_INTRA_3_2652,0.000484629
CPCF_INTRA_3_2653,0.000459558
CPCF_INTRA_3_2650,0.000551127
