,# MNO,JLG,JLA,WLG,WLA,FRQ,BVL,MMN,ANO,DEP,STR,DIP
65,66,140.204,45.598,140.2,45.6,0.000389745,0.9,5.0,1,3.0,0.0,90.0
66,67,140.304,45.598,140.3,45.6,0.0003886,0.9,5.0,1,3.0,0.0,90.0
67,68,140.404,45.598,140.4,45.6,0.00038765,0.9,5.0,1,3.0,0.0,90.0
68,69,140.504,45.598,140.5,45.6,0.000387024,0.9,5.0,1,3.0,0.0,90.0
69,70,140.604,45.598,140.6,45.6,0.000386694,0.9,5.0,1,3.0,0.0,90.0
70,71,140.704,45.598,140.7,45.6,0.00038655,0.9,5.0,1,3.0,0.0,90.0
71,72,140.804,45.598,140.8,45.6,0.000386492,0.9,5.0,1,3.0,0.0,90.0
72,73,140.904,45.598,140.9,45.6,0.000386499,0.9,5.0,1,3.0,0.0,90.0
73,74,139.804,45.498,139.8,45.5,0.000393842,0.9,5.0,1,3.0,0.0,90.0
74,75,139.904,45.498,139.9,45.5,0.000394861,0.9,5.0,1,3.0,0.0,90.0
75,76,140.004,45.498,140.0,45.5,0.000395115,0.9,5.0,1,3.0,0.0,90.0
76,77,140.104,45.498,140.1,45.5,0.000394384,0.9,5.0,1,3.0,0.0,90.0
77,78,140.204,45.498,140.2,45.5,0.000392844,0.9,5.0,1,3.0,0.0,90.0
78,79,140.304,45.498,140.3,45.5,0.000391006,0.9,5.0,1,3.0,0.0,90.0
79,80,140.404,45.498,140.4,45.5,0.00038942,0.9,5.0,1,3.0,0.0,90.0
80,81,140.504,45.498,140.5,45.5,0.000388378,0.9,5.0,1,3.0,0.0,90.0
81,82,140.604,45.498,140.6,45.5,0.00038784,0.9,5.0,1,3.0,0.0,90.0
82,83,140.704,45.498,140.7,45.5,0.000387598,0.9,5.0,1,3.0,0.0,90.0
83,84,140.804,45.498,140.8,45.5,0.000387462,0.9,5.0,1,3.0,0.0,90.0
84,85,139.704,45.398,139.7,45.4,0.000393577,0.9,5.0,1,3.0,0.0,90.0
85,86,139.804,45.398,139.8,45.4,0.000394987,0.9,5.0,1,3.0,0.0,90.0
86,87,139.904,45.398,139.9,45.4,0.000396321,0.9,5.0,1,3.0,0.0,90.0
87,88,140.004,45.398,140.0,45.4,0.000396925,0.9,5.0,1,3.0,0.0,90.0
88,89,140.104,45.398,140.1,45.4,0.000396371,0.9,5.0,1,3.0,0.0,90.0
89,90,140.204,45.398,140.2,45.4,0.000394775,0.9,5.0,1,3.0,0.0,90.0
90,91,140.304,45.398,140.3,45.4,0.000392775,0.9,5.0,1,3.0,0.0,90.0
91,92,140.404,45.398,140.4,45.4,0.000391105,0.9,5.0,1,3.0,0.0,90.0
92,93,140.504,45.398,140.5,45.4,0.000390125,0.9,5.0,1,3.0,0.0,90.0
93,94,140.604,45.398,140.6,45.4,0.000389709,0.9,5.0,1,3.0,0.0,90.0
94,95,140.704,45.398,140.7,45.4,0.000389492,0.9,5.0,1,3.0,0.0,90.0
95,96,140.804,45.398,140.8,45.4,0.000389202,0.9,5.0,1,3.0,0.0,90.0
96,97,139.604,45.298,139.6,45.3,0.000394387,0.9,5.0,1,3.0,0.0,90.0
97,98,139.704,45.298,139.7,45.3,0.000394419,0.9,5.0,1,3.0,0.0,90.0
98,99,139.804,45.298,139.8,45.3,0.000395115,0.9,5.0,1,3.0,0.0,90.0
99,100,139.904,45.298,139.9,45.3,0.000395995,0.9,5.0,1,3.0,0.0,90.0
100,101,140.004,45.298,140.0,45.3,0.000396423,0.9,5.0,1,3.0,0.0,90.0
101,102,140.104,45.298,140.1,45.3,0.000395973,0.9,5.0,1,3.0,0.0,90.0
102,103,140.204,45.298,140.2,45.3,0.000394775,0.9,5.0,1,3.0,0.0,90.0
103,104,140.304,45.298,140.3,45.3,0.000393462,0.9,5.0,1,3.0,0.0,90.0
104,105,140.404,45.298,140.4,45.3,0.000392703,0.9,5.0,1,3.0,0.0,90.0
105,106,140.504,45.298,140.5,45.3,0.00039268,0.9,5.0,1,3.0,0.0,90.0
106,107,140.604,45.298,140.6,45.3,0.000392985,0.9,5.0,1,3.0,0.0,90.0
107,108,140.704,45.298,140.7,45.3,0.000392997,0.9,5.0,1,3.0,0.0,90.0
108,109,140.804,45.298,140.8,45.3,0.000392383,0.9,5.0,1,3.0,0.0,90.0
109,110,139.604,45.198,139.6,45.2,0.000396707,0.9,5.0,1,3.0,0.0,90.0
110,111,139.704,45.198,139.7,45.2,0.000396021,0.9,5.0,1,3.0,0.0,90.0
111,112,139.804,45.198,139.8,45.2,0.000395878,0.9,5.0,1,3.0,0.0,90.0
112,113,139.904,45.198,139.9,45.2,0.000395919,0.9,5.0,1,3.0,0.0,90.0
113,114,140.004,45.198,140.0,45.2,0.00039569,0.9,5.0,1,3.0,0.0,90.0
114,115,140.104,45.198,140.1,45.2,0.000395017,0.9,5.0,1,3.0,0.0,90.0
115,116,140.204,45.198,140.2,45.2,0.000394221,0.9,5.0,1,3.0,0.0,90.0
116,117,140.304,45.198,140.3,45.2,0.000393944,0.9,5.0,1,3.0,0.0,90.0
117,118,140.404,45.198,140.4,45.2,0.000394637,0.9,5.0,1,3.0,0.0,90.0
118,119,140.504,45.198,140.5,45.2,0.000396103,0.9,5.0,1,3.0,0.0,90.0
119,120,140.604,45.198,140.6,45.2,0.000397472,0.9,5.0,1,3.0,0.0,90.0
120,121,140.704,45.198,140.7,45.2,0.000397771,0.9,5.0,1,3.0,0.0,90.0
121,122,140.804,45.198,140.8,45.2,0.000396631,0.9,5.0,1,3.0,0.0,90.0
122,123,139.504,45.098,139.5,45.1,0.000399331,0.9,5.0,1,3.0,0.0,90.0
