Code,Name,ProcessType,Process,MagnitudeType,Magnitude,ShapeType,Shape
F015421,Shiozawa fault zone,PoissonProcess,P(lmbd=0.001),CharacteristicMag,CHAR(mag=6.38),MultiPlaneShape,"MULTIPOLYGON (((139.039 35.428, 138.8645782324068 35.35051037252379, 138.7913718850102 35.45991904196662, 138.9657936526034 35.53740866944283, 139.039 35.428)))"
G030115,Ayame-ike flexure zone,PoissonProcess,P(lmbd=0.0),CharacteristicMag,CHAR(mag=6.38),MultiPlaneShape,"MULTIPOLYGON (((135.79 34.774, 135.7749568536198 34.64328176381943, 135.7721033875713 34.64350332292056, 135.7871465339515 34.77422155910113, 135.79 34.774)))"
G030114,Tahara fault,PoissonProcess,P(lmbd=0.0),CharacteristicMag,CHAR(mag=6.15),MultiPlaneShape,"MULTIPOLYGON (((135.948 34.73, 135.9267221319853 34.64086773285976, 135.9248480856769 34.64116990236599, 135.9461259536916 34.73030216950622, 135.948 34.73)))"
G030117,Habikino fault zone,PoissonProcess,P(lmbd=0.0),CharacteristicMag,CHAR(mag=6.38),MultiPlaneShape,"MULTIPOLYGON (((135.603 34.549, 135.6025998090077 34.51752546965594, 135.5997415515281 34.51755012336606, 135.6001417425205 34.54902465371011, 135.603 34.549)), ((135.602 34.518, 135.5323985127052 34.42657979439044, 135.5299779887637 34.42783086549635, 135.5995794760585 34.51925107110591, 135.602 34.518)))"
G030116,Keihanna-kyuryo flexure zone,PoissonProcess,P(lmbd=0.0),CharacteristicMag,CHAR(mag=6.62),MultiPlaneShape,"MULTIPOLYGON (((135.776 34.781, 135.7196952666743 34.60346251988693, 135.7169213965894 34.60405596650674, 135.7732261299151 34.7815934466198, 135.776 34.781)), ((135.72 34.603, 135.6845709815064 34.59380533843434, 135.6837108812364 34.59605067322877, 135.71913989973 34.60524533479443, 135.72 34.603)))"
G030111,Nabari fault zone,PoissonProcess,P(lmbd=0.0),CharacteristicMag,CHAR(mag=6.77),MultiPlaneShape,"MULTIPOLYGON (((136.251 34.714, 135.999096277486 34.55396179136579, 135.9973447996608 34.55582456808099, 136.2492485221748 34.71586277671519, 136.251 34.714)))"
G030110,Ieki fault zone,PoissonProcess,P(lmbd=0.0),CharacteristicMag,CHAR(mag=6.38),MultiPlaneShape,"MULTIPOLYGON (((136.35 34.64, 136.2494462677354 34.52007718002384, 136.2470908241765 34.52141405394389, 136.3476445564411 34.64133687392005, 136.35 34.64)))"
G030113,Wazuka-dani fault,PoissonProcess,P(lmbd=0.0),CharacteristicMag,CHAR(mag=6.31),MultiPlaneShape,"MULTIPOLYGON (((135.95 34.846, 135.8498590377862 34.74943363262793, 135.847820060448 34.75085777608346, 135.9479610226618 34.84742414345552, 135.95 34.846)))"
G030112,Shigaraki fault zone,PoissonProcess,P(lmbd=0.0),CharacteristicMag,CHAR(mag=6.38),MultiPlaneShape,"MULTIPOLYGON (((136.106 34.954, 136.0545521015499 34.85466041163246, 136.0519079822765 34.85558030950926, 136.1033558807266 34.9549198978768, 136.106 34.954)), ((136.055 34.855, 136.0119081100575 34.83531826380981, 136.0105128112071 34.83737538481751, 136.0536047011497 34.8570571210077, 136.055 34.855)))"
F008001,Uemachi fault zone,BrownianPTProcess,"BPT(mu=8000.0,t0=28000.0,alph=0.24)",GutenbergRichter,"GR(min=6.38,b_val=0.9,max=6.85)",MultiPlaneShape,"MULTIPOLYGON (((135.421 34.414, 135.4925222622776 34.82345848876089, 135.5515674439625 34.8164391802625, 135.4800451816849 34.40698069150162, 135.421 34.414)))"
G030119,Chuo-kozosen Gojo,PoissonProcess,P(lmbd=0.0),CharacteristicMag,CHAR(mag=6.85),MultiPlaneShape,"MULTIPOLYGON (((135.993 34.421, 135.607042108437 34.33747513918065, 135.60631787536 34.33975237661377, 135.992275766923 34.42327723743311, 135.993 34.421)))"
G030118,Izumi-hokuroku fault zone,PoissonProcess,P(lmbd=0.0),CharacteristicMag,CHAR(mag=6.38),MultiPlaneShape,"MULTIPOLYGON (((135.522 34.421, 135.3528343516814 34.3791344170814, 135.3520142158081 34.38138941755389, 135.5211798641267 34.42325500047249, 135.522 34.421)))"
F012101,Fukuchiyama fault zone,BrownianPTProcess,"BPT(mu=9400.0,t0=28000.0,alph=0.24)",GutenbergRichter,"GR(min=6.38,b_val=0.9,max=6.7)",MultiPlaneShape,"MULTIPOLYGON (((130.726 33.936, 130.8157763455133 33.65802305110507, 130.7832573614928 33.65079387616382, 130.6934810159796 33.92877082505875, 130.726 33.936)))"
F013401,Izumi fault zone,BrownianPTProcess,"BPT(mu=8000.0,t0=7300.0,alph=0.24)",GutenbergRichter,"GR(min=6.38,b_val=0.9,max=6.46)",MultiPlaneShape,"MULTIPOLYGON (((130.42 32.159, 130.2474168299409 32.02558876466314, 130.1562443579497 32.11011602058125, 130.3288275280088 32.2435272559181, 130.42 32.159)))"
F015721,Minobu fault,PoissonProcess,P(lmbd=0.0),GutenbergRichter,"GR(min=6.38,b_val=0.9,max=6.54)",MultiPlaneShape,"MULTIPOLYGON (((138.403 35.377, 138.5235934293026 35.2053119513614, 138.4646692047036 35.17779674010886, 138.344075775401 35.34948478874746, 138.403 35.377)))"
F002001,Nagamachi-Rifu-sen fault zone,PoissonProcess,P(lmbd=0.0),GutenbergRichter,"GR(min=6.38,b_val=0.9,max=6.85)",MultiPlaneShape,"MULTIPOLYGON (((141.027 38.404, 140.647699748939 38.17093624846076, 140.5500588311774 38.26852064317628, 140.9293590822383 38.50158439471552, 141.027 38.404)))"
G030061,Kirigamine fault zone,PoissonProcess,P(lmbd=0.001),CharacteristicMag,CHAR(mag=6.54),MultiPlaneShape,"MULTIPOLYGON (((138.173 36.157, 138.3533167745725 36.07463043068321, 138.3518809155173 36.07258135320158, 138.1715641409449 36.15495092251837, 138.173 36.157)), ((138.353 36.074, 138.3533961349465 36.0587148857129, 138.3504839517476 36.05866558099623, 138.350087816801 36.07395069528332, 138.353 36.074)))"
F01462A,Nagano-bonchi-seien fault zone (All segment),MultiSegmentProcess,"MULTI(F014621,F014622)",CharacteristicMag,CHAR(mag=7.3),MultiPlaneShape,"MULTIPOLYGON (((138.043 36.553, 138.4281223583999 37.01688047664236, 138.5654545076472 36.94330666088486, 138.1803321492474 36.47942618424251, 138.043 36.553)), ((137.97 36.428, 138.0653820393698 36.57052981535593, 138.1767238089803 36.52229294015108, 138.0813417696105 36.37976312479516, 137.97 36.428)))"
G030062,Kamogawa-techi fault zone kita fault,PoissonProcess,P(lmbd=0.0),CharacteristicMag,CHAR(mag=6.38),MultiPlaneShape,"MULTIPOLYGON (((139.977 35.14, 139.8993886943914 35.13299326298189, 139.8990727676888 35.13533334419344, 139.9766840732974 35.14234008121155, 139.977 35.14)), ((139.9 35.133, 139.8167740626333 35.1499701158373, 139.8174704994605 35.15225448202517, 139.9006964368273 35.13528436618788, 139.9 35.133)))"
G030065,Ogiyama fault,PoissonProcess,P(lmbd=0.0),CharacteristicMag,CHAR(mag=6.54),MultiPlaneShape,"MULTIPOLYGON (((139.096 35.645, 139.0038089617864 35.61949579577409, 139.0028753257865 35.62172449111204, 139.0950663640001 35.64722869533795, 139.096 35.645)), ((139.004 35.62, 138.9498179600775 35.63279603920553, 138.9506259725019 35.63505685759995, 139.0048080124244 35.62226081839442, 139.004 35.62)), ((138.95 35.633, 138.8837418570075 35.59869243458871, 138.8821854799483 35.60067803016517, 138.9484436229407 35.63498559557647, 138.95 35.633)))"
G030064,Tsurukawa fault,PoissonProcess,P(lmbd=0.0),CharacteristicMag,CHAR(mag=6.7),MultiPlaneShape,"MULTIPOLYGON (((138.833 35.806, 139.0989035794428 35.66914590569363, 139.097348094917 35.66715810536405, 138.8314445154742 35.8040121996704, 138.833 35.806)))"
G030067,Hadano fault zone,PoissonProcess,P(lmbd=0.001),CharacteristicMag,CHAR(mag=6.31),MultiPlaneShape,"MULTIPOLYGON (((139.096 35.371, 139.2422530116189 35.36182365441592, 139.2420610400989 35.35978927555393, 139.0958080284801 35.36896562113801, 139.096 35.371)))"
G030069,Tanna fault zone nantan group,PoissonProcess,P(lmbd=0.0),CharacteristicMag,CHAR(mag=6.31),MultiPlaneShape,"MULTIPOLYGON (((138.934 34.967, 139.0706780201062 34.89509423069608, 139.0692294229533 34.89324514062665, 138.932551402847 34.96515090993056, 138.934 34.967)))"
F005901,Nagaragawa-joryu fault zone,PoissonProcess,P(lmbd=0.0),GutenbergRichter,"GR(min=6.38,b_val=0.9,max=6.77)",MultiPlaneShape,"MULTIPOLYGON (((136.974 35.705, 136.8098079966887 35.96003424833445, 136.812548638258 35.96119770151702, 136.9767406415693 35.70616345318258, 136.974 35.705)))"
F019701,Takibe fault,PoissonProcess,P(lmbd=0.0),CharacteristicMag,CHAR(mag=6.38),MultiPlaneShape,"MULTIPOLYGON (((130.867 34.33, 131.0325394932595 34.26154449827022, 131.0310927585191 34.25915871106115, 130.8655532652596 34.32761421279093, 130.867 34.33)))"
G030090,Bijo-zan fault zone,PoissonProcess,P(lmbd=0.0),CharacteristicMag,CHAR(mag=6.46),MultiPlaneShape,"MULTIPOLYGON (((136.951 37.013, 136.7962974313329 36.9229209075696, 136.7945602333731 36.92482315728681, 136.9492628020402 37.01490224971721, 136.951 37.013)))"
G030150,Gyodo-zaki fault,PoissonProcess,P(lmbd=0.0),CharacteristicMag,CHAR(mag=6.46),MultiPlaneShape,"MULTIPOLYGON (((134.225 33.425, 134.1181928209105 33.29529796469953, 134.1158680794453 33.29663145429574, 134.2226752585347 33.4263334895962, 134.225 33.425)))"
F005701,Morimoto-Togashi fault zone,BrownianPTProcess,"BPT(mu=1700.0,t0=2017.0,alph=0.24)",GutenbergRichter,"GR(min=6.38,b_val=0.9,max=6.7)",MultiPlaneShape,"MULTIPOLYGON (((136.65 36.453, 136.776065618666 36.66369308880668, 136.9055848534593 36.61355578581769, 136.7795192347933 36.402862697011, 136.65 36.453)))"
F001502,Yokote-bonchi-toen fault zone (Southern segment),PoissonProcess,P(lmbd=0.0),GutenbergRichter,"GR(min=6.38,b_val=0.9,max=6.77)",MultiPlaneShape,"MULTIPOLYGON (((140.619 39.105, 140.6008835612404 39.39243934061932, 140.7482162247034 39.39803092722706, 140.766332663463 39.11059158660773, 140.619 39.105)))"
F001501,Yokote-bonchi-toen fault zone (Northern segment),BrownianPTProcess,"BPT(mu=3400.0,t0=121.0,alph=0.24)",GutenbergRichter,"GR(min=6.38,b_val=0.9,max=6.7)",MultiPlaneShape,"MULTIPOLYGON (((140.638 39.367, 140.7084980171557 39.61284114603303, 140.8937708960184 39.58108703240407, 140.8232728788628 39.33524588637103, 140.638 39.367)))"
F009801,Osaka-wan fault zone,BrownianPTProcess,"BPT(mu=3000.0,t0=1217.0,alph=0.24)",GutenbergRichter,"GR(min=6.38,b_val=0.9,max=6.85)",MultiPlaneShape,"MULTIPOLYGON (((135.219 34.69, 135.0110595196838 34.33314351059678, 134.9705762809606 34.34909193927357, 135.1785167612769 34.70594842867678, 135.219 34.69)))"
G030153,Tosashimizu-kita fault zone,PoissonProcess,P(lmbd=0.0),CharacteristicMag,CHAR(mag=6.15),MultiPlaneShape,"MULTIPOLYGON (((132.905 32.831, 132.8678600494124 32.79497296614625, 132.8664481980823 32.79600060321, 132.9035881486699 32.83202763706375, 132.905 32.831)), ((132.868 32.795, 132.8219727153047 32.78670536188468, 132.8215813294289 32.78824002456852, 132.8676086141242 32.79653466268385, 132.868 32.795)))"
F019201,Yasaka fault,BrownianPTProcess,"BPT(mu=4000.0,t0=11000.0,alph=0.24)",GutenbergRichter,"GR(min=6.38,b_val=0.9,max=6.85)",MultiPlaneShape,"MULTIPOLYGON (((132.21 34.787, 131.7600642553584 34.44481970286945, 131.7577270006593 34.44689260618927, 132.2076627453008 34.78907290331982, 132.21 34.787)))"
F010101,Hanawa-higashi fault zone,PoissonProcess,P(lmbd=0.0),GutenbergRichter,"GR(min=6.38,b_val=0.9,max=6.46)",MultiPlaneShape,"MULTIPOLYGON (((140.804 40.075, 140.864836921012 40.24873559305934, 141.0253830268008 40.21581813766549, 140.9645461057888 40.04208254460615, 140.804 40.075)))"
F014621,Nagano-bonchi-seien fault zone (Iyama-Chikuma segment),BrownianPTProcess,"BPT(mu=800.0,t0=170.0,alph=0.24)",GutenbergRichter,"GR(min=6.38,b_val=0.9,max=6.85)",MultiPlaneShape,"MULTIPOLYGON (((138.043 36.553, 138.4281223583999 37.01688047664236, 138.5654545076472 36.94330666088486, 138.1803321492474 36.47942618424251, 138.043 36.553)))"
F014622,Nagano-bonchi-seien fault zone (Omi segment),PoissonProcess,P(lmbd=0.0),CharacteristicMag,CHAR(mag=6.38),MultiPlaneShape,"MULTIPOLYGON (((137.97 36.428, 138.0653820393698 36.57052981535593, 138.1767238089803 36.52229294015108, 138.0813417696105 36.37976312479516, 137.97 36.428)))"
F006502,Biwako-seigan fault zone (Southern part),BrownianPTProcess,"BPT(mu=4500.0,t0=832.0,alph=0.24)",GutenbergRichter,"GR(min=6.38,b_val=0.9,max=6.85)",MultiPlaneShape,"MULTIPOLYGON (((136.007 35.303, 135.8562416885947 34.96496564928193, 135.7035580751844 35.01031841082292, 135.8543163865897 35.34835276154099, 136.007 35.303)))"
F001601,Kitayuri fault,BrownianPTProcess,"BPT(mu=3400.0,t0=2800.0,alph=0.24)",GutenbergRichter,"GR(min=6.38,b_val=0.9,max=6.77)",MultiPlaneShape,"MULTIPOLYGON (((140.052 39.391, 140.052 39.67878291389399, 140.2001115565947 39.67878291389399, 140.2001115565947 39.391, 140.052 39.391)))"
F000602,Ishikari-teichi-toen fault zone (Southern part),PoissonProcess,P(lmbd=0.0),GutenbergRichter,"GR(min=6.38,b_val=0.9,max=6.85)",MultiPlaneShape,"MULTIPOLYGON (((142.028 42.411, 141.8228841222142 42.89131102545373, 142.0039731291597 42.93346708101581, 142.2090890069456 42.45315605556207, 142.028 42.411)))"
F000601,Ishikari-teichi-toen fault zone (Main part),BrownianPTProcess,"BPT(mu=1000.0,t0=278.0,alph=0.24)",GutenbergRichter,"GR(min=6.38,b_val=0.9,max=6.85)",MultiPlaneShape,"MULTIPOLYGON (((141.915 42.969, 142.0276900343781 43.29971839818207, 142.2135896021169 43.26580327951992, 142.1008995677388 42.93508488133787, 141.915 42.969)), ((141.915 42.969, 141.9891913569857 42.77967813275023, 142.1733600891769 42.81831983406081, 142.0991687321912 43.00764170131058, 141.915 42.969)))"
F016222,Itoigawa-Shizuoka-kozosen fault zone (Central northern segment),BrownianPTProcess,"BPT(mu=600.0,t0=1217.0,alph=0.24)",GutenbergRichter,"GR(min=6.38,b_val=0.9,max=6.85)",MultiPlaneShape,"MULTIPOLYGON (((138.162 35.983, 138.0906437386636 36.02283258359954, 138.1122284490136 36.04815111451082, 138.18358471035 36.00831853091128, 138.162 35.983)), ((138.091 36.023, 138.059634669739 36.068576529852, 138.092865096992 36.08353553036903, 138.124230427253 36.03795900051704, 138.091 36.023)), ((138.059 36.069, 137.9250635911668 36.35400032677863, 137.9606367213532 36.36492292350528, 138.0945731301864 36.07992259672665, 138.059 36.069)))"
F005001,Shokawa fault zone,BrownianPTProcess,"BPT(mu=3600.0,t0=1017.0,alph=0.24)",GutenbergRichter,"GR(min=6.38,b_val=0.9,max=6.85)",MultiPlaneShape,"MULTIPOLYGON (((137.06 35.912, 136.7904988784335 36.52161305764559, 136.7930531409362 36.52235377245065, 137.0625542625027 35.91274071480506, 137.06 35.912)))"
G030045,Hanezu fault zone,PoissonProcess,P(lmbd=0.0),CharacteristicMag,CHAR(mag=6.31),MultiPlaneShape,"MULTIPOLYGON (((139.44 38.002, 139.4000830986435 37.94131920159806, 139.3976073711586 37.94233041960057, 139.4375242725151 38.0030112180025, 139.44 38.002)), ((139.4 37.941, 139.4 37.88434273882712, 139.3972137550696 37.88434273882712, 139.3972137550696 37.941, 139.4 37.941)))"
F013001,Futagawa fault zone (Futagawa segment),BrownianPTProcess,"BPT(mu=8100.0,t0=1.0,alph=0.24)",GutenbergRichter,"GR(min=6.38,b_val=0.9,max=6.46)",MultiPlaneShape,"MULTIPOLYGON (((131.027 32.888, 130.8211868105968 32.75870843249594, 130.8196193291707 32.76046791610337, 131.0254325185739 32.88975948360743, 131.027 32.888)))"
