Code,Name,ProcessType,Process,MagnitudeType,Magnitude,ShapeType,Shape
F01300A,Futagawa fault zone (All segment),MultiSegmentProcess,"MULTI(F013001,F013002,F013003)",CharacteristicMag,CHAR(mag=7.2),MultiPlaneShape,"MULTIPOLYGON (((131.027 32.888, 130.8211868105968 32.75870843249594, 130.8196193291707 32.76046791610337, 131.0254325185739 32.88975948360743, 131.027 32.888)), ((130.831 32.78, 130.6209515336494 32.69079353892759, 130.5823685826624 32.75501127586124, 130.792417049013 32.84421773693365, 130.831 32.78)), ((130.637 32.748, 130.3529954834522 32.5874904873277, 130.3052847046851 32.64720632582084, 130.5892892212329 32.80771583849314, 130.637 32.748)))"
F01300C,Futagawa fault zone (Futagawa segment/Uto segment),MultiSegmentProcess,"MULTI(F013001,F013002)",CharacteristicMag,CHAR(mag=6.9),MultiPlaneShape,"MULTIPOLYGON (((131.027 32.888, 130.8211868105968 32.75870843249594, 130.8196193291707 32.76046791610337, 131.0254325185739 32.88975948360743, 131.027 32.888)), ((130.831 32.78, 130.6209515336494 32.69079353892759, 130.5823685826624 32.75501127586124, 130.792417049013 32.84421773693365, 130.831 32.78)))"
F01300B,Futagawa/Hinagu fault zone (Futagawa segment/all segment of Hinagu fault zone),MultiSegmentProcess,"MULTI(F013001,F013101,F013102,F013103)",CharacteristicMag,CHAR(mag=7.4),MultiPlaneShape,"MULTIPOLYGON (((131.027 32.888, 130.8211868105968 32.75870843249594, 130.8196193291707 32.76046791610337, 131.0254325185739 32.88975948360743, 131.027 32.888)), ((130.819 32.763, 130.7357696242403 32.59731161234355, 130.7333625233107 32.59816665216885, 130.8165928990704 32.7638550398253, 130.819 32.763)), ((130.751 32.653, 130.457787890903 32.34375117162181, 130.3910059881626 32.38863664368682, 130.6842180972596 32.69788547206501, 130.751 32.653)), ((130.469 32.363, 130.2029621756758 32.15563956125248, 130.2011979956084 32.15725442265286, 130.4672358199327 32.36461486140039, 130.469 32.363)))"
F001101,Oritsume fault,PoissonProcess,P(lmbd=0.0),GutenbergRichter,"GR(min=6.38,b_val=0.9,max=6.85)",MultiPlaneShape,"MULTIPOLYGON (((141.242 40.499, 141.4145946829372 40.08776045445541, 141.2711906132961 40.05295932440112, 141.0985959303589 40.4641988699457, 141.242 40.499)))"
F002301,Futaba fault,BrownianPTProcess,"BPT(mu=8000.0,t0=2400.0,alph=0.24)",GutenbergRichter,"GR(min=6.38,b_val=0.9,max=6.85)",MultiPlaneShape,"MULTIPOLYGON (((140.901 37.658, 140.8469892671812 38.03328706747394, 140.8505349438333 38.03360688451968, 140.9045456766521 37.65831981704574, 140.901 37.658)))"
G030025,Asahiyama flexure zone,PoissonProcess,P(lmbd=0.0),CharacteristicMag,CHAR(mag=6.62),MultiPlaneShape,"MULTIPOLYGON (((141.096 38.602, 141.1898802049049 38.56573982196698, 141.1885454270088 38.56362922492528, 141.0946652221038 38.59988940295829, 141.096 38.602)), ((141.19 38.565, 141.185393601621 38.44364501988704, 141.1823839200733 38.44371486309368, 141.1869903184523 38.56506984320664, 141.19 38.565)))"
F007001,Tongu fault,BrownianPTProcess,"BPT(mu=10000.0,t0=10000.0,alph=0.24)",GutenbergRichter,"GR(min=6.38,b_val=0.9,max=6.77)",MultiPlaneShape,"MULTIPOLYGON (((136.222 34.696, 136.203681156627 34.98338851741227, 136.286775809563 34.98696895374498, 136.305094652936 34.6995804363327, 136.222 34.696)))"
G030027,Sakunami-Yashikidaira fault zone,PoissonProcess,P(lmbd=0.0),CharacteristicMag,CHAR(mag=6.15),MultiPlaneShape,"MULTIPOLYGON (((140.626 38.29, 140.601254950269 38.20311136007062, 140.5993034012244 38.20345374300348, 140.6240484509553 38.29034238293286, 140.626 38.29)))"
G030026,Medeshima-suite fault,PoissonProcess,P(lmbd=0.0),CharacteristicMag,CHAR(mag=6.23),MultiPlaneShape,"MULTIPOLYGON (((140.848 38.196, 140.8460048534261 38.09618761686831, 140.8438082875466 38.09621473532987, 140.8458034341206 38.19602711846155, 140.848 38.196)))"
G030021,Yokote-bonchi-senan fault zone,PoissonProcess,P(lmbd=0.0),CharacteristicMag,CHAR(mag=6.54),MultiPlaneShape,"MULTIPOLYGON (((140.37 39.36, 140.3616377147654 39.17485260471997, 140.3585945845988 39.17493476856764, 140.3669568698334 39.36008216384767, 140.37 39.36)))"
G030020,Kitaguchi fault zone,PoissonProcess,P(lmbd=0.0),CharacteristicMag,CHAR(mag=6.38),MultiPlaneShape,"MULTIPOLYGON (((140.235 39.991, 140.1762184493073 39.85718126846097, 140.1733060232307 39.85793219402081, 140.2320875739234 39.99175092555984, 140.235 39.991)))"
G030023,Kamagadai fault zone,PoissonProcess,P(lmbd=0.0),CharacteristicMag,CHAR(mag=6.23),MultiPlaneShape,"MULTIPOLYGON (((140.02 39.283, 140.0337934606243 39.23562475819471, 140.0316174993407 39.23524519682706, 140.0178240387165 39.28262043863236, 140.02 39.283)), ((140.034 39.236, 140.0287673693867 39.18670363556225, 140.0265458274726 39.18684510124044, 140.0317784580859 39.2361414656782, 140.034 39.236)))"
G030022,Toridame fault zone,PoissonProcess,P(lmbd=0.0),CharacteristicMag,CHAR(mag=6.62),MultiPlaneShape,"MULTIPOLYGON (((140.211 39.548, 140.1547157332826 39.3365712352189, 140.1517248754824 39.33704463275303, 140.2080091421999 39.54847339753413, 140.211 39.548)))"
F019801,Nago fault,PoissonProcess,P(lmbd=0.0),CharacteristicMag,CHAR(mag=6.38),MultiPlaneShape,"MULTIPOLYGON (((131.601 34.574, 131.4500259126925 34.48500232005812, 131.4481395373965 34.48717183994123, 131.599113624704 34.57616951988311, 131.601 34.574)))"
F004801,Kokufu fault zone,BrownianPTProcess,"BPT(mu=3600.0,t0=4700.0,alph=0.24)",GutenbergRichter,"GR(min=6.38,b_val=0.9,max=6.62)",MultiPlaneShape,"MULTIPOLYGON (((136.996 36.047, 137.2345779740328 36.20886037991423, 137.2363248786764 36.20717711547732, 136.9977469046436 36.0453167355631, 136.996 36.047)))"
G030028,Togatta fault zone,PoissonProcess,P(lmbd=0.0),CharacteristicMag,CHAR(mag=6.23),MultiPlaneShape,"MULTIPOLYGON (((140.572 38.151, 140.5652969495578 38.05671846809683, 140.5631048919927 38.05681484313701, 140.5698079424349 38.15109637504019, 140.572 38.151)))"
F004803,Inohana fault zone,PoissonProcess,P(lmbd=0.0),GutenbergRichter,"GR(min=6.38,b_val=0.9,max=6.46)",MultiPlaneShape,"MULTIPOLYGON (((137.281 35.932, 137.5118485435371 36.03991859271025, 137.513205414735 36.03801563554277, 137.282356871198 35.93009704283252, 137.281 35.932)))"
F004802,Takayama fault zone,PoissonProcess,P(lmbd=0.0),GutenbergRichter,"GR(min=6.38,b_val=0.9,max=6.85)",MultiPlaneShape,"MULTIPOLYGON (((136.976 35.888, 137.3841679992132 36.16547493699582, 137.3859113894096 36.16379167255892, 136.9777433901965 35.8863167355631, 136.976 35.888)))"
G030148,Tsunatsukimori fault,PoissonProcess,P(lmbd=0.0),CharacteristicMag,CHAR(mag=6.23),MultiPlaneShape,"MULTIPOLYGON (((133.966 33.816, 133.8598423999348 33.77982716898708, 133.8590538764165 33.78142453050217, 133.9652114764817 33.81759736151509, 133.966 33.816)))"
G030146,Ebata fault zone,PoissonProcess,P(lmbd=0.0),CharacteristicMag,CHAR(mag=6.62),MultiPlaneShape,"MULTIPOLYGON (((133.934 34.149, 133.727135626343 34.05720537564812, 133.7257913098462 34.05928022742025, 133.9326556835033 34.15107485177213, 133.934 34.149)))"
G030147,Takanawa-san-kita fault,PoissonProcess,P(lmbd=0.0),CharacteristicMag,CHAR(mag=6.38),MultiPlaneShape,"MULTIPOLYGON (((132.949 33.984, 132.7977529089388 33.94827527054595, 132.7969750635989 33.9505394970797, 132.9482221546601 33.98626422653375, 132.949 33.984)))"
G030144,Tokushima-heiya-nanen fault zone,PoissonProcess,P(lmbd=0.0),CharacteristicMag,CHAR(mag=6.31),MultiPlaneShape,"MULTIPOLYGON (((134.466 34.052, 134.328155776965 34.05319602271695, 134.3281815655797 34.0552363032449, 134.4660257886147 34.05404028052795, 134.466 34.052)))"
G030145,Akui-gawa fault zone,PoissonProcess,P(lmbd=0.0),CharacteristicMag,CHAR(mag=6.7),MultiPlaneShape,"MULTIPOLYGON (((134.46 33.991, 134.1699842343099 33.90490339804065, 134.1690270496021 33.90711990113471, 134.4590428152923 33.99321650309406, 134.46 33.991)))"
F010501,Uozu fault zone,PoissonProcess,P(lmbd=0.0),GutenbergRichter,"GR(min=6.38,b_val=0.9,max=6.77)",MultiPlaneShape,"MULTIPOLYGON (((137.491 36.877, 137.3769679562834 36.68138507812134, 137.5111032570074 36.63135130491232, 137.6251353007239 36.82696622679099, 137.491 36.877)), ((137.491 36.877, 137.5733493847097 36.90361445245111, 137.628791883141 36.79384516204852, 137.5464424984313 36.76723070959741, 137.491 36.877)))"
G030143,Shibuki fault,PoissonProcess,P(lmbd=0.0),CharacteristicMag,CHAR(mag=6.38),MultiPlaneShape,"MULTIPOLYGON (((131.237 34.355, 131.1466217967366 34.23513072270478, 131.1442007146177 34.23637482450955, 131.2345789178812 34.35624410180476, 131.237 34.355)))"
F01860A,Iwakuni-Itsukaichi fault zone (Itsukaichi fault segment/Iwakuni fault segment),MultiSegmentProcess,"MULTI(F018501,F018601)",CharacteristicMag,CHAR(mag=7.2),MultiPlaneShape,"MULTIPOLYGON (((132.409 34.506, 132.2712248236421 34.28123792073222, 132.2112555879403 34.30620098067895, 132.3490307642982 34.53096305994674, 132.409 34.506)), ((132.277 34.282, 131.8423570637655 34.04248788086675, 131.8051789434144 34.08854943583336, 132.2398218796488 34.3280615549666, 132.277 34.282)))"
F011002,Miyako-jima fault zone (Western part),PoissonProcess,P(lmbd=0.0),CharacteristicMag,CHAR(mag=6.38),MultiPlaneShape,"MULTIPOLYGON (((125.34 24.697, 125.2186607501563 24.83912069493089, 125.2890540783954 24.8887287449502, 125.4103933282391 24.74660805001931, 125.34 24.697)))"
F011001,Miyako-jima fault zone (Central part),PoissonProcess,P(lmbd=0.0),GutenbergRichter,"GR(min=6.38,b_val=0.9,max=6.7)",MultiPlaneShape,"MULTIPOLYGON (((125.41 24.718, 125.2469346901674 24.94349788553932, 125.32140765297 24.98793521295245, 125.4844729628026 24.76243732741313, 125.41 24.718)))"
F017301,Shikano-Yoshioka dault,BrownianPTProcess,"BPT(mu=4600.0,t0=74.0,alph=0.24)",GutenbergRichter,"GR(min=6.38,b_val=0.9,max=6.7)",MultiPlaneShape,"MULTIPOLYGON (((134.318 35.517, 134.0034761964802 35.43183900035582, 134.0026240571324 35.43392400894739, 134.3171478606522 35.51908500859157, 134.318 35.517)))"
F002601,Tsukioka fault zone,BrownianPTProcess,"BPT(mu=7500.0,t0=6500.0,alph=0.24)",GutenbergRichter,"GR(min=6.38,b_val=0.9,max=6.77)",MultiPlaneShape,"MULTIPOLYGON (((139.3 37.936, 139.1734082798714 37.66609158948845, 139.0629949238677 37.69830433670808, 139.1895866439964 37.96821274721962, 139.3 37.936)))"
G030091,Tanigumi-Kochibora fault,PoissonProcess,P(lmbd=0.001),CharacteristicMag,CHAR(mag=6.38),MultiPlaneShape,"MULTIPOLYGON (((136.702 35.517, 136.659060044036 35.51406512159463, 136.6588180080997 35.51641116366457, 136.7017579640637 35.51934604206994, 136.702 35.517)), ((136.66 35.514, 136.5446874718103 35.53897446825922, 136.5454311937822 35.54124960642648, 136.6607437219719 35.51627513816725, 136.66 35.514)))"
G030092,Ikedayama fault,PoissonProcess,P(lmbd=0.0),CharacteristicMag,CHAR(mag=6.38),MultiPlaneShape,"MULTIPOLYGON (((136.537 35.497, 136.5810082332674 35.36042808816157, 136.5782111337366 35.35983066610476, 136.5342029004691 35.49640257794318, 136.537 35.497)))"
G030093,Tsushima fault zone,PoissonProcess,P(lmbd=0.0),CharacteristicMag,CHAR(mag=6.77),MultiPlaneShape,"MULTIPOLYGON (((136.623 35.303, 136.7655080095883 35.0535909746047, 136.7628934901358 35.05259600488427, 136.6203854805475 35.30200503027957, 136.623 35.303)))"
G030094,Suzukaoki fault,PoissonProcess,P(lmbd=0.0),CharacteristicMag,CHAR(mag=6.31),MultiPlaneShape,"MULTIPOLYGON (((136.726 34.93, 136.6326128066887 34.83810578169221, 136.6307007469167 34.83941185666074, 136.7240879402281 34.93130607496853, 136.726 34.93)))"
G030095,Yoro-sanchi-seien fault zone,PoissonProcess,P(lmbd=0.0),CharacteristicMag,CHAR(mag=6.54),MultiPlaneShape,"MULTIPOLYGON (((136.487 35.248, 136.6268241597103 35.11847851038256, 136.6246617059663 35.11692158456719, 136.4848375462561 35.24644307418463, 136.487 35.248)))"
G030096,Hokyoji fault,PoissonProcess,P(lmbd=0.0),CharacteristicMag,CHAR(mag=6.46),MultiPlaneShape,"MULTIPOLYGON (((136.61 35.94, 136.4283797436722 35.88648001780792, 136.4273851917029 35.88869233513735, 136.6090054480307 35.94221231732944, 136.61 35.94)))"
G030097,Kanekusa-dake fault zone,PoissonProcess,P(lmbd=0.0),CharacteristicMag,CHAR(mag=6.15),MultiPlaneShape,"MULTIPOLYGON (((136.36 35.818, 136.2866556546823 35.75054089082425, 136.2852037396076 35.75157884136783, 136.3585480849253 35.81903795054358, 136.36 35.818)))"
G030098,Okukawanami fault,PoissonProcess,P(lmbd=0.0),CharacteristicMag,CHAR(mag=6.31),MultiPlaneShape,"MULTIPOLYGON (((136.17 35.662, 136.3007024349231 35.60695560793713, 136.2995467100699 35.60514411616918, 136.1688442751468 35.66018850823205, 136.17 35.662)))"
G030099,Sarake fault,PoissonProcess,P(lmbd=0.0),CharacteristicMag,CHAR(mag=6.23),MultiPlaneShape,"MULTIPOLYGON (((136.176 36.072, 136.0494421027037 36.02538217588135, 136.0484757851871 36.02709603255673, 136.1750336824833 36.07371385667538, 136.176 36.072)))"
F015021,Tachikawa fault zone,BrownianPTProcess,"BPT(mu=10000.0,t0=20000.0,alph=0.24)",GutenbergRichter,"GR(min=6.38,b_val=0.9,max=6.77)",MultiPlaneShape,"MULTIPOLYGON (((139.453 35.669, 139.1868592546086 35.88521157804432, 139.2113259427828 35.90508820855379, 139.4774666881742 35.68887663050947, 139.453 35.669)))"
G030060,Noto fault zone,PoissonProcess,P(lmbd=0.0),CharacteristicMag,CHAR(mag=6.46),MultiPlaneShape,"MULTIPOLYGON (((137.135 37.315, 136.9959262254759 37.19680287198546, 136.9937647816434 37.19841150269813, 137.1328385561675 37.31660863071267, 137.135 37.315)))"
F007701,Ikoma fault zone,BrownianPTProcess,"BPT(mu=3000.0,t0=1617.0,alph=0.24)",GutenbergRichter,"GR(min=6.38,b_val=0.9,max=6.85)",MultiPlaneShape,"MULTIPOLYGON (((135.646 34.52, 135.7173087015084 34.87489826429244, 135.8760877491131 34.85324081643872, 135.8047790476047 34.49834255214628, 135.646 34.52)))"
F018601,Iwakuni-Itsukaichi fault zone (Iwakuni fault segment),BrownianPTProcess,"BPT(mu=9000.0,t0=11000.0,alph=0.24)",GutenbergRichter,"GR(min=6.38,b_val=0.9,max=6.85)",MultiPlaneShape,"MULTIPOLYGON (((132.277 34.282, 131.8423570637655 34.04248788086675, 131.8051789434144 34.08854943583336, 132.2398218796488 34.3280615549666, 132.277 34.282)))"
F015621,Sone-kyuryo fault zone,PoissonProcess,P(lmbd=0.0),GutenbergRichter,"GR(min=6.38,b_val=0.9,max=6.77)",MultiPlaneShape,"MULTIPOLYGON (((138.504 35.52, 138.8020468936074 35.70614058402556, 138.9012266827098 35.60093986540673, 138.6031797891024 35.41479928138118, 138.504 35.52)))"
F013501,Koshiki fault zone (Kamikoshiki-jima northeastern segment),PoissonProcess,P(lmbd=0.0),GutenbergRichter,"GR(min=6.38,b_val=0.9,max=6.46)",MultiPlaneShape,"MULTIPOLYGON (((130.045 32.08, 129.9236891036862 31.91094467679257, 129.8955218684536 31.92545556621964, 130.0168327647674 32.09451088942706, 130.045 32.08)))"
F000501,Tobetsu fault,BrownianPTProcess,"BPT(mu=7500.0,t0=11000.0,alph=0.24)",GutenbergRichter,"GR(min=6.38,b_val=0.9,max=6.46)",MultiPlaneShape,"MULTIPOLYGON (((141.539 43.456, 141.539 43.25814924669788, 141.3681694064762 43.25814924669788, 141.3681694064762 43.456, 141.539 43.456)))"
F012201,Nishiyama fault zone (Oshima-Oki segment),BrownianPTProcess,"BPT(mu=8000.0,t0=20000.0,alph=0.24)",GutenbergRichter,"GR(min=6.38,b_val=0.9,max=6.85)",MultiPlaneShape,"MULTIPOLYGON (((130.122 34.212, 130.4032043584611 33.91435645950578, 130.4008113831178 33.91281037827788, 130.1196070246567 34.2104539187721, 130.122 34.212)))"
F012202,Nishiyama fault zone (Nishiyama segment),BrownianPTProcess,"BPT(mu=8000.0,t0=13000.0,alph=0.24)",GutenbergRichter,"GR(min=6.38,b_val=0.9,max=6.85)",MultiPlaneShape,"MULTIPOLYGON (((130.387 33.932, 130.6869058045031 33.57925949012526, 130.6844325449896 33.57781192320918, 130.3845267404865 33.93055243308393, 130.387 33.932)))"
F012203,Nishiyama fault zone (Kama-toge segment),PoissonProcess,P(lmbd=0.0),GutenbergRichter,"GR(min=6.38,b_val=0.9,max=6.77)",MultiPlaneShape,"MULTIPOLYGON (((130.658 33.583, 130.9106494236809 33.36120275296144, 130.8782225103029 33.33556715546084, 130.625573086622 33.5573644024994, 130.658 33.583)))"
F01830B,Kikugawa fault zone (All segment),MultiSegmentProcess,"MULTI(F018101,F018201,F018301)",CharacteristicMag,CHAR(mag=7.4),MultiPlaneShape,"MULTIPOLYGON (((130.239 34.653, 130.733040591789 34.35555911501755, 130.7310122185868 34.35327932406051, 130.2369716267978 34.65072020904296, 130.239 34.653)), ((130.729 34.359, 131.0795666535717 34.08913222142165, 131.0772326494613 34.0870660311391, 130.7266659958897 34.35693380971745, 130.729 34.359)), ((131.078 34.087, 131.1892050199474 33.93250376121451, 131.1862748771253 33.9310571588533, 131.0750698571779 34.08555339763879, 131.078 34.087)))"
F01830A,Kikugawa fault zone (Central segment/Southern segment),MultiSegmentProcess,"MULTI(F018201,F018301)",CharacteristicMag,CHAR(mag=7.2),MultiPlaneShape,"MULTIPOLYGON (((130.729 34.359, 131.0795666535717 34.08913222142165, 131.0772326494613 34.0870660311391, 130.7266659958897 34.35693380971745, 130.729 34.359)), ((131.078 34.087, 131.1892050199474 33.93250376121451, 131.1862748771253 33.9310571588533, 131.0750698571779 34.08555339763879, 131.078 34.087)))"
F018301,Kikugawa fault zone (Southern segment),PoissonProcess,P(lmbd=0.0),GutenbergRichter,"GR(min=6.38,b_val=0.9,max=6.46)",MultiPlaneShape,"MULTIPOLYGON (((131.078 34.087, 131.1892050199474 33.93250376121451, 131.1862748771253 33.9310571588533, 131.0750698571779 34.08555339763879, 131.078 34.087)))"
F006102,Yanagase/Sekigahara fault zone (Main part/Central segment),PoissonProcess,P(lmbd=0.0),CharacteristicMag,CHAR(mag=6.23),MultiPlaneShape,"MULTIPOLYGON (((136.167 35.633, 136.1504668541286 35.74913700680864, 136.1527688287582 35.74935348393677, 136.1693019746296 35.63321647712812, 136.167 35.633)))"
F006103,Yanagase/Sekigahara fault zone (Main part/Southern segment),PoissonProcess,P(lmbd=0.0),GutenbergRichter,"GR(min=6.38,b_val=0.9,max=6.85)",MultiPlaneShape,"MULTIPOLYGON (((136.167 35.633, 136.5445200782153 35.32936253421139, 136.5423467460194 35.32757753747634, 136.1648266678041 35.63121500326495, 136.167 35.633)))"
F006101,Yanagase/Sekigahara fault zone (Main part/Northern segment),BrownianPTProcess,"BPT(mu=2300.0,t0=417.0,alph=0.24)",GutenbergRichter,"GR(min=6.38,b_val=0.9,max=6.85)",MultiPlaneShape,"MULTIPOLYGON (((135.981 35.905, 136.0808347459 36.10414608468264, 136.2226824567256 36.05749214760885, 136.1228477108256 35.85834606292621, 135.981 35.905)), ((135.981 35.905, 136.1683098462835 35.75275094842473, 136.2767537530554 35.84028301657425, 136.0894439067719 35.99253206814953, 135.981 35.905)))"
F006104,Urazoko-Yanagaseyama fault zone,PoissonProcess,P(lmbd=0.0),GutenbergRichter,"GR(min=6.38,b_val=0.9,max=6.7)",MultiPlaneShape,"MULTIPOLYGON (((136.183 35.583, 136.0012849642671 35.76420032374062, 136.0039769869783 35.76598590683203, 136.1856920227112 35.5847855830914, 136.183 35.583)))"
F01220A,Nishiyama fault zone (All segment),MultiSegmentProcess,"MULTI(F012201,F012202,F012203)",CharacteristicMag,CHAR(mag=7.5),MultiPlaneShape,"MULTIPOLYGON (((130.122 34.212, 130.4032043584611 33.91435645950578, 130.4008113831178 33.91281037827788, 130.1196070246567 34.2104539187721, 130.122 34.212)), ((130.387 33.932, 130.6869058045031 33.57925949012526, 130.6844325449896 33.57781192320918, 130.3845267404865 33.93055243308393, 130.387 33.932)), ((130.658 33.583, 130.9106494236809 33.36120275296144, 130.8782225103029 33.33556715546084, 130.625573086622 33.5573644024994, 130.658 33.583)))"
F01220B,Nishiyama fault zone (Oshima-Oki segment/Nishiyama segment),MultiSegmentProcess,"MULTI(F012201,F012202)",CharacteristicMag,CHAR(mag=7.3),MultiPlaneShape,"MULTIPOLYGON (((130.122 34.212, 130.4032043584611 33.91435645950578, 130.4008113831178 33.91281037827788, 130.1196070246567 34.2104539187721, 130.122 34.212)), ((130.387 33.932, 130.6869058045031 33.57925949012526, 130.6844325449896 33.57781192320918, 130.3845267404865 33.93055243308393, 130.387 33.932)))"
F01220C,Nishiyama fault zone (Nishiyama segment/Kama-toge segment),MultiSegmentProcess,"MULTI(F012202,F012203)",CharacteristicMag,CHAR(mag=7.3),MultiPlaneShape,"MULTIPOLYGON (((130.387 33.932, 130.6869058045031 33.57925949012526, 130.6844325449896 33.57781192320918, 130.3845267404865 33.93055243308393, 130.387 33.932)), ((130.658 33.583, 130.9106494236809 33.36120275296144, 130.8782225103029 33.33556715546084, 130.625573086622 33.5573644024994, 130.658 33.583)))"
G030151,Kochi-Agawa,PoissonProcess,P(lmbd=0.0),CharacteristicMag,CHAR(mag=6.62),MultiPlaneShape,"MULTIPOLYGON (((133.453 33.679, 133.2307383542035 33.61131573113509, 133.2297660852772 33.61352663972576, 133.4520277310737 33.68121090859067, 133.453 33.679)))"
F004602,Mutoyama-Narai fault zone,PoissonProcess,P(lmbd=0.0),GutenbergRichter,"GR(min=6.38,b_val=0.9,max=6.7)",MultiPlaneShape,"MULTIPOLYGON (((137.767 35.921, 138.0339730871035 36.1109372031807, 138.0360197446625 36.10905058948055, 137.769046657559 35.91911338629986, 137.767 35.921)))"
F015921,Ito-oki falut,BrownianPTProcess,"BPT(mu=2000.0,t0=37.0,alph=0.24)",CharacteristicMag,CHAR(mag=6.38),MultiPlaneShape,"MULTIPOLYGON (((139.167 35.001, 139.2204923492161 34.82655462833569, 139.2186339997986 34.82617226662836, 139.1651416505825 35.00061763829266, 139.167 35.001)))"
F012501,Hinata-Okasagi-toge fault zone,PoissonProcess,P(lmbd=0.0),GutenbergRichter,"GR(min=6.38,b_val=0.9,max=6.7)",MultiPlaneShape,"MULTIPOLYGON (((130.521 33.384, 130.2404143706846 33.55111638870135, 130.2419425235611 33.55290528190707, 130.5225281528765 33.38578889320573, 130.521 33.384)))"
G030102,Mimi-kawa fault zone,PoissonProcess,P(lmbd=0.0),CharacteristicMag,CHAR(mag=6.23),MultiPlaneShape,"MULTIPOLYGON (((135.992 35.613, 135.9698845827346 35.51206611218348, 135.9677938033022 35.51236888035994, 135.9899092205677 35.61330276817647, 135.992 35.613)))"
G030103,Biwako-togan-kotei fault,PoissonProcess,P(lmbd=0.0),CharacteristicMag,CHAR(mag=6.23),MultiPlaneShape,"MULTIPOLYGON (((136.167 35.426, 136.2620657890961 35.34578218976922, 136.2604031348202 35.3444738430039, 136.1653373457242 35.42469165323468, 136.167 35.426)))"
G030100,Hosenji fault zone,PoissonProcess,P(lmbd=0.0),CharacteristicMag,CHAR(mag=6.46),MultiPlaneShape,"MULTIPOLYGON (((136.095 36.035, 136.1114339586207 35.87998597063514, 136.1085332198817 35.8797848736646, 136.092099261261 36.03479890302945, 136.095 36.035)))"
G030101,Mihama-wan-oki fault,PoissonProcess,P(lmbd=0.0),CharacteristicMag,CHAR(mag=6.54),MultiPlaneShape,"MULTIPOLYGON (((135.926 35.828, 135.8749878121894 35.64741549667526, 135.8721573337886 35.64794109418398, 135.9231695215992 35.82852559750872, 135.926 35.828)))"
G030106,Odorii fault zone,PoissonProcess,P(lmbd=0.0),CharacteristicMag,CHAR(mag=6.62),MultiPlaneShape,"MULTIPOLYGON (((136 34.91, 136.127035698146 35.03154357827639, 136.1292155099683 35.03001146123454, 136.0021798118223 34.90846788295815, 136 34.91)), ((136.127 35.032, 136.098086480061 35.08347358509182, 136.1006986274788 35.08445736909557, 136.1296121474178 35.03298378400375, 136.127 35.032)))"
F014221,Uchinokomori fault,PoissonProcess,P(lmbd=0.0),CharacteristicMag,CHAR(mag=6.38),MultiPlaneShape,"MULTIPOLYGON (((139.534 36.734, 139.4231432382363 36.57760888473184, 139.3897717870754 36.59280185019362, 139.5006285488391 36.74919296546179, 139.534 36.734)))"
G030104,Kumagawa fault zone,PoissonProcess,P(lmbd=0.0),CharacteristicMag,CHAR(mag=6.23),MultiPlaneShape,"MULTIPOLYGON (((135.947 35.429, 135.8285434542239 35.4635599036034, 135.8292577007279 35.46518533920572, 135.947714246504 35.43062543560232, 135.947 35.429)))"
G030105,Biwako-nambu-kotei fault,PoissonProcess,P(lmbd=0.0),CharacteristicMag,CHAR(mag=6.31),MultiPlaneShape,"MULTIPOLYGON (((136.094 35.23, 135.9659007157984 35.15369770994131, 135.9643157434321 35.1554731430107, 136.0924150276337 35.23177543306939, 136.094 35.23)))"
G030108,Kyogamine-minami fault,PoissonProcess,P(lmbd=0.0),CharacteristicMag,CHAR(mag=6.15),MultiPlaneShape,"MULTIPOLYGON (((136.291 34.77, 136.4008303204109 34.74900526096787, 136.4003972581568 34.74747657391766, 136.2905669377459 34.76847131294979, 136.291 34.77)))"
G030109,Chuo-kozosen Taki,PoissonProcess,P(lmbd=0.0),CharacteristicMag,CHAR(mag=6.54),MultiPlaneShape,"MULTIPOLYGON (((136.42 34.45, 136.6301729517484 34.47005289977563, 136.6305010998136 34.46771420333882, 136.4203281480652 34.44766130356319, 136.42 34.45)))"
F008401,Nagao fault zone,BrownianPTProcess,"BPT(mu=30000.0,t0=1217.0,alph=0.24)",GutenbergRichter,"GR(min=6.38,b_val=0.9,max=6.62)",MultiPlaneShape,"MULTIPOLYGON (((133.997 34.177, 134.2760763675526 34.2139810914284, 134.3014264217223 34.08304744967148, 134.0223500541697 34.04606635824308, 133.997 34.177)))"
F018001,Yasuda fault,PoissonProcess,P(lmbd=0.0),CharacteristicMag,CHAR(mag=6.38),MultiPlaneShape,"MULTIPOLYGON (((133.09 34.779, 132.9503764583348 34.67789555171489, 132.948228159421 34.67989700215998, 133.0878517010862 34.7810014504451, 133.09 34.779)))"
F015321,Isehara fault,BrownianPTProcess,"BPT(mu=4000.0,t0=1617.0,alph=0.24)",GutenbergRichter,"GR(min=6.38,b_val=0.9,max=6.62)",MultiPlaneShape,"MULTIPOLYGON (((139.323 35.363, 139.2871394648974 35.5586775335939, 139.4259596959566 35.57559653090397, 139.4618202310593 35.37991899731007, 139.323 35.363)))"
F016121,Iro-zaki fault,BrownianPTProcess,"BPT(mu=2000.0,t0=43.0,alph=0.24)",GutenbergRichter,"GR(min=6.38,b_val=0.9,max=6.54)",MultiPlaneShape,"MULTIPOLYGON (((138.927 34.567, 138.7128180462256 34.6914155287075, 138.7237498319637 34.70417651760939, 138.9379317857381 34.57976098890189, 138.927 34.567)))"
