Code,Process,Multi,AvrAct,LastAct,Alpha,Desc,Name
F000601,BrownianPassageTime,BPT,1000,278,0.24,"BPT(mu=1000.0,t0=278.0,alph=0.24)",Ishikari-teichi-toen fault zone (Main part)
F000602,Poisson,POI,17000,,,P(lmbd=17000.0),Ishikari-teichi-toen fault zone (Southern part)
F000701,BrownianPassageTime,BPT,3600,5900,0.24,"BPT(mu=3600.0,t0=5900.0,alph=0.24)",Kuromatsunai-teichi fault zone
F000801,BrownianPassageTime,BPT,13000,14000,0.24,"BPT(mu=13000.0,t0=14000.0,alph=0.24)",Hakodate-heiya-seien fault zone
F000901,Poisson,POI,3000,,,P(lmbd=3000.0),Aomori-wan-seigan fault zone
F001101,Poisson,POI,15000,,,P(lmbd=15000.0),Oritsume fault
F001201,BrownianPassageTime,BPT,1900,323,0.24,"BPT(mu=1900.0,t0=323.0,alph=0.24)",Noshiro fault zone
F001301,BrownianPassageTime,BPT,16000,4500,0.24,"BPT(mu=16000.0,t0=4500.0,alph=0.24)",Kitakami-teichi-seien fault zone
F001401,Poisson,POI,5400,,,P(lmbd=5400.0),Shizukuishi-bonchi-seien fault zone
F001402,BrownianPassageTime,BPT,6300,121,0.24,"BPT(mu=6300.0,t0=121.0,alph=0.24)",Mahiru-sanchi-toen fault zone/Northern segment
F001403,Poisson,POI,5400,,,P(lmbd=5400.0),Mahiru-sanchi-toen fault zone/Southern segment
F001501,BrownianPassageTime,BPT,3400,121,0.24,"BPT(mu=3400.0,t0=121.0,alph=0.24)",Yokote-bonchi-toen fault zone (Northern segment)
F001502,Poisson,POI,9500,,,P(lmbd=9500.0),Yokote-bonchi-toen fault zone (Southern segment)
F001601,BrownianPassageTime,BPT,3400,2800,0.24,"BPT(mu=3400.0,t0=2800.0,alph=0.24)",Kitayuri fault
F001701,BrownianPassageTime,BPT,4000,6200,0.24,"BPT(mu=4000.0,t0=6200.0,alph=0.24)",Shinjo-bonchi fault zone (Eastern part)
F001702,Poisson,POI,4700,,,P(lmbd=4700.0),Shinjo-bonchi fault zone (Western part)
F001801,BrownianPassageTime,BPT,2500,3900,0.24,"BPT(mu=2500.0,t0=3900.0,alph=0.24)",Yamagata-bonchi fault zone (Northern segment)
F001802,Poisson,POI,2500,,,P(lmbd=2500.0),Yamagata-bonchi fault zone (Southern segment)
F001901,BrownianPassageTime,BPT,1000,123,0.24,"BPT(mu=1000.0,t0=123.0,alph=0.24)",Shonai-heiya-toen fault zone (Northern part)
F001902,BrownianPassageTime,BPT,2500,3000,0.24,"BPT(mu=2500.0,t0=3000.0,alph=0.24)",Shonai-heiya-toen fault zone (Southern part)
F002001,Poisson,POI,5000,,,P(lmbd=5000.0),Nagamachi-Rifu-sen fault zone
F002101,BrownianPassageTime,BPT,8000,2200,0.24,"BPT(mu=8000.0,t0=2200.0,alph=0.24)",Fukushima-bonchi-seien fault zone
F002201,BrownianPassageTime,BPT,5000,2400,0.24,"BPT(mu=5000.0,t0=2400.0,alph=0.24)",Nagai-bonchi-seien fault zone
F002301,BrownianPassageTime,BPT,8000,2400,0.24,"BPT(mu=8000.0,t0=2400.0,alph=0.24)",Futaba fault
F002401,BrownianPassageTime,BPT,7400,406,0.24,"BPT(mu=7400.0,t0=406.0,alph=0.24)",Aizu-bonchi-seien fault zone
F002402,BrownianPassageTime,BPT,6300,3000,0.24,"BPT(mu=6300.0,t0=3000.0,alph=0.24)",Aizu-bonchi-toen fault zone
F002501,BrownianPassageTime,BPT,2800,3200,0.24,"BPT(mu=2800.0,t0=3200.0,alph=0.24)",Kushigata-sanmyaku fault zone
F002601,BrownianPassageTime,BPT,7500,6500,0.24,"BPT(mu=7500.0,t0=6500.0,alph=0.24)",Tsukioka fault zone
F002701,BrownianPassageTime,BPT,1200,817,0.24,"BPT(mu=1200.0,t0=817.0,alph=0.24)",Nagaoka-heiya-seien fault zone
F003901,BrownianPassageTime,BPT,3300,3100,0.24,"BPT(mu=3300.0,t0=3100.0,alph=0.24)",Tokamachi fault zone (Western part)
F003902,Poisson,POI,4000,,,P(lmbd=4000.0),Tokamachi fault zone (Eastern part)
F004501,BrownianPassageTime,BPT,6400,817,0.24,"BPT(mu=6400.0,t0=817.0,alph=0.24)",Kiso-sanmyaku-seien fault zone (Main part/Northern segment)
F004502,BrownianPassageTime,BPT,4500,6500,0.24,"BPT(mu=4500.0,t0=6500.0,alph=0.24)",Kiso-sanmyaku-seien fault zone (Main part/Southern segment)
F004503,Poisson,POI,11000,,,P(lmbd=11000.0),Seinaiji toge fault zone
F004601,BrownianPassageTime,BPT,1800,4900,0.24,"BPT(mu=1800.0,t0=4900.0,alph=0.24)",Sakaitoge-Kamiya fault zone (Main part)
F004602,Poisson,POI,2200,,,P(lmbd=2200.0),Mutoyama-Narai fault zone
F004701,BrownianPassageTime,BPT,2300,159,0.24,"BPT(mu=2300.0,t0=159.0,alph=0.24)",Atotsugawa fault zone
F004801,BrownianPassageTime,BPT,3600,4700,0.24,"BPT(mu=3600.0,t0=4700.0,alph=0.24)",Kokufu fault zone
F004802,Poisson,POI,4000,,,P(lmbd=4000.0),Takayama fault zone
F004803,Poisson,POI,7600,,,P(lmbd=7600.0),Inohana fault zone
F004901,BrownianPassageTime,BPT,5000,1017,0.24,"BPT(mu=5000.0,t0=1017.0,alph=0.24)",Ushikubi fault zone
F005001,BrownianPassageTime,BPT,3600,1017,0.24,"BPT(mu=3600.0,t0=1017.0,alph=0.24)",Shokawa fault zone
F005101,BrownianPassageTime,BPT,5200,717,0.24,"BPT(mu=5200.0,t0=717.0,alph=0.24)",Inadani fault zone (Main part)
F005102,Poisson,POI,25000,,,P(lmbd=25000.0),Inadani fault zone (Southeastern part)
F005201,BrownianPassageTime,BPT,1800,3400,0.24,"BPT(mu=1800.0,t0=3400.0,alph=0.24)",Atera fault zone (Main part/Northern segment)
F005202,BrownianPassageTime,BPT,1700,431,0.24,"BPT(mu=1700.0,t0=431.0,alph=0.24)",Atera fault zone (Main part/Southern segment)
F005203,Poisson,POI,7900,,,P(lmbd=7900.0),Sami fault zone
F005204,Poisson,POI,9800,,,P(lmbd=9800.0),Shirakawa fault zone
F005301,Poisson,POI,4000,,,P(lmbd=4000.0),Byoubuyama fault zone
F005302,Poisson,POI,7300,,,P(lmbd=7300.0),Ako fault zone
F005303,BrownianPassageTime,BPT,7200,7600,0.24,"BPT(mu=7200.0,t0=7600.0,alph=0.24)",Enasan-Sanageyamakita fault zone
F005304,BrownianPassageTime,BPT,40000,14000,0.24,"BPT(mu=40000.0,t0=14000.0,alph=0.24)",Sanage-Takahama fault zone
F005305,Poisson,POI,30000,,,P(lmbd=30000.0),Kagiya fault zone
F005501,Poisson,POI,1200,,,P(lmbd=1200.0),Ochigata fault zone
F005601,BrownianPassageTime,BPT,6000,6900,0.24,"BPT(mu=6000.0,t0=6900.0,alph=0.24)",Tonami-heiya/Kurehayama fault zone (Western part)
F005602,BrownianPassageTime,BPT,3000,4300,0.24,"BPT(mu=3000.0,t0=4300.0,alph=0.24)",Tonami-heiya/Kurehayama fault zone (Eastern part)
F005603,BrownianPassageTime,BPT,3000,3500,0.24,"BPT(mu=3000.0,t0=3500.0,alph=0.24)",Kurehayama fault zone
F005701,BrownianPassageTime,BPT,1700,2017,0.24,"BPT(mu=1700.0,t0=2017.0,alph=0.24)",Morimoto-Togashi fault zone
F005801,BrownianPassageTime,BPT,6300,3400,0.24,"BPT(mu=6300.0,t0=3400.0,alph=0.24)",Fukui-heiya-toen fault zone (Main part)
F005901,Poisson,POI,9200,,,P(lmbd=9200.0),Nagaragawa-joryu fault zone
F006001,BrownianPassageTime,BPT,2200,126,0.24,"BPT(mu=2200.0,t0=126.0,alph=0.24)",Nukumi fault/Northwestern segment
F006002,Poisson,POI,1700,,,P(lmbd=1700.0),Nukumi fault zone/Southeastern segment
F006003,BrownianPassageTime,BPT,2100,126,0.24,"BPT(mu=2100.0,t0=126.0,alph=0.24)",Nobi fault zone (Main part/Neodani fault zone)
F006004,BrownianPassageTime,BPT,14000,126,0.24,"BPT(mu=14000.0,t0=126.0,alph=0.24)",Nobi fault zone (Main part/Umehara fault zone)
F006005,Poisson,POI,15000,,,P(lmbd=15000.0),Nobi fault zone (Main part/Mitabora fault zone)
F006006,Poisson,POI,7600,,,P(lmbd=7600.0),Ibigawa fault zone
F006007,Poisson,POI,9200,,,P(lmbd=9200.0),Mugigawa fault
F006101,BrownianPassageTime,BPT,2300,417,0.24,"BPT(mu=2300.0,t0=417.0,alph=0.24)",Yanagase/Sekigahara fault zone (Main part/Northern segment)
F006102,Poisson,POI,3800,,,P(lmbd=3800.0),Yanagase/Sekigahara fault zone (Main part/Central segment)
F006103,Poisson,POI,14000,,,P(lmbd=14000.0),Yanagase/Sekigahara fault zone (Main part/Southern segment)
F006104,Poisson,POI,20000,,,P(lmbd=20000.0),Urazoko-Yanagaseyama fault zone
F006301,BrownianPassageTime,BPT,5600,617,0.24,"BPT(mu=5600.0,t0=617.0,alph=0.24)",Nosaka fault zone
F006302,Poisson,POI,3200,,,P(lmbd=3200.0),Shufukuji fault zone
F006401,BrownianPassageTime,BPT,3000,1017,0.24,"BPT(mu=3000.0,t0=1017.0,alph=0.24)",Kohoku-sanchi fault zone (Northwestern part)
F006402,BrownianPassageTime,BPT,7000,617,0.24,"BPT(mu=7000.0,t0=617.0,alph=0.24)",Kohoku-sanchi fault zone (Southeastern part)
F006501,Poisson,POI,1000,,,P(lmbd=1000.0),Biwako-seigan fault zone (Northern part)
F006502,BrownianPassageTime,BPT,4500,832,0.24,"BPT(mu=4500.0,t0=832.0,alph=0.24)",Biwako-seigan fault zone (Southern part)
F006701,BrownianPassageTime,BPT,1400,817,0.24,"BPT(mu=1400.0,t0=817.0,alph=0.24)",Yoro-Kuwana-Yokkaichi fault zone
F006801,BrownianPassageTime,BPT,6500,3500,0.24,"BPT(mu=6500.0,t0=3500.0,alph=0.24)",Suzuka-toen fault zone
F006901,Poisson,POI,18000,,,P(lmbd=18000.0),Suzuka-seien fault zone
F007001,BrownianPassageTime,BPT,10000,10000,0.24,"BPT(mu=10000.0,t0=10000.0,alph=0.24)",Tongu fault
F007101,BrownianPassageTime,BPT,17000,28000,0.24,"BPT(mu=17000.0,t0=28000.0,alph=0.24)",Nunobiki-sanchi-toen fault zone (Western part)
F007102,BrownianPassageTime,BPT,25000,11000,0.24,"BPT(mu=25000.0,t0=11000.0,alph=0.24)",Nunobiki-sanchi-toen fault zone (Eastern part)
F007201,BrownianPassageTime,BPT,4000,163,0.24,"BPT(mu=4000.0,t0=163.0,alph=0.24)",Kizugawa fault zone
F007301,BrownianPassageTime,BPT,3800,355,0.24,"BPT(mu=3800.0,t0=355.0,alph=0.24)",Mikata fault zone
F007303,BrownianPassageTime,BPT,4200,2800,0.24,"BPT(mu=4200.0,t0=2800.0,alph=0.24)",Hanaore fault zone/Central southern segment
F007401,Poisson,POI,10000,,,P(lmbd=10000.0),Yamada fault zone (Main part)
F007402,BrownianPassageTime,BPT,10000,90,0.24,"BPT(mu=10000.0,t0=90.0,alph=0.24)",Gomura fault zone
F007501,BrownianPassageTime,BPT,5000,11000,0.24,"BPT(mu=5000.0,t0=11000.0,alph=0.24)",Nara-bonchi toen fault zone
F007601,BrownianPassageTime,BPT,1000,421,0.24,"BPT(mu=1000.0,t0=421.0,alph=0.24)",Arima-Takatsuki fault zone
F007701,BrownianPassageTime,BPT,3000,1617,0.24,"BPT(mu=3000.0,t0=1617.0,alph=0.24)",Ikoma fault zone
F007801,Poisson,POI,8300,,,P(lmbd=8300.0),Kanbayashigawa fault
F007802,Poisson,POI,5000,,,P(lmbd=5000.0),Mitoke fault
F007803,BrownianPassageTime,BPT,3500,2400,0.24,"BPT(mu=3500.0,t0=2400.0,alph=0.24)",Kyoto-Nishiyama fault zone
F007901,BrownianPassageTime,BPT,900,517,0.24,"BPT(mu=900.0,t0=517.0,alph=0.24)",Rokko-Awajishima fault zone (Main part/Rokko-sanchi-nanen-Awajishima-togan segment)
F007902,BrownianPassageTime,BPT,1800,22,0.24,"BPT(mu=1800.0,t0=22.0,alph=0.24)",Rokko-Awajishima fault zone (Main area/Awajishima-seigan segment)
F007903,BrownianPassageTime,BPT,5000,1017,0.24,"BPT(mu=5000.0,t0=1017.0,alph=0.24)",Senzan fault zone
