#
# VER. = 1.0
# DATE = 2017-04-12
#
PSE_CPCF,   1,   8
   1, 7.6,0.01176,   1
   2, 7.7,0.00904,   1
   3, 7.8,0.00683,   1
   4, 7.9,0.00504,   1
   5, 8.0,0.00357,   1
   6, 8.1,0.00239,   1
   7, 8.2,0.00142,   1
   8, 8.3,0.00064,   1
   1, 80.0, 80.0,   6
   1,142.227, 36.521,142.224, 36.524, 15.2,207.0, 16.0
   2,141.905, 36.666,141.902, 36.669, 23.4,204.0, 17.0
   3,141.587, 36.789,141.584, 36.792, 31.6,204.0, 21.0
   4,141.907, 36.166,141.904, 36.169, 15.0,199.0, 18.0
   5,141.603, 36.295,141.600, 36.298, 22.9,194.0, 21.0
   6,141.330, 36.392,141.327, 36.395, 32.3,193.0, 20.0
