#
# VER. = 1.0
#
# DATE = 2017-04-06
#
# UPDATED
#
# JLON, JLAT, WLON, WLAT
141.4037,  42.6145, 141.4000,  42.6170
141.1707,  41.8304, 141.1670,  41.8330
141.0866,  40.8973, 141.0830,  40.9000
141.0705,  39.7472, 141.0670,  39.7500
141.1035,  39.5302, 141.1000,  39.5330
140.9865,  39.2971, 140.9830,  39.3000
141.2205,  38.5140, 141.2170,  38.5170
140.6364,  38.0470, 140.6330,  38.0500
140.3864,  37.7970, 140.3830,  37.8000
140.1363,  37.1969, 140.1330,  37.2000
139.9363,  37.0299, 139.9330,  37.0330
139.7033,  36.7139, 139.7000,  36.7170
139.0862,  36.4799, 139.0830,  36.4830
140.1863,  36.0798, 140.1830,  36.0830
141.0864,  35.8137, 141.0830,  35.8170
140.8534,  36.3468, 140.8500,  36.3500
141.3864,  36.9969, 141.3830,  37.0000
141.7535,  38.0140, 141.7500,  38.0170
141.8866,  38.8801, 141.8830,  38.8830
142.2206,  39.6301, 142.2170,  39.6330
142.1537,  40.3642, 142.1500,  40.3670
142.0367,  40.8803, 142.0330,  40.8830
141.7207,  41.4474, 141.7170,  41.4500
142.0367,  42.1304, 142.0330,  42.1330
141.4037,  42.6145, 141.4000,  42.6170
