#
# VER. = 1.0
#
# DATE = 2017-04-06
#
# UPDATED
#
# JLON, JLAT, WLON, WLAT
133.8197,  36.2970, 133.8170,  36.3000
133.6197,  35.5799, 133.6170,  35.5830
134.8198,  35.8639, 134.8170,  35.8670
135.7029,  36.1799, 135.7000,  36.1830
135.9529,  36.2969, 135.9500,  36.3000
136.3700,  36.7470, 136.3670,  36.7500
136.7860,  37.4140, 136.7830,  37.4170
137.7361,  37.6640, 137.7330,  37.6670
138.0032,  37.9141, 138.0000,  37.9170
137.9202,  39.0142, 137.9170,  39.0170
137.6362,  38.8472, 137.6330,  38.8500
136.7531,  38.7972, 136.7500,  38.8000
136.2030,  38.0641, 136.2000,  38.0670
135.9030,  38.0141, 135.9000,  38.0170
136.0030,  37.6141, 136.0000,  37.6170
135.3199,  37.3641, 135.3170,  37.3670
135.1199,  37.5141, 135.1170,  37.5170
134.8199,  37.4301, 134.8170,  37.4330
133.7197,  36.6300, 133.7170,  36.6330
133.8197,  36.2970, 133.8170,  36.3000
