#
# VER. = 1.0
# DATE = 2017-04-12
#
PSE_CPCF,   1,   9
   1, 7.6,0.00840,   1
   2, 7.7,0.00654,   1
   3, 7.8,0.00503,   1
   4, 7.9,0.00380,   1
   5, 8.0,0.00280,   1
   6, 8.1,0.00199,   1
   7, 8.2,0.00133,   1
   8, 8.3,0.00079,   1
   9, 8.4,0.00035,   1
   1, 80.0, 80.0,   9
   1,143.238, 38.676,143.234, 38.679, 15.4,192.0, 12.0
   2,143.137, 38.351,143.133, 38.354, 16.2,192.0, 11.0
   3,143.041, 38.018,143.037, 38.021, 16.4,193.0, 11.0
   4,142.874, 38.728,142.870, 38.731, 18.9,192.0, 19.0
   5,142.784, 38.414,142.780, 38.417, 19.1,194.0, 19.0
   6,142.690, 38.106,142.686, 38.109, 19.9,195.0, 18.0
   7,142.503, 38.794,142.499, 38.797, 29.3,190.0, 22.0
   8,142.423, 38.491,142.419, 38.494, 29.4,194.0, 23.0
   9,142.338, 38.195,142.334, 38.198, 29.7,197.0, 23.0
