#
# VER. = 1.0
#
# DATE = 2017-04-06
#
# UPDATED
#
# MNO, JLG, JLA, WLG, WLA, FRQ, BVL, MMN, ANO, DEP, STR, DIP
    55,137.103, 35.297,137.100, 35.300,9.72935e-04,  0.900, 5.0,  1, 53.2,  0.0,  0.0
    56,137.203, 35.297,137.200, 35.300,9.78504e-04,  0.900, 5.0,  1, 54.9,  0.0,  0.0
    57,137.303, 35.297,137.300, 35.300,1.00164e-03,  0.900, 5.0,  1, 56.1,  0.0,  0.0
    58,137.403, 35.297,137.400, 35.300,1.01993e-03,  0.900, 5.0,  1, 56.6,  0.0,  0.0
    59,137.503, 35.297,137.500, 35.300,9.95011e-04,  0.900, 5.0,  1, 56.5,  0.0,  0.0
    60,137.603, 35.297,137.600, 35.300,9.19110e-04,  0.900, 5.0,  1, 55.6,  0.0,  0.0
    61,137.703, 35.297,137.700, 35.300,8.37793e-04,  0.900, 5.0,  1, 53.9,  0.0,  0.0
    62,137.803, 35.297,137.800, 35.300,8.21168e-04,  0.900, 5.0,  1, 51.4,  0.0,  0.0
    63,138.203, 35.297,138.200, 35.300,9.63278e-04,  0.900, 5.0,  1, 37.1,  0.0,  0.0
    64,138.303, 35.297,138.300, 35.300,8.20897e-04,  0.900, 5.0,  1, 31.8,  0.0,  0.0
    65,138.403, 35.297,138.400, 35.300,6.76119e-04,  0.900, 5.0,  1, 28.1,  0.0,  0.0
    66,135.703, 35.197,135.700, 35.200,3.32632e-04,  0.900, 5.0,  1, 88.7,  0.0,  0.0
    67,135.803, 35.197,135.800, 35.200,3.41614e-04,  0.900, 5.0,  1, 83.5,  0.0,  0.0
    68,135.903, 35.197,135.900, 35.200,3.58001e-04,  0.900, 5.0,  1, 78.2,  0.0,  0.0
    69,136.003, 35.197,136.000, 35.200,3.82855e-04,  0.900, 5.0,  1, 73.0,  0.0,  0.0
    70,136.103, 35.197,136.100, 35.200,4.13263e-04,  0.900, 5.0,  1, 68.3,  0.0,  0.0
    71,136.203, 35.197,136.200, 35.200,4.44125e-04,  0.900, 5.0,  1, 64.4,  0.0,  0.0
    72,136.303, 35.197,136.300, 35.200,4.74500e-04,  0.900, 5.0,  1, 60.7,  0.0,  0.0
    73,136.403, 35.197,136.400, 35.200,5.10575e-04,  0.900, 5.0,  1, 57.2,  0.0,  0.0
    74,136.503, 35.197,136.500, 35.200,5.62843e-04,  0.900, 5.0,  1, 53.8,  0.0,  0.0
    75,136.603, 35.197,136.600, 35.200,6.42620e-04,  0.900, 5.0,  1, 50.6,  0.0,  0.0
    76,136.703, 35.197,136.700, 35.200,7.54047e-04,  0.900, 5.0,  1, 48.3,  0.0,  0.0
    77,136.803, 35.197,136.800, 35.200,8.80427e-04,  0.900, 5.0,  1, 47.0,  0.0,  0.0
    78,136.903, 35.197,136.900, 35.200,9.85041e-04,  0.900, 5.0,  1, 47.0,  0.0,  0.0
    79,137.003, 35.197,137.000, 35.200,1.03949e-03,  0.900, 5.0,  1, 48.1,  0.0,  0.0
    80,137.103, 35.197,137.100, 35.200,1.05239e-03,  0.900, 5.0,  1, 49.1,  0.0,  0.0
    81,137.203, 35.197,137.200, 35.200,1.06171e-03,  0.900, 5.0,  1, 49.9,  0.0,  0.0
    82,137.303, 35.197,137.300, 35.200,1.09024e-03,  0.900, 5.0,  1, 50.2,  0.0,  0.0
    83,137.403, 35.197,137.400, 35.200,1.11350e-03,  0.900, 5.0,  1, 50.5,  0.0,  0.0
    84,137.503, 35.197,137.500, 35.200,1.08684e-03,  0.900, 5.0,  1, 50.5,  0.0,  0.0
    85,137.603, 35.197,137.600, 35.200,1.00776e-03,  0.900, 5.0,  1, 49.7,  0.0,  0.0
    86,137.703, 35.197,137.700, 35.200,9.39511e-04,  0.900, 5.0,  1, 48.7,  0.0,  0.0
    87,137.803, 35.197,137.800, 35.200,9.63648e-04,  0.900, 5.0,  1, 46.9,  0.0,  0.0
    88,137.903, 35.197,137.900, 35.200,1.09846e-03,  0.900, 5.0,  1, 44.3,  0.0,  0.0
    89,138.003, 35.197,138.000, 35.200,1.25522e-03,  0.900, 5.0,  1, 41.4,  0.0,  0.0
    90,138.103, 35.197,138.100, 35.200,1.30604e-03,  0.900, 5.0,  1, 38.0,  0.0,  0.0
    91,138.203, 35.197,138.200, 35.200,1.20759e-03,  0.900, 5.0,  1, 33.2,  0.0,  0.0
    92,138.303, 35.197,138.300, 35.200,1.01513e-03,  0.900, 5.0,  1, 28.4,  0.0,  0.0
    93,138.403, 35.197,138.400, 35.200,8.06584e-04,  0.900, 5.0,  1, 25.2,  0.0,  0.0
    94,138.503, 35.197,138.500, 35.200,6.35903e-04,  0.900, 5.0,  1, 22.6,  0.0,  0.0
    95,138.603, 35.197,138.600, 35.200,5.36720e-04,  0.900, 5.0,  1, 20.3,  0.0,  0.0
    96,135.703, 35.097,135.700, 35.100,3.36761e-04,  0.900, 5.0,  1, 85.7,  0.0,  0.0
    97,135.803, 35.097,135.800, 35.100,3.44882e-04,  0.900, 5.0,  1, 80.8,  0.0,  0.0
    98,135.903, 35.097,135.900, 35.100,3.56369e-04,  0.900, 5.0,  1, 75.8,  0.0,  0.0
    99,136.003, 35.097,136.000, 35.100,3.69744e-04,  0.900, 5.0,  1, 70.7,  0.0,  0.0
   100,136.103, 35.097,136.100, 35.100,3.82968e-04,  0.900, 5.0,  1, 66.6,  0.0,  0.0
   101,136.203, 35.097,136.200, 35.100,3.96207e-04,  0.900, 5.0,  1, 62.9,  0.0,  0.0
   102,136.303, 35.097,136.300, 35.100,4.13381e-04,  0.900, 5.0,  1, 59.5,  0.0,  0.0
   103,136.403, 35.097,136.400, 35.100,4.40484e-04,  0.900, 5.0,  1, 56.3,  0.0,  0.0
   104,136.503, 35.097,136.500, 35.100,4.85276e-04,  0.900, 5.0,  1, 53.3,  0.0,  0.0
   105,136.603, 35.097,136.600, 35.100,5.59317e-04,  0.900, 5.0,  1, 50.7,  0.0,  0.0
   106,136.703, 35.097,136.700, 35.100,6.71307e-04,  0.900, 5.0,  1, 48.4,  0.0,  0.0
   107,136.803, 35.097,136.800, 35.100,8.09494e-04,  0.900, 5.0,  1, 46.8,  0.0,  0.0
   108,136.903, 35.097,136.900, 35.100,9.36838e-04,  0.900, 5.0,  1, 46.3,  0.0,  0.0
   109,137.003, 35.097,137.000, 35.100,1.01839e-03,  0.900, 5.0,  1, 46.6,  0.0,  0.0
   110,137.103, 35.097,137.100, 35.100,1.05648e-03,  0.900, 5.0,  1, 47.0,  0.0,  0.0
   111,137.203, 35.097,137.200, 35.100,1.09044e-03,  0.900, 5.0,  1, 47.3,  0.0,  0.0
   112,137.303, 35.097,137.300, 35.100,1.15017e-03,  0.900, 5.0,  1, 47.3,  0.0,  0.0
   113,137.403, 35.097,137.400, 35.100,1.21305e-03,  0.900, 5.0,  1, 47.2,  0.0,  0.0
   114,137.503, 35.097,137.500, 35.100,1.22483e-03,  0.900, 5.0,  1, 46.8,  0.0,  0.0
   115,137.603, 35.097,137.600, 35.100,1.17157e-03,  0.900, 5.0,  1, 46.1,  0.0,  0.0
   116,137.703, 35.097,137.700, 35.100,1.11608e-03,  0.900, 5.0,  1, 44.9,  0.0,  0.0
   117,137.803, 35.097,137.800, 35.100,1.14653e-03,  0.900, 5.0,  1, 43.2,  0.0,  0.0
   118,137.903, 35.097,137.900, 35.100,1.28290e-03,  0.900, 5.0,  1, 40.9,  0.0,  0.0
   119,138.003, 35.097,138.000, 35.100,1.43779e-03,  0.900, 5.0,  1, 37.9,  0.0,  0.0
   120,138.103, 35.097,138.100, 35.100,1.48668e-03,  0.900, 5.0,  1, 34.3,  0.0,  0.0
   121,138.203, 35.097,138.200, 35.100,1.37786e-03,  0.900, 5.0,  1, 30.3,  0.0,  0.0
   122,138.303, 35.097,138.300, 35.100,1.15776e-03,  0.900, 5.0,  1, 26.5,  0.0,  0.0
   123,138.403, 35.097,138.400, 35.100,9.11360e-04,  0.900, 5.0,  1, 23.3,  0.0,  0.0
   124,138.503, 35.097,138.500, 35.100,7.02862e-04,  0.900, 5.0,  1, 20.7,  0.0,  0.0
   125,138.603, 35.097,138.600, 35.100,5.59078e-04,  0.900, 5.0,  1, 18.5,  0.0,  0.0
   126,135.603, 34.997,135.600, 35.000,3.44289e-04,  0.900, 5.0,  1, 87.7,  0.0,  0.0
   127,135.703, 34.997,135.700, 35.000,3.53486e-04,  0.900, 5.0,  1, 83.2,  0.0,  0.0
