#
# VER. = 1.0
#
# DATE = 2017-04-06
#
# UPDATED
#
# JLON, JLAT, WLON, WLAT
135.0028,  34.5968, 135.0000,  34.6000
134.4857,  34.1467, 134.4830,  34.1500
135.6028,  34.3467, 135.6000,  34.3500
135.7358,  34.4297, 135.7330,  34.4330
136.6029,  34.4797, 136.6000,  34.4830
136.9530,  34.5637, 136.9500,  34.5670
136.8529,  34.6967, 136.8500,  34.7000
136.5029,  35.3638, 136.5000,  35.3670
136.3029,  35.3968, 136.3000,  35.4000
136.1529,  35.6799, 136.1500,  35.6830
135.9199,  35.9299, 135.9170,  35.9330
135.9199,  35.4138, 135.9170,  35.4170
135.7529,  34.8968, 135.7500,  34.9000
135.1358,  34.7968, 135.1330,  34.8000
135.0028,  34.5968, 135.0000,  34.6000
