#
# VER. = 1.0
#
# DATE = 2017-04-06
#
# UPDATED
#
# JLON, JLAT, WLON, WLAT
144.0209,  41.2803, 144.0170,  41.2830
144.6539,  40.9972, 144.6500,  41.0000
144.2368,  39.6801, 144.2330,  39.6830
144.0537,  38.5470, 144.0500,  38.5500
143.8707,  37.7469, 143.8670,  37.7500
143.5036,  37.0298, 143.5000,  37.0330
142.9535,  36.2467, 142.9500,  36.2500
142.5205,  35.9137, 142.5170,  35.9170
142.2534,  35.4797, 142.2500,  35.4830
141.9864,  34.1965, 141.9830,  34.2000
141.2203,  34.3296, 141.2170,  34.3330
141.5034,  35.5467, 141.5000,  35.5500
141.7204,  36.0968, 141.7170,  36.1000
142.2205,  36.5298, 142.2170,  36.5330
142.7706,  37.2969, 142.7670,  37.3000
143.0206,  37.9969, 143.0170,  38.0000
143.2207,  38.6970, 143.2170,  38.7000
143.4207,  39.6971, 143.4170,  39.7000
143.7708,  40.8472, 143.7670,  40.8500
144.0209,  41.2803, 144.0170,  41.2830
