#,,,,,,,,,
# VER. = 1.0,,,,,,,,,
# DATE = 2017-04-12,,,,,,,,,
#,,,,,,,,,
LND_A98F,226,,,,,,,,
F000101,34000,6.8,7.4,0.9,1,Shibetsu fault zone,,,
1,145.084,43.958,145.08,43.96,3,56,18,216,45
F000201,34000,6.8,7.4,0.9,1,Tokachi-heiya fault zone (Main part),,,
1,143.302,42.541,143.298,42.544,4,84,24,9,45
F000202,14000,6.8,7.2,0.9,1,Kochien fault,,,
1,143.358,42.303,143.354,42.306,3,28,18,333,45
F000301,8000,6.8,7.2,0.9,1,Furano fault zone (Western part),,,
1,142.425,43.441,142.421,43.443,2,28,18,196.3,45
F000302,18000,6.8,7.2,0.9,1,Furano fault zone (Eastern part),,,
1,142.42,43.131,142.416,43.133,2,28,18,14,50
F000401,10000,6.8,7.4,0.9,1,Mashike-sanchi-toen fault zone,,,
1,141.882,43.889,141.878,43.891,3,64,18,197.5,45
F000402,24000,6.8,7.4,0.9,1,Numata-Sunagawa-area fault zone,,,
1,141.958,43.489,141.954,43.491,3,40,18,0,45
F000501,15000,6.8,6.9,0.9,1,Tobetsu fault,,,
1,141.543,43.454,141.539,43.456,3,22,18,180,40
F000601,2000,6.8,7.4,0.9,2,Ishikari-teichi-toen fault zone (Main part),,,
1,141.919,42.967,141.915,42.969,9,37.9,18,14,30
2,141.919,42.967,141.915,42.969,9,21.9,18,164,150
F000602,34000,6.8,7.4,0.9,1,Ishikari-teichi-toen fault zone (Southern part),,,
1,142.032,42.408,142.028,42.411,9,56,18,342.5,30
F000701,7200,6.8,7.3,0.9,1,Kuromatsunai-teichi fault zone,,,
1,140.244,42.752,140.24,42.754,2,34,18,170.1,45
F000801,26000,6.8,7.1,0.9,1,Hakodate-heiya-seien fault zone,,,
1,140.634,41.94,140.63,41.943,2,26,18,187.1,45
F000901,6000,6.8,7.3,0.9,1,Aomori-wan-seigan fault zone,,,
1,140.615,40.987,140.611,40.99,3,32,18,166.7,60
F001001,10200,6.8,6.8,0.9,1,Tsugaru-sanchi-seien fault zone (Northern part),,,
1,140.607,40.698,140.603,40.701,3,18,18,339.2,45
F001101,30000,6.8,7.4,0.9,1,Oritsume fault,,,
1,141.246,40.496,141.242,40.499,2,48,18,162.3,45
F001201,3800,6.8,7.1,0.9,1,Noshiro fault zone,,,
1,140.002,40.075,139.999,40.078,3,24,18,7.3,45
F001301,32000,6.8,7.4,0.9,1,Kitakami-teichi-seien fault zone,,,
1,141.056,39.633,141.052,39.636,3,64,18,182.7,35
F001401,10800,6.8,6.8,0.9,1,Shizukuishi-bonchi-seien fault zone,,,
1,140.932,39.806,140.928,39.809,2,18,18,189.7,45
F001402,12600,6.8,7.1,0.9,1,Mahiru-sanchi-toen fault zone/Northern segment,,,
1,140.803,39.616,140.799,39.619,3,22,18,208.5,40
F001403,10800,6.8,6.8,0.9,1,Mahiru-sanchi-toen fault zone/Southern segment,,,
1,140.665,39.434,140.662,39.437,3,18,18,184.4,45
F001501,6800,6.8,7.2,0.9,1,Yokote-bonchi-toen fault zone (Northern segment),,,
1,140.641,39.364,140.638,39.367,3,28,18,12.5,25
F001502,19000,6.8,7.3,0.9,1,Yokote-bonchi-toen fault zone (Southern segment),,,
1,140.622,39.102,140.619,39.105,3,32,18,357.2,45
F001601,6800,6.8,7.3,0.9,1,Kitayuri fault,,,
1,140.055,39.388,140.052,39.391,3,32,18,0,45
F001701,8000,6.8,7.1,0.9,1,Shinjo-bonchi fault zone (Eastern part),,,
1,140.349,38.617,140.346,38.62,3,24,18,19.6,35
F001702,9400,6.8,6.8,0.9,1,Shinjo-bonchi fault zone (Western part),,,
1,140.185,38.828,140.182,38.831,3,18,18,175,45
F001801,5000,6.8,7.3,0.9,1,Yamagata-bonchi fault zone (Northern segment),,,
1,140.335,38.673,140.332,38.676,4,30,18,196,45
F001802,5000,6.8,7.3,0.9,1,Yamagata-bonchi fault zone (Southern segment),,,
1,140.239,38.406,140.236,38.409,4,32,18,184,45
F001901,2000,6.8,7.1,0.9,1,Shonai-heiya-toen fault zone (Northern part),,,
1,140.009,38.844,140.006,38.847,3,26,18,355,30
F001902,5000,6.8,6.8,0.9,1,Shonai-heiya-toen fault zone (Southern part),,,
1,139.997,38.714,139.994,38.717,3,20,18,4.8,45
F002001,10000,6.8,7.4,0.9,1,Nagamachi-Rifu-sen fault zone,,,
1,141.03,38.401,141.027,38.404,3,42,18,231.9,40
F002101,16000,6.8,7.4,0.9,1,Fukushima-bonchi-seien fault zone,,,
1,140.682,38.14,140.679,38.143,2,60,18,212.6,45
F002201,10000,6.8,7.4,0.9,1,Nagai-bonchi-seien fault zone,,,
1,140.133,38.32,140.13,38.323,2,54,18,186.7,45
F002301,16000,6.8,7.4,0.9,1,Futaba fault,,,
1,140.904,37.655,140.901,37.658,2,42,18,353.5,90
F002401,14800,6.8,7.3,0.9,1,Aizu-bonchi-seien fault zone,,,
1,139.85,37.726,139.847,37.729,2,36,18,192.5,45
F002402,12600,6.8,7.4,0.9,1,Aizu-bonchi-toen fault zone,,,
1,139.857,37.206,139.854,37.209,2,50,18,12.1,45
F002501,5600,6.8,6.8,0.9,1,Kushigata-sanmyaku fault zone,,,
1,139.441,38.146,139.438,38.149,3,18,18,206.3,45
F002601,15000,6.8,7.3,0.9,1,Tsukioka fault zone,,,
1,139.303,37.933,139.3,37.936,3,32,18,200.3,55
F002701,2400,6.8,7.4,0.9,1,Nagaoka-heiya-seien fault zone,,,
1,138.822,38.05,138.819,38.053,6,84,24,185,55
