#
# VER. = 1.0
# DATE = 2017-04-12
#
PLE_AETRF,   1
AETRF,-8.1, 25.0, 484,Etorofuto-Oki Earthquake
 121,150.062, 45.206,150.057, 45.208, 42.6
 122,150.002, 45.264,149.997, 45.266, 47.2
 123,149.942, 45.321,149.937, 45.323, 52.3
 124,149.882, 45.379,149.877, 45.381, 57.7
 125,149.822, 45.437,149.817, 45.439, 63.9
 126,150.383, 45.015,150.378, 45.018, 27.4
 127,150.323, 45.073,150.318, 45.076, 30.8
 128,150.263, 45.131,150.258, 45.134, 34.3
 129,150.203, 45.190,150.198, 45.192, 38.1
 130,150.143, 45.248,150.138, 45.250, 42.5
 131,150.083, 45.306,150.078, 45.308, 47.2
 132,150.023, 45.364,150.018, 45.366, 52.3
 133,149.962, 45.422,149.957, 45.424, 58.0
 134,149.902, 45.480,149.897, 45.482, 64.4
 135,150.464, 45.058,150.459, 45.061, 27.4
 136,150.404, 45.116,150.399, 45.119, 30.8
 137,150.343, 45.174,150.338, 45.177, 34.3
 138,150.283, 45.233,150.278, 45.235, 37.9
 139,150.223, 45.291,150.218, 45.293, 42.3
 140,150.163, 45.349,150.158, 45.351, 47.1
 141,150.103, 45.407,150.098, 45.409, 52.1
 142,150.043, 45.465,150.038, 45.467, 57.6
 143,149.983, 45.523,149.978, 45.525, 64.2
 144,150.544, 45.100,150.539, 45.103, 27.4
 145,150.484, 45.158,150.479, 45.161, 30.9
 146,150.424, 45.217,150.419, 45.219, 34.5
 147,150.364, 45.275,150.359, 45.277, 38.4
 148,150.304, 45.333,150.299, 45.335, 42.6
 149,150.243, 45.391,150.238, 45.393, 47.3
 150,150.183, 45.449,150.178, 45.451, 52.1
 151,150.123, 45.507,150.118, 45.509, 57.2
 152,150.625, 45.143,150.620, 45.146, 27.5
 153,150.565, 45.201,150.560, 45.204, 31.0
 154,150.504, 45.260,150.499, 45.262, 34.7
 155,150.444, 45.318,150.439, 45.320, 38.6
 156,150.384, 45.376,150.379, 45.378, 42.9
 157,150.324, 45.434,150.319, 45.436, 47.6
 158,150.263, 45.492,150.258, 45.494, 52.6
 159,150.203, 45.550,150.198, 45.552, 58.0
 160,150.706, 45.186,150.701, 45.189, 27.6
 161,150.645, 45.244,150.640, 45.247, 31.0
 162,150.585, 45.303,150.580, 45.305, 34.6
 163,150.525, 45.361,150.520, 45.363, 38.6
 164,150.464, 45.419,150.459, 45.421, 43.0
 165,150.404, 45.477,150.399, 45.479, 47.8
 166,150.344, 45.535,150.339, 45.537, 53.1
 167,150.284, 45.593,150.279, 45.595, 58.8
 168,150.786, 45.228,150.781, 45.231, 27.7
 169,150.726, 45.286,150.721, 45.289, 31.1
 170,150.665, 45.345,150.660, 45.347, 34.6
 171,150.605, 45.403,150.600, 45.405, 38.3
 172,150.545, 45.461,150.540, 45.463, 42.7
 173,150.484, 45.519,150.479, 45.521, 47.7
 174,150.424, 45.577,150.419, 45.579, 53.1
 175,150.364, 45.635,150.359, 45.637, 59.0
 176,150.867, 45.271,150.862, 45.274, 27.7
 177,150.806, 45.329,150.801, 45.332, 31.2
 178,150.746, 45.388,150.741, 45.390, 34.8
 179,150.686, 45.446,150.681, 45.448, 38.5
 180,150.625, 45.504,150.620, 45.506, 42.7
 181,150.565, 45.562,150.560, 45.564, 47.5
 182,150.504, 45.620,150.499, 45.622, 52.7
 183,150.444, 45.678,150.439, 45.680, 58.6
 184,150.947, 45.314,150.942, 45.317, 27.7
 185,150.887, 45.373,150.882, 45.375, 31.3
 186,150.826, 45.431,150.821, 45.433, 35.0
 187,150.766, 45.489,150.761, 45.491, 38.9
 188,150.706, 45.547,150.701, 45.549, 43.1
 189,150.645, 45.605,150.640, 45.607, 47.6
 190,150.585, 45.663,150.580, 45.665, 52.4
 191,150.524, 45.721,150.519, 45.723, 57.7
 192,151.028, 45.356,151.023, 45.359, 27.6
 193,150.967, 45.415,150.962, 45.417, 31.3
 194,150.907, 45.473,150.902, 45.475, 35.1
 195,150.847, 45.531,150.842, 45.533, 39.1
 196,150.786, 45.589,150.781, 45.591, 43.4
 197,150.726, 45.647,150.721, 45.649, 47.9
 198,150.665, 45.705,150.660, 45.707, 52.6
 199,150.605, 45.763,150.600, 45.765, 57.5
 200,151.109, 45.399,151.104, 45.402, 27.6
 201,151.048, 45.458,151.043, 45.460, 31.2
 202,150.987, 45.516,150.982, 45.518, 35.0
 203,150.927, 45.574,150.922, 45.576, 39.0
 204,150.866, 45.632,150.861, 45.634, 43.4
 205,150.806, 45.690,150.801, 45.692, 48.1
 206,150.745, 45.748,150.740, 45.750, 53.1
 207,151.189, 45.442,151.184, 45.445, 27.4
 208,151.129, 45.501,151.124, 45.503, 31.1
 209,151.068, 45.559,151.063, 45.561, 34.8
 210,151.007, 45.617,151.002, 45.619, 38.8
 211,150.947, 45.675,150.942, 45.677, 43.2
 212,150.886, 45.733,150.881, 45.735, 48.1
