#
# VER. = 1.0
#
# DATE = 2017-04-06
#
# UPDATED
#
# JLON, JLAT, WLON, WLAT
136.8529,  34.6967, 136.8500,  34.7000
136.9530,  34.5637, 136.9500,  34.5670
137.7360,  34.9797, 137.7330,  34.9830
138.4361,  35.3968, 138.4330,  35.4000
138.4031,  35.7468, 138.4000,  35.7500
137.9861,  36.2299, 137.9830,  36.2330
137.8701,  36.4799, 137.8670,  36.4830
137.8701,  36.8969, 137.8670,  36.9000
137.0030,  36.5969, 137.0000,  36.6000
135.9529,  36.2969, 135.9500,  36.3000
135.7029,  36.1799, 135.7000,  36.1830
135.9199,  35.9299, 135.9170,  35.9330
136.1529,  35.6799, 136.1500,  35.6830
136.3029,  35.3968, 136.3000,  35.4000
136.5029,  35.3638, 136.5000,  35.3670
136.8529,  34.6967, 136.8500,  34.7000
