#
# VER. = 1.0
#
# DATE = 2017-04-06
#
# UPDATED
#
# JLON, JLAT, WLON, WLAT
142.3209,  43.7976, 142.3170,  43.8000
142.3868,  43.1646, 142.3830,  43.1670
143.6870,  43.2975, 143.6830,  43.3000
144.3210,  43.3805, 144.3170,  43.3830
144.7871,  43.5145, 144.7830,  43.5170
146.4713,  44.2305, 146.4670,  44.2330
147.9875,  44.9146, 147.9830,  44.9170
150.0047,  45.7306, 150.0000,  45.7330
150.0048,  46.3146, 150.0000,  46.3170
148.7376,  45.9977, 148.7330,  46.0000
147.5715,  45.6147, 147.5670,  45.6170
147.1544,  45.2976, 147.1500,  45.3000
146.3043,  44.9976, 146.3000,  45.0000
146.1543,  44.8476, 146.1500,  44.8500
144.2041,  44.0146, 144.2000,  44.0170
142.3209,  43.7976, 142.3170,  43.8000
