#,,,,,,,
# VER. = 1.0,,,,,,,
#,,,,,,,
# DATE = 2017-04-12,,,,,,,
#,,,,,,,
# UPDATED,,,,,,,
#,,,,,,,
# EPOCH = 2017-01-01,,,,,,,
# CODE,PROC,AVRACT,NEWACT,ALPHA,P_T30,P_T50,NAME
G030089,POI,150000,-,0,2.00E-04,3.33E-04,Tenpaku-kako fault
G030090,POI,5400,-,0,5.54E-03,9.22E-03,Bijo-zan fault zone
G030091,POI,2000,-,0,1.49E-02,2.47E-02,Tanigumi-Kochibora fault
G030092,POI,5100,-,0,5.87E-03,9.76E-03,Ikedayama fault
G030093,POI,9800,-,0,3.06E-03,5.09E-03,Tsushima fault zone
G030094,POI,4100,-,0,7.29E-03,1.21E-02,Suzukaoki fault
G030095,POI,6000,-,0,4.99E-03,8.30E-03,Yoro-sanchi-seien fault zone
G030096,POI,13500,-,0,2.22E-03,3.70E-03,Hokyoji fault
G030097,POI,2600,-,0,1.15E-02,1.90E-02,Kanekusa-dake fault zone
G030098,POI,10300,-,0,2.91E-03,4.84E-03,Okukawanami fault
G030099,POI,9500,-,0,3.15E-03,5.25E-03,Sarake fault
G030100,POI,13500,-,0,2.22E-03,3.70E-03,Hosenji fault zone
G030101,POI,69500,-,0,4.32E-04,7.19E-04,Mihama-wan-oki fault
G030102,POI,3500,-,0,8.53E-03,1.42E-02,Mimi-kawa fault zone
G030103,POI,3800,-,0,7.86E-03,1.31E-02,Biwako-togan-kotei fault
G030104,POI,8700,-,0,3.44E-03,5.73E-03,Kumagawa fault zone
G030105,POI,4400,-,0,6.79E-03,1.13E-02,Biwako-nambu-kotei fault
G030106,POI,40600,-,0,7.39E-04,1.23E-03,Odorii fault zone
G030107,POI,7900,-,0,3.79E-03,6.31E-03,Suzuka-sakashita fault zone
G030108,POI,3200,-,0,9.33E-03,1.55E-02,Kyogamine-minami fault
G030109,POI,33800,-,0,8.87E-04,1.48E-03,Chuo-kozosen Taki
G030110,POI,27000,-,0,1.11E-03,1.85E-03,Ieki fault zone
G030111,POI,49000,-,0,6.12E-04,1.02E-03,Nabari fault zone
G030112,POI,5100,-,0,5.87E-03,9.76E-03,Shigaraki fault zone
G030113,POI,4400,-,0,6.79E-03,1.13E-02,Wazuka-dani fault
G030114,POI,16900,-,0,1.77E-03,2.95E-03,Tahara fault
G030115,POI,4000,-,0,7.47E-03,1.24E-02,Ayame-ike flexure zone
G030116,POI,7600,-,0,3.94E-03,6.56E-03,Keihanna-kyuryo flexure zone
G030117,POI,4800,-,0,6.23E-03,1.04E-02,Habikino fault zone
G030118,POI,27000,-,0,1.11E-03,1.85E-03,Izumi-hokuroku fault zone
G030119,POI,60800,-,0,4.93E-04,8.22E-04,Chuo-kozosen Gojo
G030120,POI,5100,-,0,5.87E-03,9.76E-03,Habu fault
G030121,POI,29100,-,0,1.03E-03,1.72E-03,Nakayama fault zone
G030122,POI,33100,-,0,9.06E-04,1.51E-03,Mitakesan fault
G030123,POI,9200,-,0,3.26E-03,5.42E-03,Gosho-dani fault zone
G030124,POI,3800,-,0,7.86E-03,1.31E-02,Takatsuka-yama fault
G030125,POI,7900,-,0,3.79E-03,6.31E-03,Shizuki fault zone
G030126,POI,23700,-,0,1.27E-03,2.11E-03,Hansanji fault zone
G030127,POI,6700,-,0,4.47E-03,7.43E-03,Yabu fault zone
G030128,POI,20300,-,0,1.48E-03,2.46E-03,Akenobe-hoppo fault
G030129,POI,16900,-,0,1.77E-03,2.95E-03,Hikihara fault
G030135,POI,36400,-,0,8.24E-04,1.37E-03,Fukuyama fault zone
G030136,POI,33100,-,0,9.06E-04,1.51E-03,Mitsugi fault
G030137,POI,16900,-,0,1.77E-03,2.95E-03,Shobara fault
G030138,POI,18600,-,0,1.61E-03,2.68E-03,Miyoshi fault zone
G030139,POI,4800,-,0,6.23E-03,1.04E-02,Kamine fault
G030143,POI,53000,-,0,5.66E-04,9.43E-04,Shibuki fault
G030144,POI,4100,-,0,7.29E-03,1.21E-02,Tokushima-heiya-nanen fault zone
G030145,POI,92700,-,0,3.24E-04,5.39E-04,Akui-gawa fault zone
G030146,POI,72800,-,0,4.12E-04,6.87E-04,Ebata fault zone
G030147,POI,49600,-,0,6.05E-04,1.01E-03,Takanawa-san-kita fault
G030148,POI,3500,-,0,8.53E-03,1.42E-02,Tsunatsukimori fault
G030150,POI,5400,-,0,5.54E-03,9.22E-03,Gyodo-zaki fault
G030151,POI,17500,-,0,1.71E-03,2.85E-03,Kochi-Agawa
