#
# VER. = 1.0
# DATE = 2017-04-12
#
LND_ANIGT,   1
ANIGT,-7.5,   1,Niigata-ken-hokubu-Oki Earthquake
   1,139.423, 38.737,139.420, 38.740,  0.0, 80.0, 30.0,189.0, 56.0
