#
# VER. = 1.0
# DATE = 2017-04-12
#
PSE_CPCF,   1,   8
   1, 7.6,0.00464,   1
   2, 7.7,0.00357,   1
   3, 7.8,0.00270,   1
   4, 7.9,0.00199,   1
   5, 8.0,0.00141,   1
   6, 8.1,0.00094,   1
   7, 8.2,0.00056,   1
   8, 8.3,0.00025,   1
   1, 80.0, 80.0,   6
   1,141.546, 35.586,141.543, 35.589, 17.4,191.0, 19.0
   2,141.445, 35.306,141.442, 35.309, 18.0,188.0, 19.0
   3,141.336, 35.033,141.333, 35.036, 19.3,184.0, 19.0
   4,141.072, 35.668,141.069, 35.671, 31.1,191.0, 24.0
   5,141.071, 35.368,141.068, 35.371, 28.4,191.0, 24.0
   6,141.019, 35.114,141.016, 35.117, 25.7,184.0, 25.0
