#
# VER. = 1.0
# DATE = 2017-04-12
#
PSE_CPCF,   1,   7
   1, 7.6,0.00368,   1
   2, 7.7,0.00278,   1
   3, 7.8,0.00205,   1
   4, 7.9,0.00145,   1
   5, 8.0,0.00097,   1
   6, 8.1,0.00058,   1
   7, 8.2,0.00026,   1
   1, 80.0, 80.0,   6
   1,143.533, 39.690,143.529, 39.693, 14.9,190.0, 12.0
   2,143.443, 39.376,143.439, 39.379, 15.4,192.0, 12.0
   3,143.119, 39.708,143.115, 39.711, 20.9,189.0, 16.0
   4,143.111, 39.402,143.107, 39.405, 19.6,192.0, 16.0
   5,142.690, 39.740,142.686, 39.743, 29.9,186.0, 19.0
   6,142.753, 39.456,142.749, 39.459, 27.2,188.0, 19.0
