#
# VER. = 1.0
#
# DATE = 2017-04-06
#
# UPDATED
#
# JLON, JLAT, WLON, WLAT
132.0025,  32.6466, 132.0000,  32.6500
132.2855,  32.8136, 132.2830,  32.8170
131.9695,  33.2967, 131.9670,  33.3000
131.5194,  32.8636, 131.5170,  32.8670
131.0694,  32.6796, 131.0670,  32.6830
130.8853,  31.9635, 130.8830,  31.9670
130.5023,  31.0294, 130.5000,  31.0330
131.2693,  30.7464, 131.2670,  30.7500
131.7354,  31.7965, 131.7330,  31.8000
131.7354,  32.1295, 131.7330,  32.1330
132.0025,  32.6466, 132.0000,  32.6500
