#
# VER. = 1.0
# DATE = 2017-04-12
#
PSE_CPCF,   1,   7
   1, 7.6,0.00118,   1
   2, 7.7,0.00089,   1
   3, 7.8,0.00066,   1
   4, 7.9,0.00047,   1
   5, 8.0,0.00031,   1
   6, 8.1,0.00019,   1
   7, 8.2,0.00008,   1
   1, 80.0, 80.0,   6
   1,142.796, 37.257,142.792, 37.260, 45.2,206.0, 13.0
   2,142.441, 37.429,142.437, 37.432, 51.3,201.0, 16.0
   3,142.112, 37.533,142.108, 37.536, 58.6,205.0, 23.0
   4,142.643, 37.138,142.639, 37.141, 45.9,206.0, 14.0
   5,142.301, 37.266,142.297, 37.269, 52.6,204.0, 17.0
   6,141.970, 37.356,141.967, 37.359, 60.9,207.0, 22.0
