#
# VER. = 1.0
#
# DATE = 2017-04-06
#
# UPDATED
#
# JLON, JLAT, WLON, WLAT
138.4531,  36.3799, 138.4500,  36.3830
138.4031,  35.7468, 138.4000,  35.7500
138.4361,  35.3968, 138.4330,  35.4000
138.5861,  35.2137, 138.5830,  35.2170
138.6031,  35.3468, 138.6000,  35.3500
138.8862,  35.4638, 138.8830,  35.4670
139.1702,  35.3637, 139.1670,  35.3670
139.2532,  35.0967, 139.2500,  35.1000
139.9202,  34.7967, 139.9170,  34.8000
140.2202,  34.8137, 140.2170,  34.8170
140.9363,  34.8136, 140.9330,  34.8170
141.2533,  34.7966, 141.2500,  34.8000
141.2363,  35.2637, 141.2330,  35.2670
141.0864,  35.8137, 141.0830,  35.8170
140.1863,  36.0798, 140.1830,  36.0830
139.0862,  36.4799, 139.0830,  36.4830
138.4531,  36.3799, 138.4500,  36.3830
