#
# VER. = 1.0
#
# DATE = 2017-04-06
#
# UPDATED
#
# JLON, JLAT, WLON, WLAT
138.9362,  35.6298, 138.9330,  35.6330
139.1202,  35.8968, 139.1170,  35.9000
139.8033,  36.2798, 139.8000,  36.2830
140.1703,  36.2968, 140.1670,  36.3000
140.4363,  36.3968, 140.4330,  36.4000
140.7203,  36.2138, 140.7170,  36.2170
140.8863,  35.6967, 140.8830,  35.7000
140.8033,  35.4967, 140.8000,  35.5000
140.6033,  35.1637, 140.6000,  35.1670
139.9202,  34.6966, 139.9170,  34.7000
139.6862,  34.6967, 139.6830,  34.7000
139.4532,  34.9137, 139.4500,  34.9170
139.0702,  35.2967, 139.0670,  35.3000
138.9362,  35.3467, 138.9330,  35.3500
138.9362,  35.6298, 138.9330,  35.6330
