#
# VER. = 1.0
# DATE = 2017-04-12
#
PSE_CPCF,   1,   7
   1, 7.6,0.00147,   1
   2, 7.7,0.00111,   1
   3, 7.8,0.00082,   1
   4, 7.9,0.00058,   1
   5, 8.0,0.00039,   1
   6, 8.1,0.00023,   1
   7, 8.2,0.00010,   1
   1, 80.0, 80.0,   6
   1,142.227, 36.521,142.224, 36.524, 45.2,207.0, 16.0
   2,141.905, 36.666,141.902, 36.669, 53.4,204.0, 17.0
   3,141.587, 36.789,141.584, 36.792, 61.6,204.0, 21.0
   4,141.949, 36.165,141.946, 36.168, 44.7,199.0, 17.0
   5,141.642, 36.337,141.639, 36.340, 53.0,195.0, 20.0
   6,141.343, 36.477,141.340, 36.480, 63.1,195.0, 20.0
