#
# VER. = 1.0
#
# DATE = 2017-04-06
#
# UPDATED
#
# JLON, JLAT, WLON, WLAT
132.2195,  33.0796, 132.2170,  33.0830
133.2695,  31.4964, 133.2670,  31.5000
133.7356,  31.7635, 133.7330,  31.7670
134.4697,  32.1135, 134.4670,  32.1170
136.0028,  32.5965, 136.0000,  32.6000
137.5030,  33.2966, 137.5000,  33.3000
138.3360,  33.9636, 138.3330,  33.9670
138.6701,  34.5467, 138.6670,  34.5500
138.6531,  35.1637, 138.6500,  35.1670
138.3531,  35.3798, 138.3500,  35.3830
137.9861,  35.2298, 137.9830,  35.2330
137.2530,  35.6298, 137.2500,  35.6330
135.8199,  35.5298, 135.8170,  35.5330
135.4028,  34.5297, 135.4000,  34.5330
134.5527,  34.2467, 134.5500,  34.2500
133.5026,  34.1467, 133.5000,  34.1500
133.1356,  34.3968, 133.1330,  34.4000
132.8526,  34.4298, 132.8500,  34.4330
132.8526,  33.7297, 132.8500,  33.7330
132.5695,  33.4637, 132.5670,  33.4670
132.2195,  33.0796, 132.2170,  33.0830
