#
# VER. = 1.0
#
# DATE = 2017-04-06
#
# UPDATED
#
# JLON, JLAT, WLON, WLAT
133.6197,  35.5799, 133.6170,  35.5830
133.6697,  35.4299, 133.6670,  35.4330
134.5358,  35.0138, 134.5330,  35.0170
134.9858,  34.7968, 134.9830,  34.8000
135.1358,  34.7968, 135.1330,  34.8000
135.7529,  34.8968, 135.7500,  34.9000
135.9199,  35.4138, 135.9170,  35.4170
135.9199,  35.9299, 135.9170,  35.9330
135.7029,  36.1799, 135.7000,  36.1830
134.8198,  35.8639, 134.8170,  35.8670
133.6197,  35.5799, 133.6170,  35.5830
