#
# VER. = 1.0
#
# DATE = 2017-04-06
#
# UPDATED
#
# JLON, JLAT, WLON, WLAT
139.1702,  35.3637, 139.1670,  35.3670
139.2532,  35.0967, 139.2500,  35.1000
139.2702,  34.8797, 139.2670,  34.8830
139.1861,  34.6137, 139.1830,  34.6170
138.8201,  34.3136, 138.8170,  34.3170
138.4201,  34.1296, 138.4170,  34.1330
138.6361,  34.6797, 138.6330,  34.6830
138.6531,  35.0797, 138.6500,  35.0830
138.5861,  35.2137, 138.5830,  35.2170
138.6031,  35.3468, 138.6000,  35.3500
138.8862,  35.4638, 138.8830,  35.4670
139.1702,  35.3637, 139.1670,  35.3670
