#
# VER. = 1.0
#
# DATE = 2017-04-06
#
# UPDATED
#
# JLON, JLAT, WLON, WLAT
143.6870,  43.2975, 143.6830,  43.3000
143.8209,  42.7975, 143.8170,  42.8000
144.3210,  42.5474, 144.3170,  42.5500
145.5871,  42.9304, 145.5830,  42.9330
147.8544,  43.9645, 147.8500,  43.9670
148.8875,  44.6475, 148.8830,  44.6500
150.0047,  45.1645, 150.0000,  45.1670
150.0047,  45.7306, 150.0000,  45.7330
147.9875,  44.9146, 147.9830,  44.9170
146.4713,  44.2305, 146.4670,  44.2330
144.7871,  43.5145, 144.7830,  43.5170
144.3210,  43.3805, 144.3170,  43.3830
143.6870,  43.2975, 143.6830,  43.3000
