#
# VER. = 1.0
#
# DATE = 2017-04-06
#
# UPDATED
#
# JLON, JLAT, WLON, WLAT
130.9193,  29.8293, 130.9170,  29.8330
131.2693,  30.7464, 131.2670,  30.7500
130.5023,  31.0294, 130.5000,  31.0330
129.6022,  31.3135, 129.6000,  31.3170
128.7351,  31.5965, 128.7330,  31.6000
128.2851,  31.7136, 128.2830,  31.7170
128.0521,  30.9965, 128.0500,  31.0000
127.0019,  29.0463, 127.0000,  29.0500
126.2188,  27.6961, 126.2170,  27.7000
124.8187,  26.3630, 124.8170,  26.3670
123.9686,  25.8290, 123.9670,  25.8330
123.0015,  25.5460, 123.0000,  25.5500
123.0015,  23.9958, 123.0000,  24.0000
123.8016,  23.9958, 123.8000,  24.0000
124.7017,  23.9958, 124.7000,  24.0000
125.6347,  24.2288, 125.6330,  24.2330
127.5019,  25.2959, 127.5000,  25.3000
129.2521,  27.0960, 129.2500,  27.1000
130.2022,  28.4962, 130.2000,  28.5000
130.9193,  29.8293, 130.9170,  29.8330
