#
# VER. = 1.0
#
# DATE = 2017-04-06
#
# UPDATED
#
# MNO, JLG, JLA, WLG, WLA, FRQ, BVL, MMN, ANO, DEP, STR, DIP
    49,150.005, 46.098,150.000, 46.100,0.00000e+00,  0.900, 5.0, 10,126.0,224.0, 58.0
    50,150.105, 46.098,150.100, 46.100,0.00000e+00,  0.900, 5.0, 10,117.1,227.0, 57.0
    51,150.205, 46.098,150.200, 46.100,0.00000e+00,  0.900, 5.0, 10,109.5,230.0, 55.0
    52,150.305, 46.098,150.300, 46.100,0.00000e+00,  0.900, 5.0, 10,103.5,232.0, 53.0
    53,150.405, 46.098,150.400, 46.100,0.00000e+00,  0.900, 5.0, 10, 98.1,233.0, 51.0
    54,150.505, 46.098,150.500, 46.100,0.00000e+00,  0.900, 5.0, 10, 92.9,232.0, 50.0
    55,150.605, 46.098,150.600, 46.100,0.00000e+00,  0.900, 5.0, 10, 87.8,232.0, 48.0
    56,150.705, 46.098,150.700, 46.100,0.00000e+00,  0.900, 5.0, 10, 82.7,231.0, 47.0
    57,150.805, 46.098,150.800, 46.100,0.00000e+00,  0.900, 5.0, 10, 77.4,230.0, 45.0
    58,150.905, 46.098,150.900, 46.100,0.00000e+00,  0.900, 5.0, 10, 71.9,229.0, 43.0
    59,151.005, 46.098,151.000, 46.100,0.00000e+00,  0.900, 5.0, 10, 66.5,229.0, 42.0
    60,151.105, 46.098,151.100, 46.100,8.56540e-03,  0.900, 5.0,  1, 61.9,228.0, 40.0
    61,151.205, 46.098,151.200, 46.100,8.94886e-03,  0.900, 5.0,  1, 57.6,229.0, 38.0
    62,151.305, 46.098,151.300, 46.100,9.42921e-03,  0.900, 5.0,  1, 53.9,230.0, 35.0
    63,151.405, 46.098,151.400, 46.100,9.95520e-03,  0.900, 5.0,  1, 51.0,231.0, 33.0
    64,151.505, 46.098,151.500, 46.100,1.04743e-02,  0.900, 5.0,  1, 48.2,231.0, 32.0
    65,151.605, 46.098,151.600, 46.100,1.09487e-02,  0.900, 5.0,  1, 45.7,231.0, 29.0
    66,151.705, 46.098,151.700, 46.100,1.13600e-02,  0.900, 5.0,  1, 43.2,230.0, 28.0
    67,149.705, 45.998,149.700, 46.000,0.00000e+00,  0.900, 5.0, 10,145.7,225.0, 54.0
    68,149.805, 45.998,149.800, 46.000,0.00000e+00,  0.900, 5.0, 10,136.4,225.0, 56.0
    69,149.905, 45.998,149.900, 46.000,0.00000e+00,  0.900, 5.0, 10,123.7,226.0, 58.0
    70,150.005, 45.998,150.000, 46.000,0.00000e+00,  0.900, 5.0, 10,113.7,229.0, 58.0
    71,150.105, 45.998,150.100, 46.000,0.00000e+00,  0.900, 5.0, 10,105.3,231.0, 57.0
    72,150.205, 45.998,150.200, 46.000,0.00000e+00,  0.900, 5.0, 10, 97.7,232.0, 54.0
    73,150.305, 45.998,150.300, 46.000,0.00000e+00,  0.900, 5.0, 10, 92.6,233.0, 52.0
    74,150.405, 45.998,150.400, 46.000,0.00000e+00,  0.900, 5.0, 10, 87.7,233.0, 49.0
    75,150.505, 45.998,150.500, 46.000,0.00000e+00,  0.900, 5.0, 10, 82.8,233.0, 47.0
    76,150.605, 45.998,150.600, 46.000,0.00000e+00,  0.900, 5.0, 10, 78.1,233.0, 46.0
    77,150.705, 45.998,150.700, 46.000,0.00000e+00,  0.900, 5.0, 10, 73.6,232.0, 44.0
    78,150.805, 45.998,150.800, 46.000,0.00000e+00,  0.900, 5.0, 10, 68.9,231.0, 42.0
    79,150.905, 45.998,150.900, 46.000,8.81775e-03,  0.900, 5.0,  1, 63.7,229.0, 40.0
    80,151.005, 45.998,151.000, 46.000,9.03758e-03,  0.900, 5.0,  1, 58.3,229.0, 38.0
    81,151.105, 45.998,151.100, 46.000,9.40787e-03,  0.900, 5.0,  1, 55.1,229.0, 37.0
    82,151.205, 45.998,151.200, 46.000,9.92677e-03,  0.900, 5.0,  1, 52.0,230.0, 35.0
    83,151.305, 45.998,151.300, 46.000,1.05374e-02,  0.900, 5.0,  1, 49.0,231.0, 32.0
    84,151.405, 45.998,151.400, 46.000,1.11632e-02,  0.900, 5.0,  1, 46.2,231.0, 31.0
    85,151.505, 45.998,151.500, 46.000,1.17388e-02,  0.900, 5.0,  1, 43.6,231.0, 29.0
    86,151.605, 45.998,151.600, 46.000,1.22200e-02,  0.900, 5.0,  1, 41.1,231.0, 28.0
    87,151.705, 45.998,151.700, 46.000,1.25834e-02,  0.900, 5.0,  1, 38.7,231.0, 28.0
    88,151.805, 45.998,151.800, 46.000,1.28277e-02,  0.900, 5.0,  1, 36.1,230.0, 27.0
    89,149.505, 45.898,149.500, 45.900,0.00000e+00,  0.900, 5.0, 10,145.6,231.0, 55.0
    90,149.605, 45.898,149.600, 45.900,0.00000e+00,  0.900, 5.0, 10,136.2,229.0, 58.0
    91,149.705, 45.898,149.700, 45.900,0.00000e+00,  0.900, 5.0, 10,127.6,229.0, 59.0
    92,149.805, 45.898,149.800, 45.900,0.00000e+00,  0.900, 5.0, 10,116.7,229.0, 59.0
    93,149.905, 45.898,149.900, 45.900,0.00000e+00,  0.900, 5.0, 10,106.9,231.0, 57.0
    94,150.005, 45.898,150.000, 45.900,0.00000e+00,  0.900, 5.0, 10,100.3,233.0, 56.0
    95,150.105, 45.898,150.100, 45.900,0.00000e+00,  0.900, 5.0, 10, 94.0,234.0, 54.0
    96,150.205, 45.898,150.200, 45.900,0.00000e+00,  0.900, 5.0, 10, 88.0,234.0, 52.0
    97,150.305, 45.898,150.300, 45.900,0.00000e+00,  0.900, 5.0, 10, 82.9,234.0, 48.0
    98,150.405, 45.898,150.400, 45.900,0.00000e+00,  0.900, 5.0, 10, 77.9,233.0, 46.0
    99,150.505, 45.898,150.500, 45.900,0.00000e+00,  0.900, 5.0, 10, 72.8,233.0, 44.0
   100,150.605, 45.898,150.600, 45.900,0.00000e+00,  0.900, 5.0, 10, 68.5,232.0, 42.0
   101,150.705, 45.898,150.700, 45.900,9.25618e-03,  0.900, 5.0,  1, 65.0,232.0, 41.0
   102,150.805, 45.898,150.800, 45.900,9.42276e-03,  0.900, 5.0,  1, 61.2,232.0, 39.0
   103,150.905, 45.898,150.900, 45.900,9.60302e-03,  0.900, 5.0,  1, 57.0,230.0, 36.0
   104,151.005, 45.898,151.000, 45.900,9.90567e-03,  0.900, 5.0,  1, 52.9,230.0, 35.0
   105,151.105, 45.898,151.100, 45.900,1.03862e-02,  0.900, 5.0,  1, 49.7,230.0, 33.0
   106,151.205, 45.898,151.200, 45.900,1.10146e-02,  0.900, 5.0,  1, 46.9,231.0, 32.0
   107,151.305, 45.898,151.300, 45.900,1.17056e-02,  0.900, 5.0,  1, 44.2,231.0, 30.0
   108,151.405, 45.898,151.400, 45.900,1.23677e-02,  0.900, 5.0,  1, 41.5,231.0, 28.0
   109,151.505, 45.898,151.500, 45.900,1.29314e-02,  0.900, 5.0,  1, 39.0,231.0, 28.0
   110,151.605, 45.898,151.600, 45.900,1.33468e-02,  0.900, 5.0,  1, 36.6,231.0, 27.0
   111,151.705, 45.898,151.700, 45.900,1.35842e-02,  0.900, 5.0,  1, 34.2,231.0, 27.0
   112,151.805, 45.898,151.800, 45.900,1.36441e-02,  0.900, 5.0,  1, 31.7,231.0, 25.0
   113,151.905, 45.898,151.900, 45.900,1.35605e-02,  0.900, 5.0,  1, 29.2,231.0, 25.0
   114,149.305, 45.798,149.300, 45.800,0.00000e+00,  0.900, 5.0, 10,146.1,233.0, 56.0
   115,149.405, 45.798,149.400, 45.800,0.00000e+00,  0.900, 5.0, 10,140.8,233.0, 57.0
   116,149.505, 45.798,149.500, 45.800,0.00000e+00,  0.900, 5.0, 10,129.4,233.0, 58.0
   117,149.605, 45.798,149.600, 45.800,0.00000e+00,  0.900, 5.0, 10,119.4,232.0, 59.0
   118,149.705, 45.798,149.700, 45.800,0.00000e+00,  0.900, 5.0, 10,110.5,233.0, 59.0
   119,149.805, 45.798,149.800, 45.800,0.00000e+00,  0.900, 5.0, 10,100.5,232.0, 57.0
   120,149.905, 45.798,149.900, 45.800,0.00000e+00,  0.900, 5.0, 10, 92.9,233.0, 54.0
   121,150.005, 45.798,150.000, 45.800,0.00000e+00,  0.900, 5.0, 10, 88.3,234.0, 52.0
   122,150.105, 45.798,150.100, 45.800,0.00000e+00,  0.900, 5.0, 10, 83.5,235.0, 50.0
   123,150.205, 45.798,150.200, 45.800,0.00000e+00,  0.900, 5.0, 10, 78.7,234.0, 47.0
   124,150.305, 45.798,150.300, 45.800,0.00000e+00,  0.900, 5.0, 10, 74.0,234.0, 45.0
   125,150.405, 45.798,150.400, 45.800,0.00000e+00,  0.900, 5.0, 10, 69.1,233.0, 42.0
   126,150.505, 45.798,150.500, 45.800,9.24115e-03,  0.900, 5.0,  1, 63.7,232.0, 40.0
   127,150.605, 45.798,150.600, 45.800,9.63227e-03,  0.900, 5.0,  1, 59.8,233.0, 38.0
   128,150.705, 45.798,150.700, 45.800,9.95596e-03,  0.900, 5.0,  1, 57.4,232.0, 37.0
   129,150.805, 45.798,150.800, 45.800,1.02243e-02,  0.900, 5.0,  1, 54.5,231.0, 35.0
   130,150.905, 45.798,150.900, 45.800,1.05153e-02,  0.900, 5.0,  1, 51.1,231.0, 32.0
   131,151.005, 45.798,151.000, 45.800,1.09082e-02,  0.900, 5.0,  1, 47.8,231.0, 32.0
   132,151.105, 45.798,151.100, 45.800,1.14221e-02,  0.900, 5.0,  1, 44.9,231.0, 31.0
   133,151.205, 45.798,151.200, 45.800,1.20079e-02,  0.900, 5.0,  1, 42.2,232.0, 30.0
   134,151.305, 45.798,151.300, 45.800,1.25938e-02,  0.900, 5.0,  1, 39.6,232.0, 29.0
   135,151.405, 45.798,151.400, 45.800,1.31230e-02,  0.900, 5.0,  1, 37.0,231.0, 27.0
   136,151.505, 45.798,151.500, 45.800,1.35541e-02,  0.900, 5.0,  1, 34.6,231.0, 26.0
   137,151.605, 45.798,151.600, 45.800,1.38396e-02,  0.900, 5.0,  1, 32.2,231.0, 25.0
   138,151.705, 45.798,151.700, 45.800,1.39338e-02,  0.900, 5.0,  1, 29.7,231.0, 25.0
   139,151.805, 45.798,151.800, 45.800,1.38278e-02,  0.900, 5.0,  1, 27.5,231.0, 24.0
   140,151.905, 45.798,151.900, 45.800,1.35696e-02,  0.900, 5.0,  1, 25.2,231.0, 22.0
   141,152.005, 45.798,152.000, 45.800,1.32426e-02,  0.900, 5.0,  1, 22.8,231.0, 19.0
   142,149.105, 45.698,149.100, 45.700,0.00000e+00,  0.900, 5.0, 10,147.1,233.0, 56.0
   143,149.205, 45.698,149.200, 45.700,0.00000e+00,  0.900, 5.0, 10,136.8,233.0, 60.0
   144,149.305, 45.698,149.300, 45.700,0.00000e+00,  0.900, 5.0, 10,128.6,234.0, 60.0
   145,149.405, 45.698,149.400, 45.700,0.00000e+00,  0.900, 5.0, 10,119.4,234.0, 60.0
   146,149.505, 45.698,149.500, 45.700,0.00000e+00,  0.900, 5.0, 10,108.3,233.0, 58.0
   147,149.605, 45.698,149.600, 45.700,0.00000e+00,  0.900, 5.0, 10,101.8,233.0, 57.0
   148,149.705, 45.698,149.700, 45.700,0.00000e+00,  0.900, 5.0, 10, 95.8,234.0, 55.0
   149,149.805, 45.698,149.800, 45.700,0.00000e+00,  0.900, 5.0, 10, 89.1,235.0, 53.0
   150,149.905, 45.698,149.900, 45.700,0.00000e+00,  0.900, 5.0, 10, 83.1,234.0, 50.0
   151,150.005, 45.698,150.000, 45.700,0.00000e+00,  0.900, 5.0, 10, 78.2,234.0, 48.0
   152,150.105, 45.698,150.100, 45.700,0.00000e+00,  0.900, 5.0, 10, 73.8,234.0, 46.0
   153,150.205, 45.698,150.200, 45.700,0.00000e+00,  0.900, 5.0, 10, 69.8,234.0, 43.0
   154,150.305, 45.698,150.300, 45.700,9.40978e-03,  0.900, 5.0,  1, 65.9,233.0, 41.0
   155,150.405, 45.698,150.400, 45.700,9.56177e-03,  0.900, 5.0,  1, 61.6,234.0, 39.0
   156,150.505, 45.698,150.500, 45.700,9.87410e-03,  0.900, 5.0,  1, 57.2,233.0, 37.0
   157,150.605, 45.698,150.600, 45.700,1.02807e-02,  0.900, 5.0,  1, 53.7,233.0, 36.0
   158,150.705, 45.698,150.700, 45.700,1.07200e-02,  0.900, 5.0,  1, 51.2,233.0, 34.0
   159,150.805, 45.698,150.800, 45.700,1.11743e-02,  0.900, 5.0,  1, 48.6,232.0, 32.0
   160,150.905, 45.698,150.900, 45.700,1.16502e-02,  0.900, 5.0,  1, 45.7,232.0, 30.0
   161,151.005, 45.698,151.000, 45.700,1.21390e-02,  0.900, 5.0,  1, 42.7,232.0, 29.0
   162,151.105, 45.698,151.100, 45.700,1.25946e-02,  0.900, 5.0,  1, 40.1,232.0, 28.0
   163,151.205, 45.698,151.200, 45.700,1.29659e-02,  0.900, 5.0,  1, 37.7,232.0, 27.0
   164,151.305, 45.698,151.300, 45.700,1.32402e-02,  0.900, 5.0,  1, 35.2,231.0, 27.0
   165,151.405, 45.698,151.400, 45.700,1.34480e-02,  0.900, 5.0,  1, 32.7,231.0, 26.0
   166,151.505, 45.698,151.500, 45.700,1.36148e-02,  0.900, 5.0,  1, 30.3,231.0, 25.0
   167,151.605, 45.698,151.600, 45.700,1.37135e-02,  0.900, 5.0,  1, 27.9,231.0, 23.0
   168,151.705, 45.698,151.700, 45.700,1.36788e-02,  0.900, 5.0,  1, 25.4,231.0, 22.0
   169,151.805, 45.697,151.800, 45.700,1.34750e-02,  0.900, 5.0,  1, 23.4,231.0, 21.0
   170,151.905, 45.697,151.900, 45.700,1.31410e-02,  0.900, 5.0,  1, 21.8,231.0, 19.0
   171,152.005, 45.697,152.000, 45.700,1.27651e-02,  0.900, 5.0,  1, 20.1,232.0, 18.0
   172,152.105, 45.697,152.100, 45.700,1.24233e-02,  0.900, 5.0,  1, 18.4,230.0, 14.0
   173,148.905, 45.598,148.900, 45.600,0.00000e+00,  0.900, 5.0, 10,148.7,233.0, 57.0
   174,149.005, 45.598,149.000, 45.600,0.00000e+00,  0.900, 5.0, 10,142.6,233.0, 58.0
   175,149.105, 45.598,149.100, 45.600,0.00000e+00,  0.900, 5.0, 10,129.0,233.0, 59.0
   176,149.205, 45.598,149.200, 45.600,0.00000e+00,  0.900, 5.0, 10,119.0,234.0, 60.0
   177,149.305, 45.598,149.300, 45.600,0.00000e+00,  0.900, 5.0, 10,111.1,235.0, 59.0
   178,149.405, 45.598,149.400, 45.600,0.00000e+00,  0.900, 5.0, 10,102.0,235.0, 58.0
   179,149.505, 45.598,149.500, 45.600,0.00000e+00,  0.900, 5.0, 10, 92.3,233.0, 54.0
