#
# VER. = 1.0
# DATE = 2017-04-12
#
PLE_ASKTN,   1
ASKTN,-7.8, 25.0, 262,Shikotanto-Oki Earthquake
 121,147.304, 43.173,147.300, 43.176, 19.6
 122,147.369, 43.119,147.365, 43.122, 17.9
 123,147.434, 43.065,147.430, 43.068, 16.6
 124,147.500, 43.011,147.496, 43.014, 15.4
 125,147.377, 43.221,147.373, 43.224, 19.5
 126,147.443, 43.167,147.439, 43.170, 17.9
 127,147.508, 43.113,147.504, 43.116, 16.6
 128,147.573, 43.059,147.569, 43.062, 15.5
 129,147.639, 43.005,147.635, 43.008, 14.3
 130,147.451, 43.269,147.447, 43.272, 19.2
 131,147.516, 43.215,147.512, 43.218, 17.9
 132,147.582, 43.161,147.578, 43.164, 16.7
 133,147.647, 43.107,147.643, 43.110, 15.6
 134,147.712, 43.053,147.708, 43.056, 14.4
 135,147.778, 42.999,147.774, 43.002, 13.3
 136,147.524, 43.316,147.520, 43.319, 19.7
 137,147.590, 43.263,147.586, 43.266, 18.2
 138,147.655, 43.209,147.651, 43.212, 16.9
 139,147.721, 43.155,147.717, 43.158, 15.7
 140,147.786, 43.101,147.782, 43.104, 14.5
 141,147.852, 43.047,147.848, 43.050, 13.4
 142,147.598, 43.364,147.594, 43.367, 20.3
 143,147.663, 43.310,147.659, 43.313, 18.5
 144,147.729, 43.257,147.725, 43.260, 17.1
 145,147.794, 43.203,147.790, 43.206, 15.8
 146,147.860, 43.149,147.856, 43.152, 14.6
 147,147.925, 43.095,147.921, 43.098, 13.5
 148,147.991, 43.041,147.987, 43.044, 12.4
 149,147.671, 43.412,147.667, 43.415, 20.6
 150,147.737, 43.358,147.733, 43.361, 18.7
 151,147.802, 43.304,147.798, 43.307, 17.1
 152,147.868, 43.251,147.864, 43.254, 15.8
 153,147.934, 43.197,147.930, 43.200, 14.7
 154,147.999, 43.143,147.995, 43.146, 13.5
 155,148.065, 43.089,148.061, 43.092, 12.4
