#
# VER. = 1.0
# DATE = 2017-04-12
#
LND_AGR1, 151
G030001, 6.6,   1,Rausu-dake fault zone
G030046, 6.8,   1,Numakoshi-toge fault
   1,139.368, 37.781,139.365, 37.784,  3.0, 15.6, 15.0,207.3, 90.0
G030047, 6.6,   1,Yoshinoya fault
   1,139.053, 37.650,139.050, 37.653,  3.0, 11.8, 12.0,228.7, 90.0
G030048, 7.1,   1,Yukyu-zan fault zone
   1,138.936, 37.490,138.933, 37.493,  3.0, 21.7, 15.0,211.7, 90.0
G030049, 6.6,   1,Jorakuji fault
   1,138.746, 37.534,138.743, 37.537,  3.0, 10.8, 11.0,211.2, 90.0
G030050, 6.7,   1,Osado-segan fault zone
   1,138.410, 38.240,138.407, 38.243,  3.0, 13.6, 14.0,221.0, 90.0
G030051, 6.5,   1,Kuninaka-heiya-minami fault
   1,138.430, 37.998,138.427, 38.001,  3.0,  9.9, 10.0,233.7, 90.0
G030053, 6.5,   1,Hirataki-Busuno-toge fault
   1,138.453, 37.014,138.450, 37.017,  3.0, 10.3, 10.0,111.4, 90.0
G030056, 6.6,   1,Togakushi-yama fault
   1,138.098, 36.789,138.095, 36.792,  3.0, 11.4, 11.0,229.6, 90.0
G030057, 7.2,   1,Jonen-dake-higashi fault zone
   1,137.803, 36.497,137.800, 36.500,  3.0, 28.1, 15.0,174.2, 90.0
G030059, 6.8,   1,Saotome-dake fault
   1,137.603, 36.657,137.600, 36.660,  3.0, 16.1, 15.0,236.5, 90.0
G030060, 6.9,   1,Noto fault zone
   1,137.138, 37.312,137.135, 37.315,  3.0, 18.0, 15.0,223.1, 90.0
G030061, 7.0,   2,Kirigamine fault zone
   1,138.176, 36.154,138.173, 36.157,  3.0, 18.6, 15.0,119.5, 90.0
   2,138.356, 36.071,138.353, 36.074,  3.0,  1.7, 15.0,178.8, 90.0
G030062, 6.8,   2,Kamogawa-techi fault zone kita fault
   1,139.980, 35.137,139.977, 35.140,  3.0,  7.1, 15.0,263.7, 90.0
   2,139.903, 35.130,139.900, 35.133,  3.0,  7.8, 15.0,284.0, 90.0
G030064, 7.2,   1,Tsurukawa fault
   1,138.836, 35.803,138.833, 35.806,  3.0, 28.4, 15.0,122.4, 90.0
G030065, 7.0,   3,Ogiyama fault
   1,139.099, 35.642,139.096, 35.645,  3.0,  8.8, 15.0,251.2, 90.0
   2,139.007, 35.617,139.004, 35.620,  3.0,  5.1, 15.0,286.2, 90.0
   3,138.953, 35.630,138.950, 35.633,  3.0,  7.1, 15.0,237.5, 90.0
G030067, 6.7,   1,Hadano fault zone
   1,139.099, 35.368,139.096, 35.371,  3.0, 13.3, 13.0, 94.4, 90.0
G030069, 6.7,   1,Tanna fault zone nantan group
   1,138.937, 34.964,138.934, 34.967,  3.0, 14.8, 14.0,122.7, 90.0
G030070, 6.6,   2,Daruma-yama fault zone
   1,138.823, 35.017,138.820, 35.020,  3.0,  8.5, 11.0,190.0, 90.0
   2,138.807, 34.941,138.804, 34.944,  3.0,  2.0, 11.0,144.6, 90.0
G030072, 6.6,   2,Nihondaira fault zone
   1,138.435, 34.945,138.432, 34.948,  3.0,  5.3, 12.0,  8.2, 90.0
