#
# VER. = 1.0
# DATE = 2017-04-12
#
LND_AHKDW,   1
AHKDW,-7.5,   1,Hokkaido-seiho-Oki Earthquake
   1,139.534, 43.728,139.530, 43.730,  0.0,100.0, 35.0,347.0, 40.0
