#
# VER. = 1.0
#
# DATE = 2017-04-06
#
# UPDATED
#
# JLON, JLAT, WLON, WLAT
139.2033,  38.2471, 139.2000,  38.2500
137.8361,  37.0640, 137.8330,  37.0670
137.8701,  36.8969, 137.8670,  36.9000
137.8701,  36.4799, 137.8670,  36.4830
137.9861,  36.2299, 137.9830,  36.2330
138.0201,  36.4969, 138.0170,  36.5000
138.2861,  36.7299, 138.2830,  36.7330
138.4362,  36.9969, 138.4330,  37.0000
138.6862,  36.9969, 138.6830,  37.0000
139.2363,  37.7970, 139.2330,  37.8000
139.2033,  38.2471, 139.2000,  38.2500
