#
# VER. = 1.0
#
# DATE = 2017-04-06
#
# UPDATED
#
# JLON, JLAT, WLON, WLAT
128.6522,  33.0797, 128.6500,  33.0830
129.3523,  33.8138, 129.3500,  33.8170
130.0693,  34.2968, 130.0670,  34.3000
130.6854,  34.4638, 130.6830,  34.4670
132.4856,  35.2799, 132.4830,  35.2830
133.2697,  35.5139, 133.2670,  35.5170
133.6197,  35.5799, 133.6170,  35.5830
133.8197,  36.2970, 133.8170,  36.3000
133.7197,  36.6300, 133.7170,  36.6330
133.4197,  36.7800, 133.4170,  36.7830
133.5697,  37.0641, 133.5670,  37.0670
133.1857,  37.5801, 133.1830,  37.5830
132.6527,  37.6472, 132.6500,  37.6500
132.3856,  37.3971, 132.3830,  37.4000
131.7526,  37.3802, 131.7500,  37.3830
131.8026,  37.1301, 131.8000,  37.1330
132.4526,  36.9641, 132.4500,  36.9670
132.3696,  36.1800, 132.3670,  36.1830
129.9194,  35.7470, 129.9170,  35.7500
129.1022,  34.2298, 129.1000,  34.2330
128.6522,  33.0797, 128.6500,  33.0830
