#
# VER. = 1.0
#
# DATE = 2017-04-06
#
# UPDATED
#
# JLON, JLAT, WLON, WLAT
152.6379,  45.2804, 152.6330,  45.2830
149.6045,  43.5973, 149.6000,  43.6000
147.6713,  42.4643, 147.6670,  42.4670
146.3711,  41.7803, 146.3670,  41.7830
144.6539,  40.9972, 144.6500,  41.0000
145.6710,  40.5801, 145.6670,  40.5830
147.1711,  41.2972, 147.1670,  41.3000
148.4043,  41.9972, 148.4000,  42.0000
150.4045,  43.1473, 150.4000,  43.1500
153.2049,  44.7643, 153.2000,  44.7670
152.6379,  45.2804, 152.6330,  45.2830
