#
# VER. = 1.0
#
# DATE = 2017-04-06
#
# UPDATED
#
# MNO, JLG, JLA, WLG, WLA, FRQ, BVL, MMN, ANO, DEP, STR, DIP
    49,136.503, 35.297,136.500, 35.300,2.19911e-04,  0.900, 5.0,  1, 45.2,210.0, 17.0
    50,136.603, 35.297,136.600, 35.300,2.41974e-04,  0.900, 5.0,  1, 41.3,214.0, 16.0
    51,136.703, 35.297,136.700, 35.300,2.69141e-04,  0.900, 5.0,  1, 38.7,207.0, 15.0
    52,136.803, 35.297,136.800, 35.300,2.96324e-04,  0.900, 5.0,  1, 38.0,242.0, 12.0
    53,136.903, 35.297,136.900, 35.300,3.15968e-04,  0.900, 5.0,  1, 38.5,275.0, 13.0
    54,137.003, 35.297,137.000, 35.300,3.23968e-04,  0.900, 5.0,  1, 41.0,299.0, 21.0
    55,137.103, 35.297,137.100, 35.300,3.24311e-04,  0.900, 5.0,  1, 43.2,294.0, 24.0
    56,137.203, 35.297,137.200, 35.300,3.26168e-04,  0.900, 5.0,  1, 44.9,286.0, 24.0
    57,137.303, 35.297,137.300, 35.300,3.33880e-04,  0.900, 5.0,  1, 46.1,279.0, 26.0
    58,137.403, 35.297,137.400, 35.300,3.39977e-04,  0.900, 5.0,  1, 46.6,272.0, 26.0
    59,137.503, 35.297,137.500, 35.300,3.31670e-04,  0.900, 5.0,  1, 46.5,263.0, 27.0
    60,137.603, 35.297,137.600, 35.300,3.06370e-04,  0.900, 5.0,  1, 45.6,254.0, 26.0
    61,137.703, 35.297,137.700, 35.300,2.79265e-04,  0.900, 5.0,  1, 43.9,246.0, 26.0
    62,137.803, 35.297,137.800, 35.300,2.73723e-04,  0.900, 5.0,  1, 41.4,238.0, 26.0
    63,138.203, 35.297,138.200, 35.300,3.21093e-04,  0.900, 5.0,  1, 27.1,222.0, 26.0
    64,138.303, 35.297,138.300, 35.300,2.73632e-04,  0.900, 5.0,  1, 21.8,218.0, 24.0
    65,138.403, 35.297,138.400, 35.300,2.25373e-04,  0.900, 5.0,  1, 18.1,225.0, 23.0
    66,135.703, 35.197,135.700, 35.200,1.10877e-04,  0.900, 5.0,  1, 78.7,208.0, 28.0
    67,135.803, 35.197,135.800, 35.200,1.13871e-04,  0.900, 5.0,  1, 73.5,206.0, 27.0
    68,135.903, 35.197,135.900, 35.200,1.19333e-04,  0.900, 5.0,  1, 68.2,204.0, 26.0
    69,136.003, 35.197,136.000, 35.200,1.27618e-04,  0.900, 5.0,  1, 63.0,202.0, 25.0
    70,136.103, 35.197,136.100, 35.200,1.37754e-04,  0.900, 5.0,  1, 58.3,203.0, 24.0
    71,136.203, 35.197,136.200, 35.200,1.48042e-04,  0.900, 5.0,  1, 54.4,203.0, 23.0
    72,136.303, 35.197,136.300, 35.200,1.58167e-04,  0.900, 5.0,  1, 50.7,202.0, 22.0
    73,136.403, 35.197,136.400, 35.200,1.70191e-04,  0.900, 5.0,  1, 47.2,204.0, 20.0
    74,136.503, 35.197,136.500, 35.200,1.87614e-04,  0.900, 5.0,  1, 43.8,201.0, 18.0
    75,136.603, 35.197,136.600, 35.200,2.14207e-04,  0.900, 5.0,  1, 40.6,203.0, 17.0
    76,136.703, 35.197,136.700, 35.200,2.51349e-04,  0.900, 5.0,  1, 38.3,207.0, 15.0
    77,136.803, 35.197,136.800, 35.200,2.93476e-04,  0.900, 5.0,  1, 37.0,218.0, 14.0
    78,136.903, 35.197,136.900, 35.200,3.28347e-04,  0.900, 5.0,  1, 37.0,251.0,  5.0
    79,137.003, 35.197,137.000, 35.200,3.46496e-04,  0.900, 5.0,  1, 38.1,297.0, 15.0
    80,137.103, 35.197,137.100, 35.200,3.50797e-04,  0.900, 5.0,  1, 39.1,292.0, 17.0
    81,137.203, 35.197,137.200, 35.200,3.53904e-04,  0.900, 5.0,  1, 39.9,283.0, 17.0
    82,137.303, 35.197,137.300, 35.200,3.63412e-04,  0.900, 5.0,  1, 40.2,276.0, 19.0
    83,137.403, 35.197,137.400, 35.200,3.71165e-04,  0.900, 5.0,  1, 40.5,270.0, 20.0
    84,137.503, 35.197,137.500, 35.200,3.62278e-04,  0.900, 5.0,  1, 40.5,263.0, 21.0
    85,137.603, 35.197,137.600, 35.200,3.35920e-04,  0.900, 5.0,  1, 39.7,255.0, 21.0
    86,137.703, 35.197,137.700, 35.200,3.13170e-04,  0.900, 5.0,  1, 38.7,246.0, 21.0
    87,137.803, 35.197,137.800, 35.200,3.21216e-04,  0.900, 5.0,  1, 36.9,236.0, 21.0
    88,137.903, 35.197,137.900, 35.200,3.66155e-04,  0.900, 5.0,  1, 34.3,229.0, 22.0
    89,138.003, 35.197,138.000, 35.200,4.18407e-04,  0.900, 5.0,  1, 31.4,223.0, 22.0
    90,138.103, 35.197,138.100, 35.200,4.35346e-04,  0.900, 5.0,  1, 28.0,219.0, 23.0
    91,138.203, 35.197,138.200, 35.200,4.02530e-04,  0.900, 5.0,  1, 23.2,215.0, 22.0
    92,138.303, 35.197,138.300, 35.200,3.38376e-04,  0.900, 5.0,  1, 18.4,210.0, 21.0
    93,138.403, 35.197,138.400, 35.200,2.68861e-04,  0.900, 5.0,  1, 15.2,210.0, 19.0
    94,138.503, 35.197,138.500, 35.200,2.11968e-04,  0.900, 5.0,  1, 12.6,215.0, 17.0
    95,138.603, 35.197,138.600, 35.200,1.78907e-04,  0.900, 5.0,  1, 10.3,220.0, 16.0
    96,135.703, 35.097,135.700, 35.100,1.12254e-04,  0.900, 5.0,  1, 75.7,207.0, 25.0
    97,135.803, 35.097,135.800, 35.100,1.14961e-04,  0.900, 5.0,  1, 70.8,204.0, 25.0
    98,135.903, 35.097,135.900, 35.100,1.18790e-04,  0.900, 5.0,  1, 65.8,202.0, 24.0
    99,136.003, 35.097,136.000, 35.100,1.23248e-04,  0.900, 5.0,  1, 60.7,200.0, 24.0
   100,136.103, 35.097,136.100, 35.100,1.27656e-04,  0.900, 5.0,  1, 56.6,200.0, 24.0
   101,136.203, 35.097,136.200, 35.100,1.32069e-04,  0.900, 5.0,  1, 52.9,200.0, 23.0
   102,136.303, 35.097,136.300, 35.100,1.37794e-04,  0.900, 5.0,  1, 49.5,201.0, 22.0
   103,136.403, 35.097,136.400, 35.100,1.46828e-04,  0.900, 5.0,  1, 46.3,201.0, 20.0
   104,136.503, 35.097,136.500, 35.100,1.61759e-04,  0.900, 5.0,  1, 43.3,201.0, 18.0
   105,136.603, 35.097,136.600, 35.100,1.86439e-04,  0.900, 5.0,  1, 40.7,203.0, 17.0
   106,136.703, 35.097,136.700, 35.100,2.23769e-04,  0.900, 5.0,  1, 38.4,207.0, 15.0
   107,136.803, 35.097,136.800, 35.100,2.69831e-04,  0.900, 5.0,  1, 36.8,218.0, 14.0
   108,136.903, 35.097,136.900, 35.100,3.12279e-04,  0.900, 5.0,  1, 36.3,232.0, 10.0
   109,137.003, 35.097,137.000, 35.100,3.39462e-04,  0.900, 5.0,  1, 36.6,248.0,  4.0
   110,137.103, 35.097,137.100, 35.100,3.52161e-04,  0.900, 5.0,  1, 37.0,262.0,  5.0
   111,137.203, 35.097,137.200, 35.100,3.63480e-04,  0.900, 5.0,  1, 37.3,277.0, 11.0
   112,137.303, 35.097,137.300, 35.100,3.83391e-04,  0.900, 5.0,  1, 37.3,268.0, 12.0
   113,137.403, 35.097,137.400, 35.100,4.04349e-04,  0.900, 5.0,  1, 37.2,262.0, 13.0
   114,137.503, 35.097,137.500, 35.100,4.08276e-04,  0.900, 5.0,  1, 36.8,253.0, 13.0
   115,137.603, 35.097,137.600, 35.100,3.90524e-04,  0.900, 5.0,  1, 36.1,249.0, 16.0
   116,137.703, 35.097,137.700, 35.100,3.72028e-04,  0.900, 5.0,  1, 34.9,239.0, 16.0
   117,137.803, 35.097,137.800, 35.100,3.82178e-04,  0.900, 5.0,  1, 33.2,232.0, 18.0
   118,137.903, 35.097,137.900, 35.100,4.27635e-04,  0.900, 5.0,  1, 30.9,225.0, 19.0
   119,138.003, 35.097,138.000, 35.100,4.79265e-04,  0.900, 5.0,  1, 27.9,220.0, 20.0
   120,138.103, 35.097,138.100, 35.100,4.95559e-04,  0.900, 5.0,  1, 24.3,215.0, 21.0
   121,138.203, 35.097,138.200, 35.100,4.59286e-04,  0.900, 5.0,  1, 20.3,210.0, 21.0
   122,138.303, 35.097,138.300, 35.100,3.85922e-04,  0.900, 5.0,  1, 16.5,207.0, 19.0
   123,138.403, 35.097,138.400, 35.100,3.03786e-04,  0.900, 5.0,  1, 13.3,205.0, 17.0
   124,138.503, 35.097,138.500, 35.100,2.34287e-04,  0.900, 5.0,  1, 10.7,205.0, 16.0
   125,138.603, 35.097,138.600, 35.100,1.86359e-04,  0.900, 5.0,  1,  8.5,203.0, 13.0
   126,135.603, 34.997,135.600, 35.000,1.14763e-04,  0.900, 5.0,  1, 77.7,209.0, 24.0
   127,135.703, 34.997,135.700, 35.000,1.17828e-04,  0.900, 5.0,  1, 73.2,206.0, 24.0
   128,135.803, 34.997,135.800, 35.000,1.22961e-04,  0.900, 5.0,  1, 68.6,203.0, 24.0
   129,135.903, 34.997,135.900, 35.000,1.29225e-04,  0.900, 5.0,  1, 64.0,201.0, 24.0
   130,136.003, 34.997,136.000, 35.000,1.34401e-04,  0.900, 5.0,  1, 59.5,200.0, 24.0
   131,136.103, 34.997,136.100, 35.000,1.36690e-04,  0.900, 5.0,  1, 55.5,200.0, 24.0
   132,136.203, 34.997,136.200, 35.000,1.36928e-04,  0.900, 5.0,  1, 51.9,200.0, 24.0
   133,136.303, 34.997,136.300, 35.000,1.38131e-04,  0.900, 5.0,  1, 48.6,200.0, 22.0
   134,136.403, 34.997,136.400, 35.000,1.42939e-04,  0.900, 5.0,  1, 45.6,201.0, 21.0
   135,136.503, 34.997,136.500, 35.000,1.53244e-04,  0.900, 5.0,  1, 42.9,201.0, 19.0
   136,136.603, 34.997,136.600, 35.000,1.72098e-04,  0.900, 5.0,  1, 40.7,203.0, 17.0
   137,136.703, 34.997,136.700, 35.000,2.02801e-04,  0.900, 5.0,  1, 38.5,207.0, 15.0
   138,136.803, 34.997,136.800, 35.000,2.43567e-04,  0.900, 5.0,  1, 36.9,218.0, 14.0
   139,136.903, 34.997,136.900, 35.000,2.84757e-04,  0.900, 5.0,  1, 36.1,232.0, 10.0
   140,137.003, 34.997,137.000, 35.000,3.15669e-04,  0.900, 5.0,  1, 35.8,239.0,  9.0
   141,137.103, 34.997,137.100, 35.000,3.35925e-04,  0.900, 5.0,  1, 35.8,246.0,  6.0
   142,137.203, 34.997,137.200, 35.000,3.58231e-04,  0.900, 5.0,  1, 35.7,250.0,  6.0
   143,137.303, 34.997,137.300, 35.000,3.94855e-04,  0.900, 5.0,  1, 35.5,251.0,  8.0
   144,137.403, 34.997,137.400, 35.000,4.39422e-04,  0.900, 5.0,  1, 35.0,249.0, 10.0
   145,137.503, 34.997,137.500, 35.000,4.68086e-04,  0.900, 5.0,  1, 34.3,243.0, 12.0
   146,137.603, 34.997,137.600, 35.000,4.65008e-04,  0.900, 5.0,  1, 33.3,238.0, 14.0
   147,137.703, 34.997,137.700, 35.000,4.43482e-04,  0.900, 5.0,  1, 32.0,234.0, 15.0
   148,137.803, 34.997,137.800, 35.000,4.34346e-04,  0.900, 5.0,  1, 30.1,228.0, 17.0
   149,137.903, 34.997,137.900, 35.000,4.52781e-04,  0.900, 5.0,  1, 27.6,223.0, 18.0
   150,138.003, 34.997,138.000, 35.000,4.81390e-04,  0.900, 5.0,  1, 24.7,218.0, 19.0
   151,138.103, 34.997,138.100, 35.000,4.87701e-04,  0.900, 5.0,  1, 21.3,212.0, 20.0
   152,138.203, 34.997,138.200, 35.000,4.54049e-04,  0.900, 5.0,  1, 18.0,207.0, 19.0
   153,138.303, 34.997,138.300, 35.000,3.88653e-04,  0.900, 5.0,  1, 14.8,205.0, 17.0
   154,138.403, 34.997,138.400, 35.000,3.13768e-04,  0.900, 5.0,  1, 12.1,205.0, 16.0
   155,138.503, 34.997,138.500, 35.000,2.48300e-04,  0.900, 5.0,  1,  9.7,205.0, 14.0
   156,138.603, 34.997,138.600, 35.000,2.00117e-04,  0.900, 5.0,  1,  7.5,200.0, 12.0
   157,135.603, 34.897,135.600, 34.900,1.24238e-04,  0.900, 5.0,  1, 75.1,209.0, 23.0
   158,135.703, 34.897,135.700, 34.900,1.28957e-04,  0.900, 5.0,  1, 71.0,205.0, 22.0
   159,135.803, 34.897,135.800, 34.900,1.37816e-04,  0.900, 5.0,  1, 66.7,203.0, 23.0
   160,135.903, 34.897,135.900, 34.900,1.49136e-04,  0.900, 5.0,  1, 62.5,201.0, 24.0
   161,136.003, 34.897,136.000, 34.900,1.58405e-04,  0.900, 5.0,  1, 58.3,200.0, 24.0
   162,136.103, 34.897,136.100, 34.900,1.61662e-04,  0.900, 5.0,  1, 54.4,200.0, 24.0
   163,136.203, 34.897,136.200, 34.900,1.59794e-04,  0.900, 5.0,  1, 50.8,200.0, 24.0
   164,136.303, 34.897,136.300, 34.900,1.57323e-04,  0.900, 5.0,  1, 47.6,201.0, 23.0
   165,136.403, 34.897,136.400, 34.900,1.57553e-04,  0.900, 5.0,  1, 44.7,201.0, 21.0
   166,136.503, 34.897,136.500, 34.900,1.61973e-04,  0.900, 5.0,  1, 42.2,201.0, 19.0
   167,136.603, 34.897,136.600, 34.900,1.73492e-04,  0.900, 5.0,  1, 40.0,203.0, 17.0
   168,136.703, 34.897,136.700, 34.900,1.95968e-04,  0.900, 5.0,  1, 38.1,207.0, 15.0
   169,136.803, 34.897,136.800, 34.900,2.28658e-04,  0.900, 5.0,  1, 36.6,218.0, 14.0
   170,136.903, 34.897,136.900, 34.900,2.63303e-04,  0.900, 5.0,  1, 35.7,232.0, 13.0
   171,137.003, 34.897,137.000, 34.900,2.90315e-04,  0.900, 5.0,  1, 35.2,239.0,  9.0
   172,137.103, 34.897,137.100, 34.900,3.09863e-04,  0.900, 5.0,  1, 34.8,244.0, 10.0
