#
# VER. = 1.0
#
# DATE = 2017-04-06
#
# UPDATED
#
# JLON, JLAT, WLON, WLAT
145.3369,  39.6640, 145.3330,  39.6670
145.6710,  40.5801, 145.6670,  40.5830
144.6539,  40.9972, 144.6500,  41.0000
144.2368,  39.6801, 144.2330,  39.6830
144.0537,  38.5470, 144.0500,  38.5500
143.8707,  37.7469, 143.8670,  37.7500
143.5036,  37.0298, 143.5000,  37.0330
142.9535,  36.2467, 142.9500,  36.2500
142.5205,  35.9137, 142.5170,  35.9170
142.2534,  35.4797, 142.2500,  35.4830
141.9864,  34.1965, 141.9830,  34.2000
143.0034,  33.9965, 143.0000,  34.0000
143.2535,  35.2466, 143.2500,  35.2500
143.5035,  35.4966, 143.5000,  35.5000
144.0036,  35.9967, 144.0000,  36.0000
144.5037,  36.7467, 144.5000,  36.7500
144.8367,  37.4968, 144.8330,  37.5000
145.0868,  38.4139, 145.0830,  38.4170
145.3369,  39.6640, 145.3330,  39.6670
